Date,FM GCC COUNTRIES SMALL CAP
2014-05-30,1000.0
2014-06-02,1006.9269327059156
2014-06-03,1005.8111122779986
2014-06-04,1007.1967635792045
2014-06-05,1002.5312230859082
2014-06-06,1002.6409127608428
2014-06-09,996.1190407174402
2014-06-10,996.9416189566309
2014-06-11,999.2406559091813
2014-06-12,999.4456954014033
2014-06-13,999.1187786477136
2014-06-16,984.6838408187785
2014-06-17,980.8708167966905
2014-06-18,973.3379794866904
2014-06-19,970.9817816371185
2014-06-20,970.2517909572128
2014-06-23,969.5888283192915
2014-06-24,966.4387306059436
2014-06-25,970.2807993332993
2014-06-26,971.6104190608904
2014-06-27,972.0280438036009
2014-06-30,970.5883682829369
2014-07-01,962.8414028185642
2014-07-02,969.5179098245654
2014-07-03,969.7297432020422
2014-07-04,969.7297432020422
2014-07-07,967.5928229731215
2014-07-08,971.4527411712863
2014-07-09,975.0557907393123
2014-07-10,983.5201113705011
2014-07-11,983.4148610318313
2014-07-14,993.9414704474353
2014-07-15,986.9803235500468
2014-07-16,990.8600196634872
2014-07-17,987.8707137777795
2014-07-18,987.8707137777795
2014-07-21,986.0849494738808
2014-07-22,989.9212604701243
2014-07-23,992.6918306265981
2014-07-24,993.427192907866
2014-07-25,993.0034359781043
2014-07-28,992.9724656280496
2014-07-29,992.3375037742544
2014-07-30,991.70388599212
2014-07-31,992.1261487164775
2014-08-01,992.3375037742546
2014-08-04,1002.5932289830297
2014-08-05,999.0984249026278
2014-08-06,1004.1402385228979
2014-08-07,1002.7533736361332
2014-08-08,1003.1834764904513
2014-08-11,1002.2206182100485
2014-08-12,1003.0028175386775
2014-08-13,1003.7121307876636
2014-08-14,1001.7480070220726
2014-08-15,1001.7480070220726
2014-08-18,1003.7159378617072
2014-08-19,1007.136540704127
2014-08-20,1007.9318575084301
2014-08-21,1013.2231527692824
2014-08-22,1012.998997366071
2014-08-25,1011.3656703957345
2014-08-26,1011.5021961242525
2014-08-27,1010.3375692777399
2014-08-28,1019.0775147950831
2014-08-29,1019.0775147950831
2014-09-01,1016.2560608776455
2014-09-02,1019.1265064666951
2014-09-03,1021.4465835337065
2014-09-04,1023.2582819555183
2014-09-05,1023.2582819555183
2014-09-08,1022.6027834857349
2014-09-09,1021.5433876343868
2014-09-10,1025.6501356359126
2014-09-11,1026.272326111751
2014-09-12,1026.0564902399965
2014-09-15,1025.1345051579865
2014-09-16,1027.0677455872112
2014-09-17,1026.521707440222
2014-09-18,1022.2751116328178
2014-09-19,1021.4179116045494
2014-09-22,1026.644264165188
2014-09-23,1023.8339836106755
2014-09-24,1023.7391792827722
2014-09-25,1022.6269828169985
2014-09-26,1022.0915226303423
2014-09-29,1024.47094409539
2014-09-30,1032.1673331680038
2014-10-01,1027.0335837925388
2014-10-02,1028.010791445751
2014-10-03,1025.8734877440181
2014-10-06,1026.619861851103
2014-10-07,1027.7963943257228
2014-10-08,1028.2971379036235
2014-10-09,1028.4341810190137
2014-10-10,1027.470567432213
2014-10-13,1004.7848893165476
2014-10-14,1009.5136513292375
2014-10-15,1002.8053744605688
2014-10-16,979.6515980204638
2014-10-17,979.857669331362
2014-10-20,978.4268504240665
2014-10-21,977.6318722665751
2014-10-22,979.6759855326188
2014-10-23,982.4626064965851
2014-10-24,982.4626064965851
2014-10-27,972.6338334613732
2014-10-28,974.4763509177557
2014-10-29,979.8525312806256
2014-10-30,982.4522354562359
2014-10-31,980.6033354462992
2014-11-03,973.9843960225837
2014-11-04,970.581005437813
2014-11-05,958.0203834157116
2014-11-06,948.6977026845751
2014-11-07,947.9185931751522
2014-11-10,953.4516076174261
2014-11-11,958.4128642438728
2014-11-12,958.1646167568189
2014-11-13,960.3049479892917
2014-11-14,960.1074113092052
2014-11-17,949.745755281156
2014-11-18,952.1984058000736
2014-11-19,947.9245588433146
2014-11-20,950.1234354338268
2014-11-21,949.6405724198063
2014-11-24,957.4653559638484
2014-11-25,951.5019714551321
2014-11-26,954.2181317065788
2014-11-27,948.5596578717469
2014-11-28,947.9384947748898
2014-12-01,921.3708857482544
2014-12-02,924.2242404693313
2014-12-03,927.1683696588061
2014-12-04,929.3702595649603
2014-12-05,927.9927133254572
2014-12-08,909.933547154207
2014-12-09,891.2924696405885
2014-12-10,895.3174044237056
2014-12-11,872.5326587293453
2014-12-12,873.3415299677165
2014-12-15,835.7940960624151
2014-12-16,811.8339195577324
2014-12-17,811.0426572548575
2014-12-18,833.2581702722613
2014-12-19,833.1038421706564
2014-12-22,883.6102069935899
2014-12-23,886.0260475072552
2014-12-24,902.0744156799016
2014-12-25,901.4250634340631
2014-12-26,901.0924700595452
2014-12-29,904.3479674492227
2014-12-30,891.8995759503094
2014-12-31,895.5149473317783
2015-01-01,896.0411876282748
2015-01-02,894.9621800464544
2015-01-05,886.7228938273399
2015-01-06,875.7464115826224
2015-01-07,878.9999093584577
2015-01-08,885.4315622963219
2015-01-09,886.0777438130798
2015-01-12,905.1690969741331
2015-01-13,902.8851695091126
2015-01-14,906.863827119391
2015-01-15,904.6413584178974
2015-01-16,904.9708270466626
2015-01-19,907.7108793663015
2015-01-20,907.9294328132469
2015-01-21,908.2688930636091
2015-01-22,907.1854435648202
2015-01-23,906.0348953757165
2015-01-26,908.6331373172843
2015-01-27,901.8685806626816
2015-01-28,901.9596459474761
2015-01-29,899.0329191669664
2015-01-30,898.5451490631528
2015-02-02,904.4745980756319
2015-02-03,911.917559609409
2015-02-04,916.8740945666583
2015-02-05,915.5994059148306
2015-02-06,914.5974302510452
2015-02-09,917.8562141592581
2015-02-10,917.1385928155756
2015-02-11,917.5541889665338
2015-02-12,918.6983807100454
2015-02-13,918.9482344485237
2015-02-16,922.5686412156263
2015-02-17,920.1577114111103
2015-02-18,921.1328216339413
2015-02-19,919.7714779773739
