Date,FM (FRONTIER MARKETS) SMALL CAP
2010-11-30,1000.0
2010-12-01,1000.9748069912265
2010-12-02,1007.9767876442612
2010-12-03,1012.7118876412655
2010-12-06,1010.8941955996388
2010-12-07,1006.498626363858
2010-12-08,1001.8097446836771
2010-12-09,1002.2829256038384
2010-12-10,1004.8066085526585
2010-12-13,998.1629899298011
2010-12-14,996.8665734768555
2010-12-15,991.268566378881
2010-12-16,988.1735725957302
2010-12-17,989.6168230667524
2010-12-20,977.4612360159783
2010-12-21,985.6780467422218
2010-12-22,989.393185848105
2010-12-23,989.0774086512887
2010-12-24,988.3396102809353
2010-12-27,993.1299384276294
2010-12-28,995.1121878986405
2010-12-29,999.0400085595758
2010-12-30,1004.7017413267463
2010-12-31,1008.7029179117071
2011-01-03,1010.6349133776057
2011-01-04,1010.1289795671421
2011-01-05,1015.8981478812651
2011-01-06,1014.6686977193536
2011-01-07,1012.2089643175817
2011-01-10,978.1461474619176
2011-01-11,1001.8916877623003
2011-01-12,1010.7251670431385
2011-01-13,1011.5564031816156
2011-01-14,1015.0517632061608
2011-01-17,1004.9704705056924
2011-01-18,1000.7253832421939
2011-01-19,998.2638421771534
2011-01-20,974.70171324
2011-01-21,977.91416361
2011-01-24,982.12401634
2011-01-25,995.3743840510034
2011-01-26,1008.0007770292907
2011-01-27,1006.5531746440687
2011-01-28,1004.036491751951
2011-01-31,994.5568399305546
2011-02-01,988.1181778229779
2011-02-02,995.1069197026507
2011-02-03,986.4678584468592
2011-02-04,986.1756997536501
2011-02-07,969.7768391508721
2011-02-08,982.9729208080138
2011-02-09,980.6011727344343
2011-02-10,974.5558615814747
2011-02-11,969.9557232840256
2011-02-14,943.3159749405862
2011-02-15,948.2450415450373
2011-02-16,937.2777657192785
2011-02-17,935.552896929578
2011-02-18,933.9657405280033
2011-02-21,920.9855526314512
2011-02-22,919.1887117717923
2011-02-23,919.0477725598236
2011-02-24,910.1443177915695
2011-02-25,908.3119871152679
2011-02-28,879.4137093227738
2011-03-01,882.2299723067886
2011-03-02,856.9080706380985
2011-03-03,857.3730776628163
2011-03-04,856.8473249066433
2011-03-07,867.9145772300217
2011-03-08,877.0870607465822
2011-03-09,888.8450870213728
2011-03-10,901.5848032968086
