Date,TRINIDAD AND TOBAGO IMI
2010-11-30,1000.0
2010-12-01,1000.0
2010-12-02,996.8871290234054
2010-12-03,999.8112643714317
2010-12-06,997.774319723965
2010-12-07,997.6333999939179
2010-12-08,996.7809023607082
2010-12-09,996.4840437511256
2010-12-10,996.4996634801663
2010-12-13,998.5500904133703
2010-12-14,1001.4207076101071
2010-12-15,997.6333999939179
2010-12-16,998.2208282950456
2010-12-17,998.0014408240505
2010-12-20,998.7069582551773
2010-12-21,998.2818976564553
2010-12-22,996.8327361747891
2010-12-23,1021.6368364292643
2010-12-24,1010.6268399309394
2010-12-27,1011.927069014571
2010-12-28,1011.927069014571
2010-12-29,1008.7695203871511
2010-12-30,1006.7068385304754
2010-12-31,1008.8175115333884
2011-01-03,1012.1161361996219
2011-01-04,1020.8748677743516
2011-01-05,1021.4433989075837
2011-01-06,1022.7502277695828
2011-01-07,1022.0237802979199
2011-01-10,1027.2326349263576
2011-01-11,1026.1597100049526
2011-01-12,1024.1412513409373
2011-01-13,1020.5853536124663
2011-01-14,1021.3007951857307
2011-01-17,1020.7839868176599
2011-01-18,1026.0238967934208
2011-01-19,1023.5652099654126
2011-01-20,1049.98953173021
2011-01-21,1083.6971096035638
2011-01-24,1082.7643061694716
2011-01-25,1088.8124610853338
2011-01-26,1089.69396378388
2011-01-27,1098.6935040433948
2011-01-28,1104.3322057227822
2011-01-31,1106.2397388424656
2011-02-01,1106.9318740729243
2011-02-02,1106.7068351431728
2011-02-03,1107.348195486547
2011-02-04,1109.500678184069
2011-02-07,1109.500678184069
2011-02-08,1108.5449161701902
2011-02-09,1119.852435919085
2011-02-10,1121.1139058783474
2011-02-11,1122.4485443841156
2011-02-14,1120.3514281787404
2011-02-15,1122.2477093899581
2011-02-16,1109.6002516175206
2011-02-17,1123.5371955609069
2011-02-18,1124.9705030373211
2011-02-21,1133.6477365970359
2011-02-22,1124.8472533304475
2011-02-23,1123.5385965736807
2011-02-24,1127.3457978861268
2011-02-25,1123.1961560442383
2011-02-28,1123.0908317192204
2011-03-01,1124.215310579533
2011-03-02,1121.7059014041322
2011-03-03,1123.4946822731358
2011-03-04,1109.9995933088717
2011-03-07,1110.6681265453558
2011-03-08,1110.6681265453558
2011-03-09,1110.6681265453558
2011-03-10,1110.6650489541857
2011-03-11,1113.229837567574
2011-03-14,1112.079266467955
2011-03-15,1109.0140127292423
2011-03-16,1109.0140127292423
2011-03-17,1113.4742042414416
2011-03-18,1112.0966816184703
2011-03-21,1105.20827636932
2011-03-22,1108.7110128974996
2011-03-23,1109.2648114200883
2011-03-24,1111.087347373882
2011-03-25,1108.15686229825
2011-03-28,1111.7477886471586
2011-03-29,1108.328951830623
2011-03-30,1105.4997557172128
2011-03-31,1105.4997557172128
2011-04-01,1109.069969885878
2011-04-04,1106.610732848554
2011-04-05,1113.44594681893
2011-04-06,1108.5711395722687
2011-04-07,1105.052550557173
2011-04-08,1120.6989849763718
2011-04-11,1125.6312295048785
2011-04-12,1128.4502120781021
2011-04-13,1118.465805860535
2011-04-14,1121.118344503842
2011-04-15,1119.7736591160292
2011-04-18,1119.7736591160292
2011-04-19,1126.0889795425762
2011-04-20,1120.6046802523492
2011-04-21,1122.0361623680067
2011-04-22,1122.0361623680067
2011-04-25,1123.8069171888098
2011-04-26,1123.8069171888098
2011-04-27,1124.2109399646433
2011-04-28,1125.3234853108272
2011-04-29,1124.1252412954557
2011-05-02,1128.1435956187572
2011-05-03,1127.4323040234808
2011-05-04,1132.4391182147003
2011-05-05,1152.345350976767
2011-05-06,1150.9165897512014
2011-05-09,1153.0115194061552
2011-05-10,1153.4891136050292
2011-05-11,1163.2944658585059
2011-05-12,1191.1782438457574
2011-05-13,1185.661121732006
2011-05-16,1195.043409388791
2011-05-17,1191.3673549794103
2011-05-18,1192.2294574296836
2011-05-19,1199.8956332917974
2011-05-20,1200.3226619199218
2011-05-23,1195.8334005783101
2011-05-24,1194.8992386940724
2011-05-25,1207.4467866426264
2011-05-26,1207.4467866426264
2011-05-27,1204.013749178216
2011-05-30,1204.013749178216
2011-05-31,1209.328187708078
2011-06-01,1204.7233218077247
2011-06-02,1211.2844140042162
2011-06-03,1216.091886814202
2011-06-06,1218.2907698691208
2011-06-07,1217.2979985265722
2011-06-08,1226.9490658229527
2011-06-09,1228.5928515621565
2011-06-10,1244.4720879701295
2011-06-13,1248.2114155638085
2011-06-14,1250.2222731251745
2011-06-15,1246.2969131776117
2011-06-16,1250.999638468264
2011-06-17,1250.1115862383847
2011-06-20,1249.565707265876
2011-06-21,1250.9655824067106
2011-06-22,1254.3810115418314
2011-06-23,1254.371206864439
2011-06-24,1255.974915720573
2011-06-27,1253.9546113643155
2011-06-28,1255.2559828650994
2011-06-29,1272.175609103345
2011-06-30,1269.5205167573645
2011-07-01,1270.7018087944562
2011-07-04,1273.9740022934973
2011-07-05,1278.8839586544648
2011-07-06,1275.6992785787265
2011-07-07,1276.9750598142418
2011-07-08,1276.6855732696167
2011-07-11,1275.272186313867
2011-07-12,1274.202129881004
2011-07-13,1276.8248538141916
2011-07-14,1273.4785163711224
2011-07-15,1258.9385894906575
2011-07-18,1261.708423327757
2011-07-19,1266.426464415596
2011-07-20,1265.832386092896
2011-07-21,1267.5633167599017
2011-07-22,1270.0909101738348
2011-07-25,1267.5998949271618
2011-07-26,1269.8993653444593
2011-07-27,1271.1086939510615
2011-07-28,1271.6749291846982
2011-07-29,1270.2446233456787
2011-08-01,1270.2446233456787
2011-08-02,1270.2446233456787
2011-08-03,1273.8688837509712
2011-08-04,1278.315444596833
