Date,ROMANIA IMI
2010-11-30,1000.0
2010-12-01,1004.5917591607116
2010-12-02,1014.9473627303291
2010-12-03,1043.2696719860776
2010-12-06,1018.0412819917409
2010-12-07,1035.903787359197
2010-12-08,1030.404280252115
2010-12-09,1020.4569812586191
2010-12-10,1032.057060140729
2010-12-13,1041.530944135155
2010-12-14,1041.4253261589276
2010-12-15,1033.544461433858
2010-12-16,1021.1710232819352
2010-12-17,1015.7843684975286
2010-12-20,1006.7873517936637
2010-12-21,1007.7028825418599
2010-12-22,1004.0027848723697
2010-12-23,1009.8271784199324
2010-12-24,1013.8904029953717
2010-12-27,1011.8243180170703
2010-12-28,1017.0722740096171
2010-12-29,1017.544906229583
2010-12-30,1039.7134547339542
2010-12-31,1061.9650909636791
2011-01-03,1069.6883444622958
2011-01-04,1079.1748656645173
2011-01-05,1065.5431519361068
2011-01-06,1088.4059069330488
2011-01-07,1089.1859808720017
2011-01-10,1093.3846972025033
2011-01-11,1112.5546646287671
2011-01-12,1145.8426593026275
2011-01-13,1179.4226510709204
2011-01-14,1175.556877036895
2011-01-17,1179.3747770100724
2011-01-18,1199.4440956508715
2011-01-19,1219.2620824021776
2011-01-20,1197.803110215943
2011-01-21,1200.3961779322287
2011-01-24,1215.5338239274456
2011-01-25,1220.5873740113534
2011-01-26,1210.0612737724446
2011-01-27,1219.0965010962377
2011-01-28,1206.5861492113638
2011-01-31,1200.3627198412482
2011-02-01,1208.7681649749816
2011-02-02,1224.9817192281805
2011-02-03,1197.860340287329
2011-02-04,1189.8326090699832
2011-02-07,1200.8075465196548
2011-02-08,1216.9791981441329
2011-02-09,1221.8653846330537
2011-02-10,1197.7992857608442
2011-02-11,1178.532284488894
2011-02-14,1178.346787899054
2011-02-15,1185.4934293611618
2011-02-16,1170.8598021763923
2011-02-17,1185.6657881275094
2011-02-18,1203.5706501623129
2011-02-21,1195.3850430334685
2011-02-22,1196.4104527175189
2011-02-23,1225.919343577372
2011-02-24,1198.658729364306
2011-02-25,1220.5846271017451
2011-02-28,1271.8999431699585
2011-03-01,1253.2741138064246
2011-03-02,1254.5898461886275
2011-03-03,1280.6963517171312
2011-03-04,1283.0359047792006
2011-03-07,1300.5384881069847
2011-03-08,1284.6408977351527
2011-03-09,1299.169888455669
2011-03-10,1298.7826874284874
2011-03-11,1282.6388673329245
2011-03-14,1295.5467234675873
2011-03-15,1260.5372910824428
2011-03-16,1283.9818189235953
2011-03-17,1313.620177258674
2011-03-18,1310.4095609499384
2011-03-21,1358.6299701032533
2011-03-22,1377.3936028913392
2011-03-23,1372.40541082092
2011-03-24,1402.2282718433237
2011-03-25,1458.1702362338972
2011-03-28,1421.2601862744432
2011-03-29,1394.3644438475637
2011-03-30,1404.7392571209475
2011-03-31,1402.2599434467718
2011-04-01,1396.1221566065294
2011-04-04,1395.1101439045992
2011-04-05,1393.075051676675
2011-04-06,1426.956120846701
2011-04-07,1440.0951472213048
2011-04-08,1475.097163612939
2011-04-11,1454.7577402063519
2011-04-12,1446.4904238375887
2011-04-13,1455.7717533883686
2011-04-14,1442.1795463760068
2011-04-15,1445.2768194823639
2011-04-18,1419.4700808927028
2011-04-19,1432.218667785223
2011-04-20,1468.5981991247984
2011-04-21,1448.7248216558075
2011-04-22,1463.310036200238
2011-04-25,1466.0802193273655
2011-04-26,1469.9209872889599
2011-04-27,1485.097099972185
2011-04-28,1516.248632385473
2011-04-29,1519.762759260827
2011-05-02,1516.4062060991575
2011-05-03,1475.0912731584322
2011-05-04,1481.322133950465
2011-05-05,1451.2031041644973
2011-05-06,1435.9747980648174
2011-05-09,1414.6970939504884
2011-05-10,1428.3869713902536
2011-05-11,1407.1237220923133
2011-05-12,1397.9081014726426
2011-05-13,1413.8552604933218
2011-05-16,1402.334584540987
2011-05-17,1385.6247845999856
2011-05-18,1388.0871691748268
2011-05-19,1395.498912145737
2011-05-20,1387.6930195686332
2011-05-23,1340.8914509412248
2011-05-24,1335.602762734037
2011-05-25,1312.4855146098325
2011-05-26,1318.5574322564544
