Date,BULGARIA IMI
2010-11-30,1000.0
2010-12-01,994.744834903929
2010-12-02,994.6329676450583
2010-12-03,1012.7038618558794
2010-12-06,1012.4386636274709
2010-12-07,1004.7270398533678
2010-12-08,998.1754503822112
2010-12-09,997.8985071451435
2010-12-10,995.7052664359512
2010-12-13,1013.1284510006152
2010-12-14,1015.4907389074009
2010-12-15,1009.3741432151763
2010-12-16,992.0820200855785
2010-12-17,990.1834618902434
2010-12-20,989.1197067954449
2010-12-21,991.2827764081097
2010-12-22,993.1905665549225
2010-12-23,991.9149352821967
2010-12-24,995.9074818972257
2010-12-27,994.0699060382822
2010-12-28,989.2314412595216
2010-12-29,988.8946842106307
2010-12-30,990.7303040377775
2010-12-31,1000.7877898048118
2011-01-03,1006.3280645302341
2011-01-04,1012.8445737601551
2011-01-05,997.2378764293545
2011-01-06,993.1771407252032
2011-01-07,982.6380613887704
2011-01-10,965.0747639369648
2011-01-11,966.6225678995448
2011-01-12,976.3978707887507
2011-01-13,999.6135027196717
2011-01-14,1008.9332203340433
2011-01-17,1010.3861120554749
2011-01-18,1023.1048507002612
2011-01-19,1032.3810502288802
2011-01-20,1027.740891590044
2011-01-21,1044.4933277667624
2011-01-24,1060.109258447364
2011-01-25,1069.8976704087775
2011-01-26,1078.1528383812774
2011-01-27,1087.6730880601772
2011-01-28,1089.3904422431733
2011-01-31,1080.2765140123443
2011-02-01,1116.4813032920172
2011-02-02,1158.7294796651681
2011-02-03,1212.392414264075
2011-02-04,1162.5864823719153
2011-02-07,1124.886818140549
2011-02-08,1154.9864040094355
2011-02-09,1174.6086729460085
2011-02-10,1190.327152363218
2011-02-11,1183.4656632014571
2011-02-14,1210.4998046581204
2011-02-15,1260.8520297806554
2011-02-16,1274.7305258559923
2011-02-17,1282.6815519701292
2011-02-18,1304.2857957514407
2011-02-21,1299.6377359342453
2011-02-22,1293.506467714459
2011-02-23,1265.3233158622809
2011-02-24,1220.9601322751123
2011-02-25,1268.6673739712776
2011-02-28,1301.609742284583
2011-03-01,1292.2603081843617
2011-03-02,1289.0178487655603
2011-03-03,1294.4842656431877
2011-03-04,1299.067412138384
2011-03-07,1302.5527471671055
2011-03-08,1298.2672663986905
2011-03-09,1307.1210904289403
2011-03-10,1289.268784711009
2011-03-11,1261.1319040760495
2011-03-14,1266.5855807658077
2011-03-15,1227.054611308191
2011-03-16,1266.2596350814401
2011-03-17,1271.6964124468634
2011-03-18,1310.6734784460768
2011-03-21,1306.349603623678
2011-03-22,1316.380215105793
2011-03-23,1307.7422745198626
2011-03-24,1319.5003533336328
2011-03-25,1316.5605879283723
2011-03-28,1323.3545119843418
