Date,PALESTINE IMI
2013-05-31,1000.0
2013-06-03,998.0954610935114
2013-06-04,995.5132647151861
2013-06-05,996.6928987916481
2013-06-06,996.7696336051653
2013-06-07,997.4612227828611
2013-06-10,995.3262051312629
2013-06-11,996.2417078487748
2013-06-12,996.2932511175227
2013-06-13,998.7593774458634
2013-06-14,998.9901897626254
2013-06-17,996.0628516343814
2013-06-18,997.7078774405118
2013-06-19,996.2717859523935
2013-06-20,996.3011295688962
2013-06-21,996.0710550039112
2013-06-24,994.656103762766
2013-06-25,993.0596832552544
2013-06-26,996.3790784840176
2013-06-27,992.2134771229863
2013-06-28,991.8690083666085
2013-07-01,991.2666426623201
2013-07-02,992.8734691387199
2013-07-03,994.0023628718169
2013-07-04,995.5646840433578
2013-07-05,995.9120850395691
2013-07-08,991.5737986201823
2013-07-09,994.3098659966279
2013-07-10,992.7968070060615
2013-07-11,994.1560710015777
2013-07-12,994.1560710015777
2013-07-15,995.8430739199342
2013-07-16,1001.1595863165022
2013-07-17,996.8653225828922
2013-07-18,1002.067646993021
2013-07-19,1002.067646993021
2013-07-22,1007.968590154984
2013-07-23,1008.8300775156098
2013-07-24,1007.6410048668091
2013-07-25,1012.7089876318845
2013-07-26,1013.4224768818159
2013-07-29,1047.0661143571683
2013-07-30,1055.4705776094395
2013-07-31,1047.1203383507668
2013-08-01,1053.81699436713
2013-08-02,1053.6560425502996
2013-08-05,1082.8058200300554
2013-08-06,1083.54874844947
2013-08-07,1083.3016187134033
2013-08-08,1083.4663486104173
2013-08-09,1084.12619953358
2013-08-12,1087.0786351137672
2013-08-13,1088.0312466592277
2013-08-14,1085.2161029823264
2013-08-15,1085.1862927924844
2013-08-16,1085.6800841666427
2013-08-19,1078.4796126473736
2013-08-20,1074.1268426214822
2013-08-21,1071.3530027782474
2013-08-22,1070.2939394870934
2013-08-23,1070.2939394870934
2013-08-26,1066.2290397334625
2013-08-27,1046.4767194412368
2013-08-28,1045.1247235303497
2013-08-29,1043.5641170974973
2013-08-30,1043.5641170974973
2013-09-02,1050.0805927926142
2013-09-03,1043.203886844676
2013-09-04,1038.8943179090672
2013-09-05,1030.565368753477
2013-09-06,1029.9889382009349
2013-09-09,1034.7586737611916
2013-09-10,1056.4621360737297
2013-09-11,1065.8982022959385
2013-09-12,1067.7700382211672
2013-09-13,1067.80923878429
2013-09-16,1061.8303301259693
2013-09-17,1062.7653580413155
2013-09-18,1062.706292760677
2013-09-19,1070.9473935398858
2013-09-20,1070.9473935398858
2013-09-23,1064.1170708821123
2013-09-24,1062.3056667704188
2013-09-25,1060.275647836572
2013-09-26,1052.7090045236127
2013-09-27,1053.491967320528
2013-09-30,1046.7204008732515
2013-10-01,1050.6877553470315
2013-10-02,1050.2149690745698
2013-10-03,1053.4666191431008
2013-10-04,1053.701209277461
2013-10-07,1051.888782328222
2013-10-08,1052.7987432832128
2013-10-09,1050.7836341939426
2013-10-10,1055.9886446134358
2013-10-11,1056.7353463741904
2013-10-14,1055.9886446134358
2013-10-15,1056.0671504874324
