Date,LITHUANIA IMI
2010-11-30,1000.0
2010-12-01,1013.478733641986
2010-12-02,1022.3453038426717
2010-12-03,1033.1072907322891
2010-12-06,1022.7139154016737
2010-12-07,1025.1962249477185
2010-12-08,1015.878206261261
2010-12-09,1001.7495171216387
2010-12-10,1005.1433925324291
2010-12-13,1022.6766679034125
2010-12-14,1022.2252095675896
2010-12-15,1023.776555580251
2010-12-16,1012.3149799259394
2010-12-17,1013.6590714410033
2010-12-20,1001.7131627831254
2010-12-21,1006.0645594085523
2010-12-22,1000.6516179204909
2010-12-23,1000.2555181775359
2010-12-24,1004.197449550825
2010-12-27,1009.0334567545633
2010-12-28,1012.4944663932828
2010-12-29,1020.2231378053729
2010-12-30,1040.3125309300235
2010-12-31,1050.7689172332275
2011-01-03,1034.5954236023906
2011-01-04,1029.7325104929694
2011-01-05,1016.1555368224518
2011-01-06,1012.0855367154849
2011-01-07,1003.0264646309882
2011-01-10,994.2364825062762
2011-01-11,998.2073758381661
2011-01-12,1011.1900583496986
2011-01-13,1029.9842313468434
2011-01-14,1026.9177774592383
2011-01-17,1017.6564876525632
2011-01-18,1035.4572312207852
2011-01-19,1039.249623273859
2011-01-20,1034.4354615050293
2011-01-21,1045.5180495869247
2011-01-24,1055.5684353366248
2011-01-25,1047.710762212166
2011-01-26,1043.7184532316103
2011-01-27,1059.8507016086432
2011-01-28,1051.0926915835585
2011-01-31,1058.3477403394695
2011-02-01,1060.8902010270208
2011-02-02,1064.945287679278
2011-02-03,1051.3167673233852
2011-02-04,1047.1137380028515
2011-02-07,1050.114368852246
2011-02-08,1062.4840546958055
2011-02-09,1066.581931480808
2011-02-10,1058.7974794258357
2011-02-11,1050.6617974791095
2011-02-14,1047.6537190210604
2011-02-15,1047.5576345709305
2011-02-16,1047.867711940841
2011-02-17,1051.94645097188
2011-02-18,1058.1032283320374
2011-02-21,1055.4550336118648
2011-02-22,1054.7025704965329
2011-02-23,1060.36276182031
2011-02-24,1060.1482065559255
2011-02-25,1053.8211825459202
2011-02-28,1049.3577458367245
2011-03-01,1052.5028800143234
2011-03-02,1049.5767134035837
2011-03-03,1057.9900182192798
2011-03-04,1059.4357368981207
2011-03-07,1054.8614096265403
2011-03-08,1046.6056172627468
2011-03-09,1045.407903470036
2011-03-10,1027.9576973480048
2011-03-11,1030.9747483475405
2011-03-14,1015.7175277743085
2011-03-15,971.0121970973007
2011-03-16,1018.7969539190827
2011-03-17,1027.179852427818
2011-03-18,1045.1520454021456
2011-03-21,1048.4769570392828
2011-03-22,1054.5797315171292
2011-03-23,1046.6022023080818
2011-03-24,1043.684071598306
2011-03-25,1038.6530328257354
2011-03-28,1055.4741593134945
2011-03-29,1041.1478272776314
2011-03-30,1045.2526454865342
2011-03-31,1054.3767032699245
2011-04-01,1050.99255307465
2011-04-04,1052.0024153669233
2011-04-05,1049.5047460877136
2011-04-06,1060.2122640196778
2011-04-07,1051.1596774317015
2011-04-08,1055.0846212733475
2011-04-11,1050.2919263489991
2011-04-12,1050.3596870702063
2011-04-13,1052.6282427803876
2011-04-14,1048.1909043494247
2011-04-15,1040.093889525071
2011-04-18,1026.1032082697484
2011-04-19,1019.7989458734116
2011-04-20,1032.3607442160358
2011-04-21,1053.9327012930935
2011-04-22,1053.9327012930935
2011-04-25,1053.173201388246
2011-04-26,1045.7570475022503
2011-04-27,1054.1725052868742
2011-04-28,1065.6944861155002
2011-04-29,1064.8202179174264
2011-05-02,1061.8813775324338
2011-05-03,1057.8412495895836
2011-05-04,1051.2197811520641
2011-05-05,1029.406306355322
2011-05-06,1011.2767205259819
2011-05-09,981.2233594881911
2011-05-10,983.6908280100224
2011-05-11,978.61552511439
2011-05-12,969.8045885071394
2011-05-13,976.3558885459995
2011-05-16,964.6724365054108
