Date,PAKISTAN IMI
2010-11-30,1000.0
2010-12-01,999.4620837053563
2010-12-02,1009.7119716639828
2010-12-03,1020.5766030676132
2010-12-06,1029.2057980919599
2010-12-07,1029.1493169653888
2010-12-08,1047.861205442404
2010-12-09,1039.1440979712806
2010-12-10,1042.0484504075139
2010-12-13,1037.9680628024148
2010-12-14,1046.693073793731
2010-12-15,1056.2884409284013
2010-12-16,1056.2884409284013
2010-12-17,1056.2884409284013
2010-12-20,1064.582470984333
2010-12-21,1061.837801088984
2010-12-22,1062.9567166817758
2010-12-23,1054.5226509694708
2010-12-24,1061.5377318025926
2010-12-27,1068.7424459388487
2010-12-28,1064.204719856037
2010-12-29,1068.0685104417712
2010-12-30,1087.3518484797457
2010-12-31,1087.2238581243628
2011-01-03,1067.351071663232
2011-01-04,1094.1622532039748
2011-01-05,1095.745197695519
2011-01-06,1110.303444391169
2011-01-07,1115.321132898125
2011-01-10,1111.398566564391
2011-01-11,1112.8752478911988
2011-01-12,1126.0337003831287
2011-01-13,1146.6763625030337
2011-01-14,1151.1290746375491
2011-01-17,1161.7691102148449
2011-01-18,1152.448723590639
2011-01-19,1147.1899059889233
2011-01-20,1127.035747762411
2011-01-21,1127.884186851794
2011-01-24,1122.5812910913107
2011-01-25,1132.3096238045832
2011-01-26,1134.68650566045
2011-01-27,1133.2270695737034
2011-01-28,1136.8154529021313
2011-01-31,1119.1657676497769
2011-02-01,1110.7172730635139
2011-02-02,1111.762519021848
2011-02-03,1126.6630711150651
2011-02-04,1130.9518564023888
2011-02-07,1131.6251113277588
2011-02-08,1126.6593734017317
2011-02-09,1120.4169192800389
2011-02-10,1107.7254952369774
2011-02-11,1087.8090165121268
2011-02-14,1086.1773406836764
2011-02-15,1098.1855125689
2011-02-16,1098.1855125689
2011-02-17,1094.5798030173303
2011-02-18,1092.7927685143725
2011-02-21,1082.7452588278277
2011-02-22,1053.5261767089355
2011-02-23,1039.6535646730053
2011-02-24,1042.5546241962531
2011-02-25,1012.3735466462659
2011-02-28,1023.5414409617622
2011-03-01,1060.645329805115
2011-03-02,1068.9140392225322
2011-03-03,1076.4980175041246
2011-03-04,1104.3071478586294
2011-03-07,1105.356692372368
2011-03-08,1105.627842774464
2011-03-09,1122.9619726332512
2011-03-10,1119.2478633505887
2011-03-11,1114.6785104022924
2011-03-14,1112.2052646322195
2011-03-15,1086.571085334654
2011-03-16,1081.4461469344837
2011-03-17,1095.1269459993075
2011-03-18,1074.9181066726958
2011-03-21,1055.6538419906772
2011-03-22,1071.3835914864544
2011-03-23,1071.3835914864544
2011-03-24,1077.690241957056
2011-03-25,1080.5851525914393
2011-03-28,1077.1214910778483
2011-03-29,1090.2874167237057
2011-03-30,1102.8093574644463
2011-03-31,1106.2505379371019
2011-04-01,1120.2683613661723
2011-04-04,1115.4915088362563
2011-04-05,1120.3791116655752
2011-04-06,1122.6767493661982
2011-04-07,1120.3075228327828
