Date,BOTSWANA IMI
2010-11-30,1000.0
2010-12-01,1011.1675126903555
2010-12-02,1014.890016920474
2010-12-03,1019.5543037360213
2010-12-06,1018.7929933765178
2010-12-07,971.5205954287586
2010-12-08,914.0043254059875
2010-12-09,913.351250665601
2010-12-10,912.3518037267486
2010-12-13,899.976513247138
2010-12-14,854.9045049804708
2010-12-15,853.970261829625
2010-12-16,851.0834942576564
2010-12-17,851.924208937529
2010-12-20,861.697450365326
2010-12-21,866.4849423307742
2010-12-22,863.2629659036949
2010-12-23,872.2919808267666
2010-12-24,872.9048793784615
2010-12-27,873.7615083081755
2010-12-28,879.4723678396015
2010-12-29,878.9012818864587
2010-12-30,893.9596864978884
2010-12-31,897.9675641853227
2011-01-03,897.9675641853229
2011-01-04,896.8085224761452
2011-01-05,887.5361888027247
2011-01-06,883.7693032478975
2011-01-07,900.9888348645643
2011-01-10,912.4804723450108
2011-01-11,942.1512813140484
2011-01-12,950.4989690319203
2011-01-13,959.8592543260686
2011-01-14,956.3091862721215
2011-01-17,977.3537135857233
2011-01-18,983.7035375023505
2011-01-19,989.2833432254502
2011-01-20,978.1235443967623
2011-01-21,981.6290878093455
2011-01-24,986.250072082826
2011-01-25,985.9200017775773
2011-01-26,992.8369525983995
2011-01-27,994.8339427812995
2011-01-28,989.7592973512781
2011-01-31,977.0081035358652
2011-02-01,981.6290878093456
2011-02-02,978.8916279711108
2011-02-03,974.28353019317
2011-02-04,962.6967636629877
2011-02-07,963.3532224176163
2011-02-08,966.3072868134453
2011-02-09,968.6048924546459
2011-02-10,963.3532224176162
2011-02-11,965.4556428521636
2011-02-14,970.8700605865001
2011-02-15,1000.7983215389768
2011-02-16,1002.1664668862619
2011-02-17,1005.5868302544744
2011-02-18,1014.821811348648
2011-02-21,1014.821811348648
2011-02-22,1014.1377386750054
2011-02-23,1021.4283817514407
2011-02-24,999.0374374825966
2011-02-25,1006.0493981066387
2011-02-28,1008.0313655245907
2011-03-01,1009.3678340237947
2011-03-02,1013.7900936364832
2011-03-03,1019.1558367718401
2011-03-04,1017.1436830960812
2011-03-07,1025.6522155181246
2011-03-08,1013.0141468197629
2011-03-09,1018.0307239746974
2011-03-10,1015.6896546357281
2011-03-11,1008.3320081418241
2011-03-14,1026.8936767333594
2011-03-15,1017.4198635707453
2011-03-16,1017.3189911776033
2011-03-17,1007.7815550567244
2011-03-18,1014.1748270253648
2011-03-21,1024.8635739127994
2011-03-22,1027.570377673546
2011-03-23,1026.2169757931729
2011-03-24,1030.2771814342932
2011-03-25,1030.2771814342932
2011-03-28,1028.92377955392
2011-03-29,1029.6004804941067
2011-03-30,1033.3223356651336
2011-03-31,1033.5151144202318
2011-04-01,1037.9015644651104
2011-04-04,1039.7479148999262
2011-04-05,1033.5148284308664
2011-04-06,1037.2003238400337
2011-04-07,1039.5530141403838
2011-04-08,1048.1628341458138
2011-04-11,1050.719870650414
2011-04-12,1048.6914539117065
2011-04-13,1011.9143468186672
2011-04-14,1007.3117474504211
2011-04-15,1002.0516338867114
2011-04-18,1019.7507645386156
2011-04-19,1020.4194535645427
2011-04-20,1036.7810015930065
2011-04-21,1042.5090734250123
2011-04-22,1042.5090734250123
2011-04-25,1042.1721280231295
2011-04-26,1045.2046366400739
2011-04-27,1054.1751097944043
2011-04-28,1070.2377540323243
2011-04-29,1083.8837706957524
2011-05-02,1084.9173534395818
2011-05-03,1079.0603845578821
2011-05-04,1081.1275500455406
2011-05-05,1066.3128640506527
2011-05-06,1067.6909743757585
2011-05-09,1060.1113675876766
2011-05-10,1067.08680695889
2011-05-11,1059.9666152469931
2011-05-12,1039.139071818154
2011-05-13,1036.3918436044908
2011-05-16,1030.553983650456
2011-05-17,1030.210580123748
2011-05-18,1037.4059291802391
2011-05-19,1041.5280719451937
2011-05-20,1054.2110479623102
2011-05-23,1038.2381532962147
2011-05-24,1041.016048020753
2011-05-25,1037.1248638196726
2011-05-26,1045.4663506600452
2011-05-27,1054.1918923512508
2011-05-30,1054.540385538805
2011-05-31,1066.443340296363
2011-06-01,1073.287848369657
