Date,BOSNIA AND HERZEGOVINA IMI
2010-11-30,1000.0
2010-12-01,997.6379640272726
2010-12-02,1009.0898007981583
2010-12-03,1044.9426118428642
2010-12-06,1069.5836332000647
2010-12-07,1074.8985638098104
2010-12-08,1031.8106686110295
2010-12-09,1042.1313626954156
2010-12-10,1047.9554093189279
2010-12-13,1063.7392628088562
2010-12-14,1071.3056612151418
2010-12-15,1064.233827787717
2010-12-16,1057.1778938306152
2010-12-17,1058.587927684219
2010-12-20,1055.2430289345584
2010-12-21,1065.8281224778534
2010-12-22,1052.3159736400767
2010-12-23,1046.3403288191303
2010-12-24,1051.4395867532978
2010-12-27,1044.6834530707183
2010-12-28,1100.3844802776684
2010-12-29,1080.3521697263839
2010-12-30,1118.6928117281484
2010-12-31,1106.233052885266
2011-01-03,1101.8495373378626
2011-01-04,1098.1358171119255
2011-01-05,1068.0230168413511
2011-01-06,1098.6404692719927
2011-01-07,1093.482309930491
2011-01-10,1090.402021629551
2011-01-11,1074.5195294560938
2011-01-12,1094.2484359987955
2011-01-13,1107.6911779247002
2011-01-14,1142.993601961569
2011-01-17,1150.3930755425947
2011-01-18,1144.7827736044906
2011-01-19,1194.972293828426
2011-01-20,1178.9324005847357
2011-01-21,1194.8076922909047
2011-01-24,1228.3552789694154
2011-01-25,1236.4372762361775
2011-01-26,1252.475043516317
2011-01-27,1256.080300425375
2011-01-28,1241.3005382647607
2011-01-31,1277.4928445430546
2011-02-01,1285.1500543157197
2011-02-02,1300.2718068036977
2011-02-03,1292.928563755397
2011-02-04,1271.9427897728538
2011-02-07,1267.5118025320617
2011-02-08,1280.4630604299025
2011-02-09,1271.5855644337707
2011-02-10,1275.4441870448177
2011-02-11,1261.7465003184973
2011-02-14,1250.648475926389
2011-02-15,1271.6384425264546
2011-02-16,1272.077893209845
2011-02-17,1277.8628756444243
2011-02-18,1297.604550982356
2011-02-21,1286.556116074312
2011-02-22,1286.4931702608358
2011-02-23,1280.9607595057446
2011-02-24,1296.0653395391716
2011-02-25,1281.2090570517755
2011-02-28,1299.4436950488061
2011-03-01,1301.0056368444527
2011-03-02,1306.4783371663245
2011-03-03,1310.627759893214
2011-03-04,1320.7503431786477
2011-03-07,1318.7918456510924
2011-03-08,1300.1887729611121
2011-03-09,1315.9736060155346
2011-03-10,1313.1210722522947
2011-03-11,1317.5387951332075
2011-03-14,1329.0726629623332
2011-03-15,1317.9993051362599
2011-03-16,1327.582675446399
2011-03-17,1344.9183711069281
2011-03-18,1357.029172958083
2011-03-21,1370.9108913699272
2011-03-22,1390.3585684566847
2011-03-23,1364.3174584573176
2011-03-24,1354.1854139241425
2011-03-25,1355.987729172345
2011-03-28,1352.369153912383
2011-03-29,1349.4314598832073
2011-03-30,1383.766748753393
2011-03-31,1396.7864000767368
2011-04-01,1385.2006831727592
2011-04-04,1378.992712027744
2011-04-05,1372.6530069335927
2011-04-06,1379.8293450104013
2011-04-07,1377.9415037692104
2011-04-08,1387.5534046166279
2011-04-11,1387.7559172493604
2011-04-12,1391.0868152483415
2011-04-13,1402.789758164941
2011-04-14,1409.5376452947119
2011-04-15,1394.6201753492367
2011-04-18,1372.6127278150002
2011-04-19,1349.8750232978932
2011-04-20,1349.1374310802996
2011-04-21,1340.576391705493
2011-04-22,1366.5435305242072
2011-04-25,1365.5770923838083
2011-04-26,1345.562814991733
2011-04-27,1370.4325573941014
2011-04-28,1406.2005271603252
2011-04-29,1407.427205917994
2011-05-02,1412.6780002753856
2011-05-03,1407.907793422386
2011-05-04,1412.6598577820616
2011-05-05,1387.0125534045326
2011-05-06,1376.9308007448888
2011-05-09,1372.149622706852
2011-05-10,1384.9921452696867
2011-05-11,1359.7832664349696
2011-05-12,1349.131545632934
2011-05-13,1337.1774680597644
2011-05-16,1351.2242172678482
2011-05-17,1343.5902012171882
2011-05-18,1338.3767016580018
2011-05-19,1346.020890892684
2011-05-20,1340.5968407944338
2011-05-23,1324.5336044041028
2011-05-24,1351.4156935189098
2011-05-25,1336.2840335534313
2011-05-26,1364.8531323682625
2011-05-27,1387.9280288656525
2011-05-30,1382.139789943629
2011-05-31,1365.3571738644798
2011-06-01,1312.751000735516
2011-06-02,1354.085895563769
2011-06-03,1310.0140142306427
2011-06-06,1349.0623133104484
2011-06-07,1356.641500798481
2011-06-08,1318.3460703190406
2011-06-09,1304.6697944722473
2011-06-10,1291.3558600010892
2011-06-13,1292.8745438496758
2011-06-14,1337.8947464245207
2011-06-15,1320.410865949596
2011-06-16,1306.6625532455655
2011-06-17,1317.2130068895046
2011-06-20,1287.2848812481723
2011-06-21,1330.262574049406
2011-06-22,1328.695556170985
2011-06-23,1302.407117308702
2011-06-24,1274.6633955821758
2011-06-27,1285.5593973649213
2011-06-28,1292.8760495860995
2011-06-29,1281.2403740762209
2011-06-30,1327.2583611438483
2011-07-01,1326.1675734283363
2011-07-04,1286.7742348302193
2011-07-05,1287.9874948001225
2011-07-06,1264.8903519532787
2011-07-07,1270.2329306609818
2011-07-08,1268.245008261129
2011-07-11,1244.3406763815287
2011-07-12,1243.9402664245251
2011-07-13,1259.6128058950633
2011-07-14,1259.0658021795514
2011-07-15,1267.3742742682978
2011-07-18,1249.9450501727001
2011-07-19,1264.6369491843438
2011-07-20,1268.946545150326
2011-07-21,1286.9121230619844
2011-07-22,1292.9608846696365
2011-07-25,1281.4104511096543
2011-07-26,1298.0641724616887
2011-07-27,1288.947413611158
2011-07-28,1270.475309490385
2011-07-29,1296.3380300995118
2011-08-01,1243.7930344199651
2011-08-02,1263.2917543484257
2011-08-03,1273.4659652225457
2011-08-04,1279.8031223631983
2011-08-05,1248.9347490640132
2011-08-08,1225.3639464471544
2011-08-09,1207.2617558308941
2011-08-10,1230.741932437661
2011-08-11,1233.902253284982
2011-08-12,1229.283583659356
2011-08-15,1248.0521455899511
2011-08-16,1236.5673345615871
2011-08-17,1241.3193207713352
2011-08-18,1229.5071836194647
2011-08-19,1218.0346989014247
2011-08-22,1216.423030559982
2011-08-23,1209.214119572185
2011-08-24,1218.358313935912
2011-08-25,1213.5751791132686
2011-08-26,1227.1252204844845
2011-08-29,1211.0023768745136
2011-08-30,1202.5569523798722
2011-08-31,1206.025159892176
2011-09-01,1204.9980511760768
2011-09-02,1214.5753803582832
2011-09-05,1211.612241597828
2011-09-06,1209.0051461070302
2011-09-07,1205.4623502954873
2011-09-08,1195.2846724013189
2011-09-09,1193.2445763423068
2011-09-12,1184.3186983966664
2011-09-13,1190.2821186557449
2011-09-14,1189.7412893403582
2011-09-15,1198.1846262676186
2011-09-16,1189.3013430255817
2011-09-19,1177.0311565897723
2011-09-20,1172.3790150057034
2011-09-21,1189.3426096456103
2011-09-22,1150.8346264720801
2011-09-23,1148.2499599271791
2011-09-26,1139.1142201709613
2011-09-27,1156.4093777621074
2011-09-28,1150.2733741448153
2011-09-29,1161.1527872819204
2011-09-30,1155.071749109165
2011-10-03,1122.399521759549
2011-10-04,1122.7424136704738
2011-10-05,1125.4165194532889
2011-10-06,1133.3604545892326
2011-10-07,1135.5851438747954
2011-10-10,1129.759754250128
2011-10-11,1128.2630707101232
2011-10-12,1151.2111391978797
2011-10-13,1141.0647874614167
2011-10-14,1152.2332337401826
2011-10-17,1143.0714517743115
2011-10-18,1134.6220993596755
2011-10-19,1130.9151773857764
2011-10-20,1109.3835972170427
2011-10-21,1110.402729871148
2011-10-24,1105.6626316257082
2011-10-25,1107.3133436450555
2011-10-26,1112.0618604445383
2011-10-27,1121.1449782656625
2011-10-28,1142.5520846978498
2011-10-31,1111.662230803978
2011-11-01,1097.9966989353402
2011-11-02,1107.2603814597974
2011-11-03,1114.638590842713
2011-11-04,1115.028889658177
2011-11-07,1114.4017202060736
2011-11-08,1118.9252526554646
2011-11-09,1098.1386189528503
2011-11-10,1099.2875305957527
2011-11-11,1109.8286344137903
2011-11-14,1082.322726572166
2011-11-15,1062.8259596220385
2011-11-16,1061.9444864004317
2011-11-17,1050.318715335197
2011-11-18,1054.8236638615049
2011-11-21,1044.7967861608224
2011-11-22,1031.106733300767
2011-11-23,1002.945158050772
2011-11-24,979.3623485656794
2011-11-25,975.4090202251327
2011-11-28,985.0368491824217
2011-11-29,983.7943877581445
2011-11-30,973.6722164586608
2011-12-01,974.9890012640451
2011-12-02,977.1981928704726
2011-12-05,985.5522847916739
2011-12-06,976.7720420681165
2011-12-07,964.6212963236692
2011-12-08,955.8027266326086
2011-12-09,957.5444271112792
2011-12-12,937.3594986921929
2011-12-13,924.1624847437747
2011-12-14,914.1079744989134
2011-12-15,922.8057070195119
2011-12-16,919.5547468325875
2011-12-19,924.4289264527723
2011-12-20,930.7851912977917
2011-12-21,910.5899930930154
2011-12-22,923.4464545630668
2011-12-23,921.944783834809
2011-12-26,921.944783834809
2011-12-27,911.0094567023324
2011-12-28,903.8946759890537
2011-12-29,913.9659181772613
2011-12-30,939.1705999894057
2012-01-02,939.1705999894057
2012-01-03,944.3730666893838
2012-01-04,933.115223709787
2012-01-05,924.7230764579248
2012-01-06,944.6143352548546
2012-01-09,946.3676083616448
2012-01-10,965.090317790147
2012-01-11,957.8682980275587
2012-01-12,967.8979474666788
2012-01-13,958.0252755719828
2012-01-16,958.4908335832434
2012-01-17,963.0223664090365
2012-01-18,969.3884849349273
2012-01-19,983.1081483918325
2012-01-20,968.0830683044584
2012-01-23,977.6408745223339
2012-01-24,972.6448003668193
2012-01-25,964.0775857819468
2012-01-26,995.114074878544
2012-01-27,1041.7228652159754
2012-01-30,1018.2949341743
2012-01-31,1024.7440968750082
2012-02-01,1019.1397553238681
2012-02-02,1017.1149970801362
2012-02-03,1003.1841922486867
2012-02-06,999.8301829131846
2012-02-07,1022.0650102652315
2012-02-08,1033.5436702531908
2012-02-09,1029.69487376423
2012-02-10,1020.423210930572
2012-02-13,1026.2432276158986
2012-02-14,1006.5679765454079
2012-02-15,1019.2024321074603
2012-02-16,997.4099442787599
2012-02-17,1007.0220117837902
2012-02-20,1008.6573445431417
2012-02-21,1008.4521243306202
2012-02-22,1010.5333581408347
2012-02-23,1021.9293989895856
2012-02-24,1035.142628444133
2012-02-27,1034.4201248468255
2012-02-28,1036.585446133523
2012-02-29,1033.0051462204021
2012-03-01,1029.5547541164622
2012-03-02,1018.3205557868142
