Date,MSCI Greece Rebased Index
1998-12-31,100000.0
1999-01-01,100000.0
1999-01-04,107942.73698767087
1999-01-05,108413.95773743499
1999-01-06,107779.79773911525
1999-01-07,112084.5861945593
1999-01-08,111653.4013084811
1999-01-11,110285.59454418307
1999-01-12,110011.93132400916
1999-01-13,103556.02863172384
1999-01-14,107445.11344487622
1999-01-15,105662.67924857463
1999-01-18,110083.5355650349
1999-01-19,109009.70591215395
1999-01-20,110636.9233963742
1999-01-21,110898.1385878612
1999-01-22,110306.83196947048
1999-01-25,107475.90430052606
1999-01-26,111275.17695945303
1999-01-27,111362.0331100688
1999-01-28,112750.6051385989
1999-01-29,114592.05814339753
1999-02-01,117164.79399366814
1999-02-02,119816.89955039094
1999-02-03,119347.59575772242
1999-02-04,117645.92025411574
1999-02-05,117518.03086815908
1999-02-08,117544.93577189116
1999-02-09,113875.5095936496
1999-02-10,114531.61896128052
1999-02-11,117015.62405136629
1999-02-12,118556.47336964979
1999-02-15,119242.11878059812
1999-02-16,116713.04971195833
1999-02-17,117413.68651845377
1999-02-18,115150.01300201767
1999-02-19,110682.6749242245
1999-02-22,110049.17285199952
1999-02-23,103414.64446268872
1999-02-24,110219.48085270161
1999-02-25,114058.03729142378
1999-02-26,113110.53104818915
1999-03-01,112473.525793015
1999-03-02,109671.1780718168
1999-03-03,110029.54973741954
1999-03-04,105745.93683518673
1999-03-05,106104.22331070232
1999-03-08,109067.74290005551
1999-03-09,113178.1721634768
1999-03-10,114175.03240472368
1999-03-11,113810.48659552124
1999-03-12,117402.8428463713
1999-03-15,120245.88586524171
1999-03-16,119643.23164526088
1999-03-17,121502.97999623201
1999-03-18,122255.51853818711
1999-03-19,124799.46069897665
1999-03-22,123404.75074496241
1999-03-23,118661.44465452751
1999-03-24,112518.33709665394
1999-03-25,112013.04344837645
1999-03-26,112338.73914145051
1999-03-29,110750.80694617573
1999-03-30,112662.97607814604
1999-03-31,109199.02959686628
1999-04-01,100954.20661448532
1999-04-02,107289.38603380363
1999-04-05,104343.02713800524
1999-04-06,107284.95614372745
1999-04-07,114651.80920420353
1999-04-08,117744.94462987162
1999-04-09,117218.63372748812
1999-04-12,117876.7692286651
1999-04-13,119735.89013069321
1999-04-14,120570.9397952088
1999-04-15,116566.1741417537
1999-04-16,113585.76039359125
1999-04-19,106765.00276562542
1999-04-20,106900.31358013414
1999-04-21,105897.56460141059
1999-04-22,104087.29208424209
1999-04-23,105864.23145961721
1999-04-26,103522.64092438016
1999-04-27,109875.9787108575
1999-04-28,113123.4544782535
1999-04-29,111642.6228707617
1999-04-30,115136.92604956844
1999-05-03,118770.46777442904
1999-05-04,118609.74617709916
1999-05-05,121252.01270168058
1999-05-06,127495.88774964045
1999-05-07,129174.70482224683
1999-05-10,128021.06726786788
1999-05-11,130053.76876103302
1999-05-12,129040.08075743988
1999-05-13,125811.92888737189
1999-05-14,127896.6010274295
1999-05-17,124225.34483426002
1999-05-18,129130.43622418855
1999-05-19,129023.25573307324
1999-05-20,130089.06946961266
1999-05-21,130208.86739932296
1999-05-24,130197.01357078717
1999-05-25,129243.38421858766
1999-05-26,122737.5225423278
1999-05-27,121267.18392155513
1999-05-28,120373.70717768576
1999-05-31,120248.0803357965
1999-06-01,126057.46494838908
1999-06-02,123996.4633710296
1999-06-03,125950.52254310458
1999-06-04,123369.41534154282
1999-06-07,124603.29035152604
1999-06-08,124975.39891134879
1999-06-09,125176.26619318104
1999-06-10,125228.96900797206
1999-06-11,125031.19637407009
1999-06-14,123654.1198525993
1999-06-15,122076.63006066487
1999-06-16,121451.46768594757
1999-06-17,120880.01211272295
1999-06-18,121941.14570369033
1999-06-21,121701.67075713865
1999-06-22,119766.6524795105
1999-06-23,117763.90051167867
1999-06-24,118302.71341394311
1999-06-25,120129.88029818918
1999-06-28,119236.41209424968
1999-06-29,118779.86960765411
1999-06-30,119638.23756245717
1999-07-01,121181.98839166941
1999-07-02,121523.3459273356
1999-07-05,126887.06080195641
1999-07-06,125831.93021454255
1999-07-07,124974.9740232315
1999-07-08,122985.95060610684
1999-07-09,122533.29031117096
1999-07-12,122932.8881777853
1999-07-13,122514.64968745757
1999-07-14,123500.21005186556
1999-07-15,126917.87500516161
1999-07-16,129628.29622060288
1999-07-19,132176.87292658354
1999-07-20,133141.10551301343
1999-07-21,133332.5388032972
1999-07-22,134185.9044334724
1999-07-23,132876.61331243868
1999-07-26,134577.83211378538
1999-07-27,131753.98061515766
1999-07-28,130316.81772615266
1999-07-29,130990.72336446361
1999-07-30,129454.28437428297
1999-08-02,127680.78526690483
1999-08-03,128247.8729017074
1999-08-04,131350.23325171918
1999-08-05,131932.93965645807
1999-08-06,132091.94340937864
1999-08-09,132981.7662859223
1999-08-10,136887.43465321357
1999-08-11,135922.07814813813
1999-08-12,138641.04771049035
1999-08-13,140440.13944219457
1999-08-16,143023.81050217722
1999-08-17,142044.47924767915
1999-08-18,143845.83289722053
1999-08-19,142465.95093398698
1999-08-20,143231.95647962313
1999-08-23,145247.58577989312
1999-08-24,145386.5428694957
1999-08-25,150338.96806101195
1999-08-26,146618.7102966344
1999-08-27,147085.12113081058
1999-08-30,148266.23931790248
1999-08-31,149682.90770102397
1999-09-01,155447.03474463377
1999-09-02,158962.2265752856
1999-09-03,155844.70403392217
1999-09-06,161341.30990626698
1999-09-07,163550.07084388807
1999-09-08,163502.4071356568
1999-09-09,163217.00727836028
1999-09-10,164194.65195939527
1999-09-13,171892.66078921032
1999-09-14,174132.05921583422
1999-09-15,175169.28416566047
1999-09-16,177373.67662500445
1999-09-17,176330.76694348332
1999-09-20,175862.5341815185
1999-09-21,167337.94326794244
1999-09-22,167785.40312069014
1999-09-23,159817.4369241872
1999-09-24,151878.5401565193
1999-09-27,146078.24107182058
1999-09-28,155324.92765993715
1999-09-29,156423.3442600465
1999-09-30,159562.24865630266
1999-10-01,159682.76411281948
1999-10-04,160374.02348831674
1999-10-05,164913.96134147118
1999-10-06,167235.4187585151
1999-10-07,169511.1631553281
1999-10-08,168853.69153211
1999-10-11,169326.458128687
1999-10-12,174020.60382652955
1999-10-13,175166.64507098193
1999-10-14,170453.98310956595
1999-10-15,167911.01810254384
1999-10-18,157044.08587107965
1999-10-19,154601.4535416284
1999-10-20,162673.71943528912
1999-10-21,161116.66202113
1999-10-22,158174.35713403634
1999-10-25,157034.1343071805
1999-10-26,154200.02561725167
1999-10-27,150219.27858619136
1999-10-28,150075.74784036085
1999-10-29,151218.3413521334
1999-11-01,156631.81551813078
1999-11-02,157146.6945194141
1999-11-03,154392.94810280227
1999-11-04,152862.28492856212
1999-11-05,154823.0854253654
1999-11-08,157745.1282665448
1999-11-09,157316.33778096136
1999-11-10,158400.5312542925
1999-11-11,155753.25480662097
1999-11-12,155409.98867980845
1999-11-15,155637.2510829701
1999-11-16,154643.13278721814
1999-11-17,155097.08167280268
1999-11-18,151769.8917245501
1999-11-19,152045.78131717767
1999-11-22,152247.48423785414
1999-11-23,149772.63621022447
1999-11-24,144395.33106652155
1999-11-25,145431.58476720337
1999-11-26,149641.03581579291
1999-11-29,155101.23671925295
1999-11-30,153059.6937823667
1999-12-01,151985.46336156217
1999-12-02,149181.2324239537
1999-12-03,148797.9665021351
1999-12-06,149648.3201057927
1999-12-07,145693.30343188634
1999-12-08,144027.27878429194
1999-12-09,143819.65785805162
1999-12-10,147555.37098200724
1999-12-13,151675.84372458045
1999-12-14,149235.37980352103
1999-12-15,144868.31267747955
1999-12-16,141084.09955355426
1999-12-17,141527.99347377635
1999-12-20,136218.66188878776
1999-12-21,135371.8686926274
1999-12-22,136527.65429707372
1999-12-23,131705.8031712479
1999-12-24,132682.12927330332
1999-12-27,138305.89349694437
1999-12-28,141784.13568407332
1999-12-29,145379.4202543533
1999-12-30,149841.78969333443
1999-12-31,149841.78969333443
2000-01-03,159204.923067315
2000-01-04,156570.65833894027
2000-01-05,151129.0816749346
2000-01-06,151327.6806371181
2000-01-07,151062.32188317407
2000-01-10,149246.7316617924
2000-01-11,145576.85645139054
2000-01-12,145762.53615778236
2000-01-13,145155.97850639533
2000-01-14,146126.95814310393
2000-01-17,148164.41317112296
2000-01-18,144996.11872806528
2000-01-19,140352.626116788
2000-01-20,140420.11194343143
2000-01-21,141450.62720762307
2000-01-24,140490.35862360583
2000-01-25,139082.15908619977
2000-01-26,135981.22792588203
2000-01-27,134571.62320189012
2000-01-28,135294.3735783689
2000-01-31,133845.87382692957
2000-02-01,136971.44785604236
2000-02-02,138410.53585275024
2000-02-03,142909.33408857396
2000-02-04,144538.05993060992
2000-02-07,147975.46787739397
2000-02-08,151182.63644091264
2000-02-09,153807.14581128594
2000-02-10,150907.78721485045
2000-02-11,151185.26101360124
2000-02-14,149153.5766927245
2000-02-15,149001.79055704168
2000-02-16,146846.57435083948
2000-02-17,144031.21340542784
2000-02-18,145394.7097520281
2000-02-21,143219.07571935086
2000-02-22,144408.12954369388
2000-02-23,143769.98760277644
2000-02-24,147123.81137933026
2000-02-25,143684.0647992068
2000-02-28,138116.84212341043
2000-02-29,137190.21660241298
2000-03-01,139644.0801161223
2000-03-02,142117.71990312572
2000-03-03,139909.7549997476
2000-03-06,139850.18279709516
2000-03-07,134965.59388190793
2000-03-08,132720.88531447347
2000-03-09,134022.98284687282
2000-03-10,133620.18964197673
2000-03-13,133997.73531358232
2000-03-14,124236.54289312346
2000-03-15,125965.44610643094
2000-03-16,130597.01680107517
2000-03-17,132120.4254281625
2000-03-20,132576.4975814362
2000-03-21,130427.7043609324
2000-03-22,128451.58313648433
2000-03-23,127374.31600754747
2000-03-24,128181.10860658577
2000-03-27,128148.29916159691
2000-03-28,127805.34327987896
2000-03-29,127775.96206665748
2000-03-30,128841.50279823397
