Date,EUROPE SMALL CAP QUALITY
2005-05-31,1000.0
2005-06-01,999.0944705232117
2005-06-02,1003.08144777534
2005-06-03,1005.8934478108704
2005-06-06,1005.2049909340261
2005-06-07,1012.5032312948505
2005-06-08,1020.1548819533901
2005-06-09,1010.3860406167556
2005-06-10,1011.6399742301942
2005-06-13,1011.3024642852827
2005-06-14,1014.0185303848798
2005-06-15,1017.9750350983288
2005-06-16,1022.2730086372425
2005-06-17,1034.5619511175207
2005-06-20,1028.4805245831724
2005-06-21,1027.3640731501455
2005-06-22,1027.9157666807369
2005-06-23,1025.983129142292
2005-06-24,1025.38892251626
2005-06-27,1024.5919875684017
2005-06-28,1024.773223113951
2005-06-29,1026.5103491973043
2005-06-30,1027.753466517673
2005-07-01,1021.7187281058009
2005-07-04,1018.5695912399991
2005-07-05,1017.4863625989879
2005-07-06,1026.9524609622954
2005-07-07,1014.56108906045
2005-07-08,1026.7460281216975
2005-07-11,1045.9512644810482
2005-07-12,1057.0133313426431
2005-07-13,1051.4938946549514
2005-07-14,1051.3922175964592
2005-07-15,1044.7800537082178
2005-07-18,1043.626703988059
2005-07-19,1036.5504542285662
2005-07-20,1036.3920248042027
2005-07-21,1047.231170553314
2005-07-22,1049.6613295646914
2005-07-25,1047.9678672425498
2005-07-26,1047.678514216152
2005-07-27,1061.04126145531
2005-07-28,1071.9579155471763
2005-07-29,1080.3766973966005
2005-08-01,1089.782265778858
2005-08-02,1095.3742878243525
2005-08-03,1106.6562471346608
2005-08-04,1108.889109976402
2005-08-05,1102.538005344826
2005-08-08,1109.8269409029353
2005-08-09,1112.5328941517557
2005-08-10,1122.1192909492252
2005-08-11,1124.1679994314582
2005-08-12,1128.483075432106
2005-08-15,1122.9442866674747
2005-08-16,1118.9979615284708
2005-08-17,1110.749626858402
2005-08-18,1095.3594121581239
2005-08-19,1098.9407476054992
2005-08-22,1108.9664421823686
2005-08-23,1105.1103368700421
2005-08-24,1105.5581647500817
2005-08-25,1105.442313038933
2005-08-26,1111.984244284934
2005-08-29,1105.991525979023
2005-08-30,1103.0144881609908
2005-08-31,1121.6981470189057
2005-09-01,1148.444850700132
2005-09-02,1155.1979799757933
2005-09-05,1153.202965429903
2005-09-06,1154.755982987669
2005-09-07,1160.176502657477
2005-09-08,1155.5283030315215
2005-09-09,1163.7876659249655
2005-09-12,1155.1620464474374
2005-09-13,1146.9575968032807
2005-09-14,1154.0499978318483
2005-09-15,1147.0457676884143
2005-09-16,1149.5556459900263
2005-09-19,1148.738836477573
2005-09-20,1154.359122297854
2005-09-21,1156.3818390162467
2005-09-22,1144.6768024316862
2005-09-23,1136.1406785912484
2005-09-26,1136.9783299847206
2005-09-27,1134.282951884592
2005-09-28,1138.8841189274733
2005-09-29,1139.0409520461328
2005-09-30,1149.9805132107172
2005-10-03,1141.3024544150196
2005-10-04,1146.135539786815
2005-10-05,1135.6969823238317
2005-10-06,1128.9543582354925
2005-10-07,1124.521275528954
2005-10-10,1120.160517419709
2005-10-11,1120.1288021464918
2005-10-12,1117.553272838773
2005-10-13,1084.547227397329
2005-10-14,1091.7003997909949
2005-10-17,1088.2927500387557
2005-10-18,1076.6301346092657
2005-10-19,1053.7473528559553
2005-10-20,1064.0572426893555
2005-10-21,1054.934435056219
2005-10-24,1073.838813495527
2005-10-25,1085.1430877944638
2005-10-26,1090.135105952494
2005-10-27,1078.4895696566784
2005-10-28,1070.6057738450238
2005-10-31,1081.1548296976357
2005-11-01,1084.0165514736198
2005-11-02,1095.5304670612788
2005-11-03,1100.5386069430333
2005-11-04,1082.0674184600828
2005-11-07,1081.679415601274
2005-11-08,1080.0891370263553
2005-11-09,1080.246068899447
2005-11-10,1081.9200096712318
2005-11-11,1082.948969325462
2005-11-14,1085.4547027110038
2005-11-15,1079.248321509843
2005-11-16,1067.795323121353
2005-11-17,1079.4853555584712
2005-11-18,1080.0462926772736
2005-11-21,1085.6815031192605
2005-11-22,1084.156801744941
2005-11-23,1096.3981434191817
2005-11-24,1096.528831716893
2005-11-25,1094.7105731900165
2005-11-28,1098.6875026798527
2005-11-29,1097.4272304480166
2005-11-30,1101.816177041089
2005-12-01,1101.3434503008912
2005-12-02,1108.1129356638917
2005-12-05,1113.78542599182
2005-12-06,1119.6592274232578
2005-12-07,1118.8398711622276
2005-12-08,1126.6904305688727
2005-12-09,1132.5242975718145
2005-12-12,1143.8265727164219
2005-12-13,1142.7557594015575
2005-12-14,1148.351568516157
2005-12-15,1140.2218394567071
2005-12-16,1147.10409638944
2005-12-19,1146.0403865254848
2005-12-20,1140.5963304348404
2005-12-21,1137.9036158281394
2005-12-22,1145.5830029501233
2005-12-23,1150.9500142736397
2005-12-26,1150.9500142736397
2005-12-27,1152.9932204288762
2005-12-28,1155.953727231695
2005-12-29,1158.6407725072918
2005-12-30,1155.092776931379
2006-01-02,1159.8800074149965
2006-01-03,1189.3180519933926
2006-01-04,1213.5377433151305
2006-01-05,1214.570550310377
2006-01-06,1223.9683945617933
2006-01-09,1219.3518061331793
2006-01-10,1211.5303848529056
2006-01-11,1219.6641483258575
2006-01-12,1220.0935445610137
2006-01-13,1221.3163462352763
2006-01-16,1228.3068276929316
2006-01-17,1215.8407024426738
2006-01-18,1208.1703004062558
2006-01-19,1220.3429595803323
2006-01-20,1221.790318349108
2006-01-23,1233.0291265079218
2006-01-24,1235.7863298972986
2006-01-25,1246.6464704760115
2006-01-26,1247.47112113659
2006-01-27,1253.6855379986387
2006-01-30,1251.2620243692072
2006-01-31,1257.5231632749815
2006-02-01,1264.5468246498967
2006-02-02,1260.4894472436047
2006-02-03,1249.3129984049042
2006-02-06,1250.755317250335
2006-02-07,1245.427928239401
2006-02-08,1244.3041728739158
2006-02-09,1254.984552449374
2006-02-10,1250.2905391050595
2006-02-13,1249.3318288862415
2006-02-14,1246.571082796277
2006-02-15,1253.7462784519744
2006-02-16,1255.2788022964207
2006-02-17,1267.293408046388
2006-02-20,1274.242055549365
2006-02-21,1272.9654201001704
2006-02-22,1272.9978052472038
2006-02-23,1282.885911570874
2006-02-24,1283.4883484684958
2006-02-27,1286.4115044145951
2006-02-28,1282.570716850769
2006-03-01,1290.0347438886788
2006-03-02,1292.7052903707277
2006-03-03,1298.093227360903
2006-03-06,1302.654370721971
2006-03-07,1278.1924733239714
2006-03-08,1266.1713982617073
2006-03-09,1277.0277273299487
