Date,FM ex GCC SMALL CAP
2010-11-30,1000.0
2010-12-01,1001.6399098261163
2010-12-02,1005.6994922722754
2010-12-03,995.9010370379569
2010-12-06,991.7871454114891
2010-12-07,977.1909540852721
2010-12-08,976.8617882769738
2010-12-09,985.1690845842568
2010-12-10,985.6366129099614
2010-12-13,967.842819446084
2010-12-14,967.4009111125936
2010-12-15,962.1868931565214
2010-12-16,967.0288011584504
2010-12-17,973.0412082828885
2010-12-20,962.2804760156746
2010-12-21,969.7056104626445
2010-12-22,976.7992047589021
2010-12-23,977.4993670567219
2010-12-24,972.3931024052063
2010-12-27,972.9641608659749
2010-12-28,976.5947297437816
2010-12-29,979.273919306116
2010-12-30,978.326528309511
2010-12-31,974.4943634853995
2011-01-03,974.0055200098844
2011-01-04,971.181881708863
2011-01-05,990.9117176385784
2011-01-06,997.8064433960569
2011-01-07,998.049158884651
2011-01-10,946.283111613561
2011-01-11,984.6811815639974
2011-01-12,986.9104278793855
2011-01-13,966.5565652007396
2011-01-14,969.8771409068971
2011-01-17,962.62524520337
2011-01-18,947.205918491614
2011-01-19,936.7024305782196
2011-01-20,910.5311258350937
2011-01-21,903.2102707907194
2011-01-24,896.5931624811957
2011-01-25,916.0701317517293
2011-01-26,935.5510714550524
2011-01-27,936.1664722228337
2011-01-28,939.6989400012319
2011-01-31,932.0757544692099
2011-02-01,920.9340016238677
2011-02-02,923.56492859833
2011-02-03,926.8736184305104
2011-02-04,932.9273123426408
2011-02-07,906.9080603433422
2011-02-08,916.822272994555
2011-02-09,909.386162326518
2011-02-10,907.858016342795
2011-02-11,904.2770784537987
2011-02-14,872.9067107750121
2011-02-15,880.7488502786347
2011-02-16,876.6106545686895
2011-02-17,871.2362336613719
2011-02-18,864.8541137271632
2011-02-21,857.4595882562064
2011-02-22,860.0182311178671
2011-02-23,849.9205978051725
2011-02-24,836.7279237927056
2011-02-25,836.6698602627652
2011-02-28,807.6765717955143
2011-03-01,820.7247319415043
2011-03-02,799.0698751735222
2011-03-03,796.9985028411422
2011-03-04,793.8359606309144
2011-03-07,807.5338590973811
2011-03-08,823.416917563596
2011-03-09,829.9932639026266
2011-03-10,849.6461004207408
2011-03-11,849.2046801584845
2011-03-14,827.5340278244328
2011-03-15,809.4364765013597
2011-03-16,811.5301334735746
2011-03-17,805.78229260823
2011-03-18,801.2062924231786
2011-03-21,803.8751066812915
2011-03-22,803.7285313138547
2011-03-23,802.4621364229325
2011-03-24,792.025957423236
2011-03-25,798.0095160118542
2011-03-28,796.3929149507406
2011-03-29,796.6154274636021
2011-03-30,795.5155877302569
2011-03-31,794.353338185154
2011-04-01,799.3103241424417
2011-04-04,800.7944937749348
2011-04-05,801.4986003822597
2011-04-06,796.6591647867388
2011-04-07,800.4350299883436
2011-04-08,794.1751465411477
2011-04-11,779.8856658210289
2011-04-12,780.8073690192298
2011-04-13,777.8183651378265
2011-04-14,779.6878936003154
2011-04-15,783.7433713790397
2011-04-18,793.4549591902932
2011-04-19,786.8712631968921
2011-04-20,774.63883056298
2011-04-21,773.8148808024961
2011-04-22,773.4307772697371
2011-04-25,763.2986733379595
2011-04-26,756.3515122646209
2011-04-27,766.3108364205823
2011-04-28,760.5646564116688
2011-04-29,758.9103447447865
2011-05-02,757.1265926889
2011-05-03,753.1030272591265
2011-05-04,752.0567443050421
2011-05-05,762.5966192101799
2011-05-06,769.1083757770231
2011-05-09,769.2726695420447
2011-05-10,763.4616699158184
2011-05-11,765.1959628923836
2011-05-12,772.3355107399435
2011-05-13,773.5201628159059
2011-05-16,774.5781694663492
2011-05-17,774.9855244172884
2011-05-18,765.3636135648649
2011-05-19,765.9669100404594
2011-05-20,769.7513451893927
2011-05-23,758.3007846076403
2011-05-24,755.2277368722986
2011-05-25,750.3883622951167
2011-05-26,757.0228662964415
2011-05-27,751.4439024784541
2011-05-30,754.3564308616966
2011-05-31,757.17900151753
2011-06-01,752.4753372260556
2011-06-02,756.9015726576944
2011-06-03,753.0992972457128
2011-06-06,752.2725269099622
2011-06-07,752.425428310754
2011-06-08,754.067180298165
2011-06-09,761.6474011270085
2011-06-10,768.2234243016583
2011-06-13,762.0889440843557
2011-06-14,755.2591111283874
2011-06-15,764.547507394057
2011-06-16,767.3059430296364
2011-06-17,759.5749407364914
2011-06-20,750.3569297995505
