Date,FM GCC COUNTRIES DOMESTIC SMALL CAP
2014-06-02,1009.0522138239337
2014-06-03,1006.974459561675
2014-06-04,1008.5921686270693
2014-06-05,1003.9178558268945
2014-06-06,1002.2633082221482
2014-06-09,999.8182811533518
2014-06-10,1003.6030747438139
2014-06-11,1007.606851606891
2014-06-12,1006.459069697304
2014-06-13,1007.8329882614504
2014-06-16,989.3172011689043
2014-06-17,987.5940940165435
2014-06-18,977.9860732459772
2014-06-19,971.5317758167637
2014-06-20,974.8248572327765
2014-06-23,973.0025555944557
2014-06-24,969.2266097601598
2014-06-25,970.5352016996583
2014-06-26,974.8133205505171
2014-06-27,971.5958393282458
2014-06-30,967.0382665610072
2014-07-01,960.0551569381571
2014-07-02,968.0691709316891
2014-07-03,971.4139646680821
2014-07-04,972.9151563126496
2014-07-07,970.0304606505898
2014-07-08,972.7721779570624
2014-07-09,974.3216968731999
2014-07-10,985.0251297513197
2014-07-11,985.0620338650201
2014-07-14,994.2818488262335
2014-07-15,991.0907740872572
2014-07-16,997.6668996061617
2014-07-17,995.7151978620766
2014-07-18,996.341688789337
2014-07-21,993.5153301551386
2014-07-22,1001.574123694911
2014-07-23,1004.5210998166935
2014-07-24,1005.2931515583253
2014-07-25,1007.5467664043152
2014-07-28,1007.0182210854643
2014-07-29,1008.4970673625305
2014-07-30,1010.28558720455
2014-07-31,1010.6130498609175
2014-08-01,1007.1452952862386
2014-08-04,1018.0946749182873
2014-08-05,1018.3716425452699
2014-08-06,1025.375210345288
2014-08-07,1023.8582054657304
2014-08-08,1019.4976245086683
2014-08-11,1021.2604801643673
2014-08-12,1023.8368429038279
2014-08-13,1022.3604126301659
2014-08-14,1020.8180986113459
2014-08-15,1020.6274055495114
2014-08-18,1024.034303943334
2014-08-19,1031.1825027048399
2014-08-20,1034.0548721612236
2014-08-21,1040.7792987411328
2014-08-22,1044.7525543962233
2014-08-25,1044.6191665556055
2014-08-26,1044.2471029066
2014-08-27,1042.9754695164745
2014-08-28,1054.9621870572662
2014-08-29,1055.2425064965844
2014-09-01,1055.1419605293304
2014-09-02,1059.183985575282
2014-09-03,1059.8842647587467
2014-09-04,1075.5575765500407
2014-09-05,1076.2215778320099
2014-09-08,1076.3228790301687
2014-09-09,1078.029520992411
2014-09-10,1082.4766751996633
2014-09-11,1081.135799596581
2014-09-12,1081.1539114398008
2014-09-15,1079.2154427351093
2014-09-16,1081.2165442945252
2014-09-17,1079.1958447011268
2014-09-18,1077.5819954120552
2014-09-19,1083.4918673475975
2014-09-22,1090.47074846306
2014-09-23,1083.3137987267014
2014-09-24,1088.6378351370067
2014-09-25,1092.3292064312532
2014-09-26,1096.1730285409576
2014-09-29,1099.041289388825
2014-09-30,1112.5684769508714
2014-10-01,1109.694576362831
2014-10-02,1106.001276337996
2014-10-03,1116.17652140203
2014-10-06,1111.896709970597
2014-10-07,1107.910635109818
2014-10-08,1103.5381059656252
2014-10-09,1101.0463250594744
2014-10-10,1107.52775976144
