Date,FM AFRICA SMALL CAP
2010-11-30,1000.0
2010-12-01,993.2356214061044
2010-12-02,988.6088888121565
2010-12-03,970.6794635933977
2010-12-06,970.7588420099547
2010-12-07,965.3150029163827
2010-12-08,971.3208279059345
2010-12-09,967.8981579226349
2010-12-10,959.3257794936738
2010-12-13,943.5520619226323
2010-12-14,941.6215334752064
2010-12-15,939.3007249817124
2010-12-16,950.7979921603389
2010-12-17,950.4867641384349
2010-12-20,953.2290653133459
2010-12-21,953.8047360022365
2010-12-22,968.8721853889961
2010-12-23,975.4935317916098
2010-12-24,968.9641708207114
2010-12-27,964.6772897451332
2010-12-28,962.3347622587088
2010-12-29,964.0873594095535
2010-12-30,961.2603818598128
2010-12-31,961.115122844289
2011-01-03,968.9105260395231
2011-01-04,985.1776314032578
2011-01-05,1025.0121749595178
2011-01-06,1052.4693907227975
2011-01-07,1041.8473528470354
2011-01-10,1036.475837900108
2011-01-11,1032.2535845731757
2011-01-12,1017.4276649133916
2011-01-13,997.6830607184751
2011-01-14,1008.526328685815
2011-01-17,1005.0780466604514
2011-01-18,989.5466443673183
2011-01-19,992.3820979389773
2011-01-20,1004.8434443415457
2011-01-21,996.9399452193511
2011-01-24,989.9855831229125
2011-01-25,993.96726336923
2011-01-26,999.0102862680808
2011-01-27,990.9698477377945
2011-01-28,994.3303646519796
2011-01-31,968.1821307598757
2011-02-01,961.4987435324641
2011-02-02,962.5992455185703
2011-02-03,972.868717893057
2011-02-04,981.7133528348744
2011-02-07,980.5405460419356
2011-02-08,966.7415933091715
2011-02-09,966.4575224159099
2011-02-10,965.2015563201631
2011-02-11,968.8604793397396
2011-02-14,969.4863938461646
2011-02-15,963.1531474667446
2011-02-16,959.2160822583667
2011-02-17,956.4012374604009
2011-02-18,945.7950210469302
2011-02-21,940.3460604001577
2011-02-22,933.6400382042015
2011-02-23,930.0883079097159
2011-02-24,920.0352694651373
2011-02-25,909.2406053990385
2011-02-28,896.3943127057859
2011-03-01,895.7240042855162
2011-03-02,881.0572574810092
2011-03-03,871.7213713837649
2011-03-04,861.7659399746694
2011-03-07,866.3411672201098
2011-03-08,875.4860468061022
2011-03-09,873.0390133192684
2011-03-10,883.8491505116589
2011-03-11,886.7121224760416
2011-03-14,871.3595269576286
2011-03-15,850.4306961775866
2011-03-16,838.7972063952217
2011-03-17,821.9460834684708
2011-03-18,812.6896765504274
2011-03-21,808.7715865913749
2011-03-22,823.5418437608878
2011-03-23,829.8061477288445
2011-03-24,822.6411114118412
2011-03-25,829.5376769796607
2011-03-28,822.9729506046422
2011-03-29,820.9762972775343
2011-03-30,819.116595850784
2011-03-31,815.5799873057847
2011-04-01,827.0849649468739
2011-04-04,818.153558991711
2011-04-05,826.6525352182705
2011-04-06,818.8486068016365
2011-04-07,817.561003333788
2011-04-08,809.076858263311
2011-04-11,805.5695401971507
2011-04-12,799.7487315725441
2011-04-13,798.7969663340649
2011-04-14,808.555965607678
2011-04-15,816.9727729974136
2011-04-18,838.7681154832503
2011-04-19,843.1496149284816
2011-04-20,827.9140174550747
2011-04-21,829.356161826279
2011-04-22,829.3603615179652
2011-04-25,831.5767637404678
2011-04-26,829.6530746552809
2011-04-27,830.3468958879768
2011-04-28,826.9558887861781
2011-04-29,822.9837180915071
2011-05-02,820.8479263495395
2011-05-03,822.688891450199
2011-05-04,824.3425492327747
2011-05-05,843.0871250945078
2011-05-06,855.4283624906498
2011-05-09,861.9033081333405
2011-05-10,865.1312620174574
2011-05-11,871.5626385464421
2011-05-12,872.1795392167407
