Date,FM CENTRAL & EAST EUROPE + CIS SMALL CAP
2010-11-30,1000.0
2010-12-01,1001.5219035179753
2010-12-02,1002.3365120949413
2010-12-03,1014.2046973935192
2010-12-06,1005.1507451828089
2010-12-07,1006.305268572361
2010-12-08,1015.1336737889006
2010-12-09,1022.2833928514101
2010-12-10,1029.8442016188062
2010-12-13,1032.424690476197
2010-12-14,1038.9273706878837
2010-12-15,1037.8179559428268
2010-12-16,1027.7875232294655
2010-12-17,1028.3604919682546
2010-12-20,1032.131370416798
2010-12-21,1028.0020369616097
2010-12-22,1026.5186730283979
2010-12-23,1025.6519568020703
2010-12-24,1025.0618177998244
2010-12-27,1023.5496436412749
2010-12-28,1030.8448530095375
2010-12-29,1036.3492301884623
2010-12-30,1043.5711478474755
2010-12-31,1047.6861365858479
2011-01-03,1063.582277920367
2011-01-04,1067.7120542342518
2011-01-05,1070.0134476521048
2011-01-06,1083.960025432015
2011-01-07,1090.9843493203243
2011-01-10,1100.8313982381612
2011-01-11,1115.889936393363
2011-01-12,1122.6182585073332
2011-01-13,1116.3827375742922
2011-01-14,1110.8454248593607
2011-01-17,1117.1567797656676
2011-01-18,1130.622024101929
2011-01-19,1131.0667472701657
2011-01-20,1117.4985334411429
2011-01-21,1120.317532303477
2011-01-24,1125.1130454208133
2011-01-25,1135.2791108317483
2011-01-26,1128.2896280311818
2011-01-27,1124.0481992262328
2011-01-28,1125.5832189851474
2011-01-31,1111.849510344396
2011-02-01,1115.2136532123027
2011-02-02,1119.1025176743483
2011-02-03,1115.3631825858752
2011-02-04,1116.7662164970714
2011-02-07,1120.4368344067939
2011-02-08,1125.3348196106053
2011-02-09,1124.1737747863174
2011-02-10,1118.644101757167
2011-02-11,1115.1005129359642
2011-02-14,1116.7085512767858
2011-02-15,1114.5062462269493
2011-02-16,1109.4240085023928
2011-02-17,1112.245928231088
2011-02-18,1115.804742671667
2011-02-21,1125.1575071724878
2011-02-22,1110.782828670959
2011-02-23,1107.74232682214
2011-02-24,1087.4142099362514
2011-02-25,1096.8145750631002
2011-02-28,1101.529660894068
2011-03-01,1093.6083193712202
2011-03-02,1084.7299325805757
2011-03-03,1089.9001040495968
2011-03-04,1091.1689846870895
2011-03-07,1092.7626047172687
2011-03-08,1092.3391400211472
2011-03-09,1100.0017995451947
2011-03-10,1099.5384717389577
2011-03-11,1086.5588046973319
2011-03-14,1084.9055569139744
2011-03-15,1057.9301958993292
2011-03-16,1074.124232861582
2011-03-17,1080.4008739125093
2011-03-18,1080.3822134416587
2011-03-21,1091.1881196894988
2011-03-22,1096.1811952658852
2011-03-23,1093.3721611976173
2011-03-24,1093.4360979324695
2011-03-25,1104.1896111182627
2011-03-28,1099.1085809012388
2011-03-29,1090.0407889548483
2011-03-30,1096.1568728728403
2011-03-31,1095.7921476077033
2011-04-01,1093.685123112366
2011-04-04,1087.7096911630258
2011-04-05,1084.9385968466422
2011-04-06,1087.8309910233095
2011-04-07,1087.4945357993874
2011-04-08,1089.762397659404
2011-04-11,1083.2951045833006
2011-04-12,1079.433542230122
2011-04-13,1087.3891349802
2011-04-14,1081.4977719138844
2011-04-15,1089.0072232772634
2011-04-18,1085.9281002152654
2011-04-19,1073.0471344809832
2011-04-20,1071.5510224118782
2011-04-21,1065.0227104333314
2011-04-22,1068.4008766893198
2011-04-25,1069.4062801480973
2011-04-26,1059.0054971711882
2011-04-27,1065.9680033361037
2011-04-28,1064.8453708271702
2011-04-29,1064.6864788368518
2011-05-02,1065.6259536215946
2011-05-03,1056.764457519961
2011-05-04,1054.940348466098
2011-05-05,1052.018487767556
2011-05-06,1042.8154490410616
2011-05-09,1042.691702035262
2011-05-10,1036.5611202668372
2011-05-11,1030.7505072934755
2011-05-12,1028.2839448918637
2011-05-13,1030.3779045676906
2011-05-16,1022.2436236424502
2011-05-17,1027.6096446693798
2011-05-18,1023.926375168265
2011-05-19,1031.0209860100563
2011-05-20,1035.1101132129788
2011-05-23,1017.9338548845624
2011-05-24,1034.0686667697905
2011-05-25,1037.6360399148134
2011-05-26,1045.1832765359288
2011-05-27,1046.2155926471241
2011-05-30,1042.774070198304
2011-05-31,1047.4552714343208
2011-06-01,1039.05948047225
2011-06-02,1031.1406666630762
2011-06-03,1028.9733349470866
2011-06-06,1024.8062392586492
2011-06-07,1020.9514073032794
2011-06-08,1019.3201854323348
2011-06-09,1023.3485478419204
2011-06-10,1033.1463281067965
2011-06-13,1022.075018001098
2011-06-14,1024.1168934465654
2011-06-15,1029.0836076854198
2011-06-16,1022.1565226261167
2011-06-17,1018.4115739368731
2011-06-20,1017.4213450165006
2011-06-21,1015.2163896587009
2011-06-22,1016.6157491708103
2011-06-23,1016.23484452668
2011-06-24,1016.2693110337134
2011-06-27,1009.9254344281964
2011-06-28,1005.7488556301237
2011-06-29,1009.4540628948045
2011-06-30,1016.6709019143893
2011-07-01,1021.6269322446234
2011-07-04,1018.4286100730044
2011-07-05,1016.163715296044
2011-07-06,1018.5060524426202
2011-07-07,1026.2124977899807
2011-07-08,1032.0234295775476
2011-07-11,1021.4733441961669
2011-07-12,1009.8185771771084
2011-07-13,1007.6038495729811
2011-07-14,1010.6347574446672
2011-07-15,1011.7692345177986
2011-07-18,1008.4162883649058
2011-07-19,1004.9381684414781
2011-07-20,1004.2565300336249
2011-07-21,1006.6439753041694
2011-07-22,1006.6599858234034
2011-07-25,997.7686284778111
2011-07-26,993.4838352231234
2011-07-27,995.4965513275496
2011-07-28,994.3111981604169
2011-07-29,997.2567690110428
2011-08-01,996.495898174632
2011-08-02,992.2468216025721
2011-08-03,979.2965489558178
2011-08-04,970.2883671298139
2011-08-05,951.408443867483
2011-08-08,899.5617272580168
2011-08-09,867.6691011736232
2011-08-10,902.0014086337363
2011-08-11,881.4035608122459
2011-08-12,901.5481017638549
2011-08-15,906.9413462652295
2011-08-16,904.9706985546653
2011-08-17,903.5868901279665
2011-08-18,882.1524922371997
2011-08-19,852.205905989703
2011-08-22,858.8337579737974
2011-08-23,863.3850718074211
2011-08-24,862.0935261899878
2011-08-25,857.982863703884
2011-08-26,848.9459675901542
2011-08-29,857.7286810593616
2011-08-30,864.3136400570647
2011-08-31,876.994278091996
2011-09-01,874.0429451249298
2011-09-02,868.7318358518776
2011-09-05,852.958883326121
2011-09-06,846.534557436607
2011-09-07,854.4256505931828
2011-09-08,850.8448741815931
2011-09-09,853.9419118203853
2011-09-12,830.4631347971368
2011-09-13,824.6735314570599
2011-09-14,821.7231087472433
2011-09-15,820.2461826498426
2011-09-16,827.6722925084823
2011-09-19,816.0427021425821
2011-09-20,813.6641475453533
2011-09-21,815.9922096951748
2011-09-22,791.5977307488172
2011-09-23,779.81766480497
2011-09-26,776.8762373094567
2011-09-27,787.5041828823065
2011-09-28,787.0748477750768
2011-09-29,784.9053476643026
2011-09-30,785.0311751229523
2011-10-03,770.7539166491739
2011-10-04,755.2807581099673
2011-10-05,760.9235364100634
2011-10-06,762.3854037625666
2011-10-07,764.0626013256842
2011-10-10,762.0054255140121
2011-10-11,761.8799346461077
2011-10-12,758.15168680822
2011-10-13,762.4905581378301
2011-10-14,765.990142905514
2011-10-17,763.5919934956779
2011-10-18,757.5940164540268
2011-10-19,759.5873229564241
2011-10-20,754.1783038246879
2011-10-21,751.1671412590126
2011-10-24,750.1730152326654
2011-10-25,755.8962619681419
2011-10-26,760.5414459610386
2011-10-27,778.7067898639373
2011-10-28,771.9034558864367
2011-10-31,760.4209567919115
2011-11-01,757.2434049955714
2011-11-02,751.4483409784165
2011-11-03,753.7073866456898
2011-11-04,761.2416650554385
2011-11-07,754.9089297491482
2011-11-08,758.7227918248633
2011-11-09,752.7504140814292
2011-11-10,752.743959081312
2011-11-11,762.660821251192
2011-11-14,767.3593651578778
2011-11-15,762.6735150379059
2011-11-16,762.2374189567767
2011-11-17,753.3561243252234
2011-11-18,750.4259199959907
2011-11-21,744.2937447857176
2011-11-22,735.6345074920757
2011-11-23,732.548697045654
2011-11-24,727.2114405889081
2011-11-25,716.0105849853478
2011-11-28,724.4571719641236
2011-11-29,719.5440199879157
2011-11-30,718.0354883565996
2011-12-01,723.4631373467031
2011-12-02,731.2511160028931
2011-12-05,736.9744018322098
2011-12-06,730.8242786466318
2011-12-07,733.2882939782676
2011-12-08,731.8380053750183
2011-12-09,734.8204829184843
2011-12-12,731.6045930665937
2011-12-13,726.904678515162
2011-12-14,721.0457680592709
2011-12-15,715.0876892313013
2011-12-16,719.5735377525042
2011-12-19,714.5699352661877
2011-12-20,710.2849555555111
2011-12-21,714.3426630584032
2011-12-22,710.7429416279086
2011-12-23,713.1868796913789
2011-12-26,712.3698637447702
2011-12-27,706.9238052996682
