Date,FM (FRONTIER MARKETS) SMALL CAP
2010-11-30,1000.0
2010-12-01,997.4882913579034
2010-12-02,996.3429008815197
2010-12-03,985.0907526523577
2010-12-06,990.4275159912918
2010-12-07,981.8349034202497
2010-12-08,986.8748988928653
2010-12-09,990.1508677277051
2010-12-10,989.340445263916
2010-12-13,970.5760389476143
2010-12-14,969.6051571139811
2010-12-15,968.1025255335799
2010-12-16,974.9175399799097
2010-12-17,979.6453988039127
2010-12-20,971.2683973770468
2010-12-21,976.9721683836659
2010-12-22,983.3874778023752
2010-12-23,985.2552163390077
2010-12-24,980.6555796205707
2010-12-27,983.0857361683335
2010-12-28,986.4356462054945
2010-12-29,989.9899753681939
2010-12-30,984.6939404999941
2010-12-31,978.7775508863367
2011-01-03,984.5786547592414
2011-01-04,987.3740560552111
2011-01-05,1006.0827068389342
2011-01-06,1013.2675979104514
2011-01-07,1014.9378157522912
2011-01-10,984.0424649009245
2011-01-11,1008.437720980882
2011-01-12,1007.320358456843
2011-01-13,987.5087538652879
2011-01-14,988.8816290627301
2011-01-17,984.5125752414098
2011-01-18,972.8132832764737
2011-01-19,963.0845301668344
2011-01-20,946.0318783255071
2011-01-21,937.0972523680059
2011-01-24,934.9030627207278
2011-01-25,947.6549436395771
2011-01-26,958.344297033216
2011-01-27,954.2151950572892
2011-01-28,959.2693601013593
2011-01-31,944.3212008603937
2011-02-01,932.6296679097026
2011-02-02,938.0696884082306
2011-02-03,942.0692060253828
2011-02-04,947.1404877927654
2011-02-07,932.1472350030627
2011-02-08,935.9164713734875
2011-02-09,931.2742223732764
2011-02-10,932.746189849044
2011-02-11,931.7687718876691
2011-02-14,912.236513170573
2011-02-15,913.4406207357476
2011-02-16,902.6087157574041
2011-02-17,896.8672093512617
2011-02-18,891.5376569130516
2011-02-21,877.0248303862413
2011-02-22,873.7477860082009
2011-02-23,869.3289041779906
2011-02-24,859.1279255176939
2011-02-25,860.0801085486816
2011-02-28,828.8276832543592
2011-03-01,830.4598065300182
2011-03-02,803.6600006867038
2011-03-03,800.6638716220606
2011-03-04,797.2844926356133
2011-03-07,806.199372705281
2011-03-08,821.4605952420056
2011-03-09,831.1573105596381
2011-03-10,850.5239638318868
2011-03-11,849.3431790994996
2011-03-14,837.2344038309557
2011-03-15,818.9807109172442
2011-03-16,818.7256665303063
2011-03-17,813.2146547919327
2011-03-18,807.9844474055926
