Date,FM ASIA INDEX SMALL CAP
2010-11-30,1000.0
2010-12-01,1007.5882623514448
2010-12-02,1020.9155113407619
2010-12-03,1012.1893853259605
2010-12-06,1001.7801993504808
2010-12-07,975.4115018694184
2010-12-08,967.5438307874201
2010-12-09,983.7646088055134
2010-12-10,988.146504566707
2010-12-13,963.2953022245983
2010-12-14,962.9160375884575
2010-12-15,952.3403537256654
2010-12-16,955.6719417384834
2010-12-17,966.9840324657615
2010-12-20,945.0979234627958
2010-12-21,958.7241808227132
2010-12-22,962.91540524126
2010-12-23,959.246647892854
2010-12-24,954.1278072574127
2010-12-27,962.9188172096725
2010-12-28,971.4054162345344
2010-12-29,972.7932204833352
2010-12-30,971.8198282998703
2010-12-31,964.2640040281732
2011-01-03,952.163383822354
2011-01-04,937.6751709161192
2011-01-05,946.7031843793447
2011-01-06,934.0498030463729
2011-01-07,937.7546689542178
2011-01-10,828.5621309622283
2011-01-11,905.8277722518669
2011-01-12,921.4487333231402
2011-01-13,898.5691706362396
2011-01-14,900.9126512608534
2011-01-17,885.5959479581342
2011-01-18,860.0976578061177
2011-01-19,833.5735351219486
2011-01-20,780.8685050106585
2011-01-21,773.479851106802
2011-01-24,765.3256817635997
2011-01-25,800.272728484641
2011-01-26,839.0991552682201
2011-01-27,845.7063994005192
2011-01-28,854.2653005679434
2011-01-31,860.9891412084041
2011-02-01,841.181455861171
2011-02-02,841.6820943663394
2011-02-03,841.2029076750457
2011-02-04,846.8483821112454
2011-02-07,792.8358316183381
2011-02-08,822.5670751641121
2011-02-09,810.726222851239
2011-02-10,808.5626408595313
2011-02-11,798.5066631205253
2011-02-14,732.4828038802476
2011-02-15,755.8462603429465
2011-02-16,753.4759127929543
2011-02-17,745.9804711886113
2011-02-18,740.6127112733615
2011-02-21,729.4752318935325
2011-02-22,744.4577001061658
2011-02-23,728.505869310495
2011-02-24,711.0086121284339
2011-02-25,713.7164146933183
2011-02-28,659.1404643349389
2011-03-01,688.3967859048947
2011-03-02,657.0761279005504
2011-03-03,661.4263540816212
2011-03-04,661.242263583611
2011-03-07,685.2140485589427
2011-03-08,709.9606531145397
2011-03-09,723.6911785296996
2011-03-10,758.2366745590268
2011-03-11,759.4903373268529
2011-03-14,727.6861140211397
2011-03-15,710.9311090535211
2011-03-16,716.5419967112231
2011-03-17,712.7829872849381
2011-03-18,709.458754789091
2011-03-21,714.1650283950205
2011-03-22,702.9158110151827
2011-03-23,697.6168607229414
2011-03-24,682.924615420905
2011-03-25,686.0048873889073
2011-03-28,687.2104886367447
2011-03-29,688.6922805973542
2011-03-30,686.3841534366089
2011-03-31,688.0906995097887
2011-04-01,690.6840858091558
2011-04-04,698.2837915563321
2011-04-05,693.8175626557306
2011-04-06,688.075841855621
2011-04-07,694.2852093838711
2011-04-08,688.2904910139076
2011-04-11,666.2797330312583
2011-04-12,673.1683253793519
2011-04-13,668.4383985249596
2011-04-14,668.4184134673567
2011-04-15,669.271288781766
2011-04-18,673.7644805513439
2011-04-19,662.1794498747006
2011-04-20,646.6158155325238
2011-04-21,646.0058834864091
2011-04-22,644.4499279191682
2011-04-25,622.0141280481015
2011-04-26,613.642852011321
2011-04-27,633.7352894811085
2011-04-28,625.9512554407725
2011-04-29,624.8633893683048
2011-05-02,622.711094800514
2011-05-03,615.6055301613609
2011-05-04,616.9050984172596
2011-05-05,623.9792393389553
2011-05-06,628.9103271169777
2011-05-09,622.8244007196034
2011-05-10,611.0909582542968
2011-05-11,609.8999770639466
2011-05-12,623.2225224968108
2011-05-13,621.3641043096725
2011-05-16,628.2960147654014
2011-05-17,628.5638112392824
2011-05-18,619.4336291406114
2011-05-19,615.8533544325184
2011-05-20,619.2263945454788
2011-05-23,596.1828077795731
2011-05-24,594.3821714701144
2011-05-25,581.1701836589092
2011-05-26,589.0032697707381
2011-05-27,585.424952864004
2011-05-30,594.7359872637224
2011-05-31,604.4689560205085
2011-06-01,600.4841684502572
2011-06-02,610.5845877378807
2011-06-03,604.8556117257497
2011-06-06,607.2981733384722
2011-06-07,617.8929012959085
2011-06-08,621.2092622347959
2011-06-09,631.1225971981917
2011-06-10,639.6801361583746
2011-06-13,633.3481505975585
2011-06-14,623.5206282360906
2011-06-15,629.4441408517921
2011-06-16,633.9939507373432
2011-06-17,622.7416159021345
2011-06-20,612.6950043296633
2011-06-21,617.7105475117503
2011-06-22,619.5388684230563
2011-06-23,631.4421926714856
2011-06-24,630.5282240008141
2011-06-27,633.9946613744671
2011-06-28,628.6305044424514
2011-06-29,631.2780734912193
2011-06-30,628.3645357314672
2011-07-01,626.7777325262792
2011-07-04,625.0082325080681
2011-07-05,634.629249186628
2011-07-06,647.1522391355622
2011-07-07,650.4966213269023
2011-07-08,655.2838963142765
2011-07-11,674.1872169574324
2011-07-12,679.057093159533
2011-07-13,672.7503874792687
2011-07-14,675.0082313978511
2011-07-15,675.1013616637306
2011-07-18,672.6217928728968
2011-07-19,670.9375991210338
2011-07-20,674.5730880552996
2011-07-21,667.042257423545
2011-07-22,666.9815213713405
2011-07-25,670.4924085536661
2011-07-26,657.0672549862181
2011-07-27,658.2589599645431
2011-07-28,654.1448654455983
2011-07-29,651.892095565125
2011-08-01,645.912679639302
2011-08-02,629.2548974081608
2011-08-03,638.9776038280087
2011-08-04,638.5218937041352
2011-08-05,632.7918104300295
2011-08-08,631.5629117325622
2011-08-09,621.7529542393519
2011-08-10,627.4827234487124
2011-08-11,627.0461185280182
2011-08-12,630.5540763946509
2011-08-15,617.1692997696214
2011-08-16,614.9098184819766
