Date,COLOMBIA QUALITY
1998-11-30,1000.0
1998-12-01,1032.4962775265626
1998-12-02,1052.6009403240398
1998-12-03,1039.5987562211496
1998-12-04,999.622766791347
1998-12-07,981.0104314151628
1998-12-08,981.0104314151628
1998-12-09,982.4987429059948
1998-12-10,991.4431157003685
1998-12-11,1006.9196437249924
1998-12-14,1009.3800623638094
1998-12-15,1020.7651615297308
1998-12-16,1026.731838571396
1998-12-17,1038.7424810604027
1998-12-18,1055.1805698399728
1998-12-21,1085.2635199669194
1998-12-22,1088.736762057287
1998-12-23,1072.6271955103505
1998-12-24,1072.6271955103505
1998-12-25,1072.6271955103505
1998-12-28,1059.4327196639997
1998-12-29,1053.5025524314249
1998-12-30,1054.4689959028244
1998-12-31,1054.4689959028244
1999-01-01,1054.4689959028244
1999-01-04,1059.2989188113713
1999-01-05,1054.2818752559772
1999-01-06,1057.8695104461526
1999-01-07,1046.6863328775735
1999-01-08,1039.2332117776532
1999-01-11,1039.2332117776532
1999-01-12,995.8802399239705
1999-01-13,940.0211421211726
1999-01-14,922.2197922986954
1999-01-15,919.7194020371348
1999-01-18,921.4901820676492
1999-01-19,891.1859135201132
1999-01-20,913.5680197687783
1999-01-21,902.5668675539835
1999-01-22,889.3714276419669
1999-01-25,881.3736874610466
1999-01-26,845.3864964086146
1999-01-27,868.759163065279
1999-01-28,803.9839727996147
1999-01-29,797.4265145249248
1999-02-01,797.8538885059008
1999-02-02,787.7509462768696
1999-02-03,782.9802966915389
1999-02-04,787.362406534326
1999-02-05,798.6417505789842
1999-02-08,796.3082008294984
1999-02-09,804.301323697503
1999-02-10,851.1376586134253
1999-02-11,863.6935920269027
1999-02-12,876.9604207760052
1999-02-15,878.7102420685013
1999-02-16,875.8099240837454
1999-02-17,878.7817107046218
1999-02-18,895.9278240097597
1999-02-19,894.755371077604
1999-02-22,892.9149011939408
1999-02-23,887.8501638026305
1999-02-24,875.1399952524928
1999-02-25,853.82791235545
1999-02-26,858.794271105185
1999-03-01,854.1356398637568
1999-03-02,856.1260285976084
1999-03-03,881.2078182204931
1999-03-04,892.9024293022741
1999-03-05,898.4480027609156
1999-03-08,909.0093310556865
1999-03-09,900.4541823093369
1999-03-10,892.9149148393273
1999-03-11,883.6814058786498
1999-03-12,891.9952094152301
1999-03-15,890.7920643781954
1999-03-16,899.5662681870904
1999-03-17,904.3662367029996
1999-03-18,906.9918160998793
