Date,CHINA QUALITY
1998-11-30,1000.0
1998-12-01,959.1002233045847
1998-12-02,958.2288863601212
1998-12-03,960.3468217677074
1998-12-04,945.4543597399042
1998-12-07,970.1428799029953
1998-12-08,965.96502578055
1998-12-09,975.5308611335442
1998-12-10,976.9384619882143
1998-12-11,953.2830829690646
1998-12-14,930.996915259434
1998-12-15,915.1634639893381
1998-12-16,912.9627283555544
1998-12-17,895.7458918640056
1998-12-18,899.546816008085
1998-12-21,904.5233652180046
1998-12-22,908.0624707927958
1998-12-23,899.5813672017749
1998-12-24,909.7637716086416
1998-12-25,914.0280047119772
1998-12-28,906.9854116311818
1998-12-29,912.9504086330073
1998-12-30,919.2175334776093
1998-12-31,920.6763105377295
1999-01-01,920.6763105377295
1999-01-04,899.7308326996845
1999-01-05,891.8609937650976
1999-01-06,909.9095708044052
1999-01-07,933.9884701602048
1999-01-08,928.4729526400212
1999-01-11,908.2017732773273
1999-01-12,869.7666932739146
1999-01-13,791.5052263417283
1999-01-14,774.2251784270844
1999-01-15,797.8720893044812
1999-01-18,801.3798975055926
1999-01-19,794.2372697997301
1999-01-20,757.1618660360886
1999-01-21,743.3042237129612
1999-01-22,709.6949736130834
1999-01-25,699.4015330850905
1999-01-26,718.7387233357329
1999-01-27,756.576970718618
1999-01-28,752.8395900271745
1999-01-29,748.4102335507522
1999-02-01,734.1500879129277
1999-02-02,717.4753761533219
1999-02-03,698.1936004913088
1999-02-04,695.6220699038146
1999-02-05,684.7387826046916
1999-02-08,689.4148572467652
1999-02-09,713.3675777018037
1999-02-10,702.5198177592123
1999-02-11,705.1678354088099
1999-02-12,714.9835248222408
1999-02-15,714.8086550555066
1999-02-16,714.8441765510028
1999-02-17,714.1535908765977
1999-02-18,713.7514526429605
1999-02-19,696.9559756942422
1999-02-22,681.7946682833663
1999-02-23,683.8563345349214
1999-02-24,689.0677752432683
1999-02-25,685.6870630144992
1999-02-26,711.9473075440104
1999-03-01,723.9730670380759
1999-03-02,708.6461358024113
1999-03-03,726.7356975165154
1999-03-04,728.3537077788548
1999-03-05,723.6241500131271
1999-03-08,723.1248982696823
1999-03-09,711.6776448695441
1999-03-10,707.4452554402604
1999-03-11,720.3795214569784
1999-03-12,727.2321090691051
1999-03-15,728.1883094030044
1999-03-16,730.4957137288823
1999-03-17,765.3695972774299
1999-03-18,794.2350402636388
1999-03-19,799.9348984377172
1999-03-22,840.5025065176404
1999-03-23,854.8018006445448
1999-03-24,848.9320980161801
1999-03-25,841.303129436627
1999-03-26,825.9000199523348
1999-03-29,821.954943018696
1999-03-30,807.1841600674016
1999-03-31,809.9937724249631
1999-04-01,817.6789596976546
1999-04-02,822.7711959650659
1999-04-05,821.9979803420464
1999-04-06,821.8233365262038
1999-04-07,851.3069701568511
1999-04-08,867.7993678329211
1999-04-09,900.3079958909728
1999-04-12,915.3219472707326
1999-04-13,899.3920286611542
1999-04-14,878.4275469797675
1999-04-15,891.5611116606266
1999-04-16,924.6479180754832
1999-04-19,954.809296355466
1999-04-20,978.061701823152
1999-04-21,987.2374766574736
1999-04-22,1001.5754679267257
1999-04-23,992.1493436789475
1999-04-26,980.7202892861985
1999-04-27,991.8977375734577
1999-04-28,972.9951940599393
1999-04-29,968.0242486605476
1999-04-30,991.2740278560674
1999-05-03,991.835976028008
1999-05-04,1010.030143081813
1999-05-05,1017.1908042267066
1999-05-06,1067.965445992553
1999-05-07,1083.4354467545575
1999-05-10,1046.3056075809761
1999-05-11,1053.1780045221683
1999-05-12,1055.6966009129671
1999-05-13,1055.2427961717417
1999-05-14,1050.744309939743
1999-05-17,1025.7682331357169
1999-05-18,1030.4203788476102
1999-05-19,1026.160287178238
1999-05-20,1017.1026773286926
1999-05-21,994.3579716941185
1999-05-24,1006.5492784057928
1999-05-25,1011.1642368475101
1999-05-26,1000.396718044725
1999-05-27,985.9862228504173
1999-05-28,972.5364608939977
1999-05-31,1023.4767047270727
1999-06-01,1077.9326379863876
1999-06-02,1050.695292812472
1999-06-03,1047.6455109200965
1999-06-04,1059.322257406768
1999-06-07,1077.5646127927223
1999-06-08,1079.044691280396
1999-06-09,1083.6193285387424
1999-06-10,1151.8498280091828
1999-06-11,1213.7785166451702
1999-06-14,1255.1020046100684
1999-06-15,1196.648707318698
1999-06-16,1229.9522601802664
1999-06-17,1262.059607306629
1999-06-18,1265.7043405307497
1999-06-21,1318.1460148951014
1999-06-22,1361.5649601983944
1999-06-23,1423.5533308430686
1999-06-24,1414.9387933261332
1999-06-25,1395.6992155111145
1999-06-28,1478.24509680851
1999-06-29,1535.5311613436918
1999-06-30,1531.269190073272
1999-07-01,1507.8641217138666
1999-07-02,1526.0875158698625
1999-07-05,1545.6387328229844
1999-07-06,1485.4033302716148
1999-07-07,1423.757306610531
1999-07-08,1443.8574220705111
1999-07-09,1458.8402950064815
1999-07-12,1467.0840718072307
1999-07-13,1431.218706769246
1999-07-14,1372.0497325960243
1999-07-15,1349.2956371023681
1999-07-16,1302.925853164502
1999-07-19,1226.9564730288007
1999-07-20,1267.1936366925597
1999-07-21,1303.341806889785
1999-07-22,1285.1351052287048
1999-07-23,1299.5264709704431
1999-07-26,1262.4439046858165
1999-07-27,1252.388818335156
1999-07-28,1275.2972406986812
1999-07-29,1295.9820150896799
1999-07-30,1314.3435628334355
1999-08-02,1331.8126170816222
1999-08-03,1331.3594184304814
1999-08-04,1306.913573170934
1999-08-05,1285.5659078152053
1999-08-06,1250.5107816611637
1999-08-09,1206.8083200181536
1999-08-10,1140.0052837463857
1999-08-11,1109.2614732856925
