Date,CHILE QUALITY
1998-11-30,1000.0
1998-12-01,984.951948
1998-12-02,936.220775
1998-12-03,899.077293
1998-12-04,891.570136
1998-12-07,897.946453
1998-12-08,897.946453
1998-12-09,881.431742
1998-12-10,878.045599
1998-12-11,862.668843
1998-12-14,846.107618
1998-12-15,840.193971
1998-12-16,842.265939
1998-12-17,851.853341
1998-12-18,859.836837
1998-12-21,864.064398
1998-12-22,860.604515
1998-12-23,856.989051
1998-12-24,855.869191
1998-12-25,855.869191
1998-12-28,835.644668
1998-12-29,839.562088
1998-12-30,838.0476
1998-12-31,838.0476
1999-01-01,838.0476
1999-01-04,847.400067
1999-01-05,850.913446
1999-01-06,856.379628
1999-01-07,837.990273
1999-01-08,840.623435
1999-01-11,814.372858
1999-01-12,796.166609
1999-01-13,745.96889
1999-01-14,728.991257
1999-01-15,745.518471
1999-01-18,750.557064
1999-01-19,748.091902
1999-01-20,764.154327
1999-01-21,766.061452
1999-01-22,768.825343
1999-01-25,777.967808
1999-01-26,779.625082
1999-01-27,795.130298
1999-01-28,792.224584
1999-01-29,794.328496
1999-02-01,793.599033
1999-02-02,789.215392
1999-02-03,797.275361
1999-02-04,800.354679
1999-02-05,802.106742
1999-02-08,810.378224
1999-02-09,817.818861
1999-02-10,829.446007
1999-02-11,846.05318
1999-02-12,840.20654
1999-02-15,835.879909
1999-02-16,846.568308
1999-02-17,846.036747
1999-02-18,856.123516
1999-02-19,871.29713
1999-02-22,871.032083
1999-02-23,865.337809
1999-02-24,875.649937
1999-02-25,860.962347
1999-02-26,848.346552
1999-03-01,842.006058
1999-03-02,831.752002
1999-03-03,850.259619
1999-03-04,873.683699
1999-03-05,875.65331
1999-03-08,884.920073
1999-03-09,886.504804
1999-03-10,898.058236
1999-03-11,902.539595
1999-03-12,916.039699
1999-03-15,917.736144
1999-03-16,920.494835
1999-03-17,918.074039
1999-03-18,924.891105
1999-03-19,936.465666
1999-03-22,940.106771
1999-03-23,935.833809
1999-03-24,934.678137
1999-03-25,953.219032
1999-03-26,963.793717
1999-03-29,968.083399
1999-03-30,973.375008
1999-03-31,979.283205
1999-04-01,986.440811
1999-04-02,986.440811
1999-04-05,1003.424976
1999-04-06,1010.971407
1999-04-07,1034.273288
1999-04-08,1074.293523
1999-04-09,1082.610763
1999-04-12,1079.372917
1999-04-13,1086.132461
1999-04-14,1106.646243
1999-04-15,1112.977007
1999-04-16,1139.084209
