Date,DENMARK SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,102.77761024073644
2001-01-03,102.27582006884123
2001-01-04,104.4052491793708
2001-01-05,107.54183523619793
2001-01-08,110.8005404097275
2001-01-09,108.30511554219775
2001-01-10,109.49510623997372
2001-01-11,112.06139680746708
2001-01-12,113.62976148868674
2001-01-15,114.26125345567857
2001-01-16,114.50557305389654
2001-01-17,114.96825353980401
2001-01-18,116.27997519543496
2001-01-19,116.60707259142612
2001-01-22,117.45501143758284
2001-01-23,119.92159037331814
2001-01-24,118.3108653206976
2001-01-25,119.20575977726988
2001-01-26,119.0574246389719
2001-01-29,117.204019449946
2001-01-30,117.494856595426
2001-01-31,118.84515846517512
2001-02-01,120.7103640550253
2001-02-02,122.9070584665277
2001-02-05,120.95741159870887
2001-02-06,120.48109184688322
2001-02-07,119.08367445472712
2001-02-08,118.61370154011202
2001-02-09,118.74608818669743
2001-02-12,117.15582142951314
2001-02-13,115.68075271931555
2001-02-14,114.66738750862507
2001-02-15,114.15868143342163
2001-02-16,116.15310433211712
2001-02-19,115.49460489029182
2001-02-20,115.82161426294184
2001-02-21,116.08797031909255
2001-02-22,113.26042512624778
2001-02-23,111.91464953514495
2001-02-26,111.11620698196735
2001-02-27,112.4645296203142
2001-02-28,111.6205473397753
2001-03-01,111.28551213557218
2001-03-02,111.60713935920515
2001-03-05,110.427362055724
2001-03-06,114.15324743857737
2001-03-07,115.75480291982153
2001-03-08,116.21850451446568
2001-03-09,115.75219567422519
2001-03-12,113.93848974357886
2001-03-13,109.19548794666619
2001-03-14,107.62520619307723
2001-03-15,106.58071492940154
2001-03-16,106.36427446475818
2001-03-19,103.60596085813256
2001-03-20,104.79450919207433
2001-03-21,103.16939004251495
2001-03-22,99.3699898173926
2001-03-23,101.91038344684992
2001-03-26,102.73265419882317
2001-03-27,103.39082527661056
2001-03-28,101.87099608292516
2001-03-29,100.44911836783601
2001-03-30,101.04082577478262
2001-04-02,98.84558031009266
2001-04-03,99.43078052797155
2001-04-04,98.30746416174752
2001-04-05,97.37535827749488
2001-04-06,97.13086978119294
2001-04-09,97.9262275456499
2001-04-10,97.06715396168632
2001-04-11,98.00998188930916
2001-04-12,98.32821125486316
2001-04-13,98.32821125486316
2001-04-16,98.45702039191256
2001-04-17,97.90313206102236
2001-04-18,99.34973474698671
2001-04-19,104.27085002651162
2001-04-20,105.14583274909474
2001-04-23,104.3250048381436
2001-04-24,103.72960243482751
2001-04-25,103.13205226533164
2001-04-26,105.0997030435431
2001-04-27,104.82856754316418
2001-04-30,108.75777794320659
2001-05-01,109.18088159803553
2001-05-02,111.24999692499179
2001-05-03,112.78396482156563
2001-05-04,114.2782792009656
2001-05-07,113.9623457783197
