Date,UNITED KINGDOM SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,100.14061199743718
2001-01-03,100.04064437532963
2001-01-04,101.17539403850016
2001-01-05,101.66868512276335
2001-01-08,101.89946934606873
2001-01-09,101.76196097518888
2001-01-10,102.61159194620099
2001-01-11,103.13163031985074
2001-01-12,102.68426712347687
2001-01-15,102.88542039751124
2001-01-16,102.35174783331345
2001-01-17,103.46293741705104
2001-01-18,103.9995401724393
2001-01-19,105.04232307653795
2001-01-22,104.65687740370478
2001-01-23,105.1375809187125
2001-01-24,104.58678312654489
2001-01-25,105.11390371144907
2001-01-26,104.82430264447987
2001-01-29,104.85511533030332
2001-01-30,104.92001358476473
2001-01-31,105.07148725710732
2001-02-01,106.21936391499686
2001-02-02,105.37343699270488
2001-02-05,105.68442280264867
2001-02-06,105.34225963423364
2001-02-07,105.61835700302804
2001-02-08,104.46492427122948
2001-02-09,103.97041393462713
2001-02-12,104.13702843491397
2001-02-13,104.12056223258266
2001-02-14,103.73877146446296
2001-02-15,103.11319452663108
2001-02-16,102.6489021135418
2001-02-19,102.39441693674013
2001-02-20,102.17911788919372
2001-02-21,101.62824856512201
2001-02-22,101.61400744361694
2001-02-23,101.86774829107945
2001-02-26,101.19132722532434
2001-02-27,101.73955568386866
2001-02-28,101.40953185021574
2001-03-01,102.08998676564349
2001-03-02,103.39315153770605
2001-03-05,103.50872509111115
2001-03-06,104.48675281165649
2001-03-07,104.54645692250539
2001-03-08,104.96071795061916
2001-03-09,103.73081909093796
2001-03-12,102.04741816052345
2001-03-13,99.62235489542681
2001-03-14,98.45691823470658
2001-03-15,98.40109458701694
2001-03-16,97.45710359907106
2001-03-19,96.26303242143034
2001-03-20,96.30563951756315
2001-03-21,94.56457955795939
2001-03-22,90.94982211309063
2001-03-23,91.62070848212994
2001-03-26,92.7770059706862
2001-03-27,93.06662591314627
2001-03-28,93.37746084572548
2001-03-29,93.17082357419304
2001-03-30,92.62688768585963
2001-04-02,93.00830650264821
2001-04-03,91.95231617194952
2001-04-04,91.79266205678512
2001-04-05,92.95793937855699
2001-04-06,94.47480453777231
2001-04-09,94.65466433075379
2001-04-10,94.2691089872646
2001-04-11,95.59933089795621
2001-04-12,96.22567085496136
2001-04-13,96.22567085496136
2001-04-16,95.82148762958387
2001-04-17,95.2037351174385
2001-04-18,95.34670783619926
2001-04-19,97.11714437865552
2001-04-20,98.14744379678602
2001-04-23,98.35748222968537
2001-04-24,98.98915097711559
2001-04-25,99.45248616997024
2001-04-26,100.08645971738524
2001-04-27,100.58977460964289
2001-04-30,101.03120911444142
2001-05-01,101.39174648122265
2001-05-02,101.872471014042
2001-05-03,102.30607582326209
2001-05-04,103.26274326351876
2001-05-07,103.460303124361
