Date,NEW ZEALAND SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.84180790960453
2001-01-03,100.65231383325246
2001-01-04,101.42175006903884
2001-01-05,103.3753478727155
2001-01-08,103.36088583456197
2001-01-09,103.82625298971027
2001-01-10,102.57576729039991
2001-01-11,103.7453577203532
2001-01-12,103.96812462025731
2001-01-15,103.7616784222734
2001-01-16,104.72989952252648
2001-01-17,104.17096137156187
2001-01-18,104.31346493790879
2001-01-19,105.78936651918035
2001-01-22,105.43178509997816
2001-01-23,104.56053009504636
2001-01-24,102.50378885486045
2001-01-25,102.2376501843576
2001-01-26,101.83762368141015
2001-01-29,101.01250043642929
2001-01-30,102.2464100380967
2001-01-31,102.97178352917673
2001-02-01,105.05854616983333
2001-02-02,103.72110264085262
2001-02-05,102.32214099595645
2001-02-06,102.33369237787065
2001-02-07,103.19356894728566
2001-02-08,102.791172598712
2001-02-09,102.73913261724648
2001-02-12,103.03670408835299
2001-02-13,101.95962623096155
2001-02-14,98.81422140033189
2001-02-15,97.57521234511687
2001-02-16,100.35974362427002
2001-02-19,101.02307959039189
2001-02-20,102.24168808321585
2001-02-21,103.22279805445386
2001-02-22,103.43887538219182
2001-02-23,103.57113055978427
2001-02-26,102.52967848248966
2001-02-27,102.81308063413127
2001-02-28,101.14348885233206
2001-03-01,102.45142792504683
2001-03-02,103.66146549275298
2001-03-05,103.27485101923295
2001-03-06,103.4679147788579
2001-03-07,104.1240630543211
2001-03-08,102.63529494733744
2001-03-09,102.12748899586347
2001-03-12,103.18830918011808
2001-03-13,102.12012587016847
2001-03-14,102.2428230629434
2001-03-15,102.59966325002549
2001-03-16,103.1283434841736
2001-03-19,103.03761111962426
2001-03-20,105.11673487436833
2001-03-21,104.54085545416177
2001-03-22,100.90188971561962
2001-03-23,104.08595118254415
2001-03-26,101.9565665443206
2001-03-27,100.6813065119004
2001-03-28,99.67349401288612
2001-03-29,99.4666166292079
2001-03-30,98.20137895263596
2001-04-02,98.06785881289234
2001-04-03,98.11982589422806
2001-04-04,98.79170240752846
2001-04-05,99.05373925295864
2001-04-06,98.9947412345212
2001-04-09,100.0167424696245
2001-04-10,100.08533032417878
2001-04-11,100.27241239759049
2001-04-12,101.3671784128093
2001-04-13,101.3671784128093
2001-04-16,101.5662547420845
2001-04-17,101.08306780053141
2001-04-18,100.17401850228399
2001-04-19,102.3904391016114
2001-04-20,104.48711742861119
2001-04-23,101.63345773212814
2001-04-24,100.25949909169061
2001-04-25,100.87436171337401
2001-04-26,101.47228480014836
2001-04-27,101.12308399234101
2001-04-30,103.483252123968
2001-05-01,104.06283712477354
2001-05-02,105.06309250172153
2001-05-03,105.30989517080818
2001-05-04,103.90337269883406
2001-05-07,103.9423221357067
