Date,NORWAY SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,103.9697810354156
2001-01-03,99.13826689475403
2001-01-04,100.94260953931055
2001-01-05,103.00574731037564
2001-01-08,103.97254973011067
2001-01-09,103.22813703425703
2001-01-10,102.53520669799296
2001-01-11,105.38166913586453
2001-01-12,107.17908622325473
2001-01-15,106.24655070943801
2001-01-16,105.72591904490561
2001-01-17,106.33793352303354
2001-01-18,107.11189755472526
2001-01-19,108.47780673997502
2001-01-22,107.35373466644322
2001-01-23,107.20312466092457
2001-01-24,105.48558554618616
2001-01-25,103.659229820727
2001-01-26,102.96586560558892
2001-01-29,103.84876234512141
2001-01-30,104.62724540297049
2001-01-31,104.92241813678866
2001-02-01,107.74493472600908
2001-02-02,107.0222457503784
2001-02-05,106.96399127149888
2001-02-06,106.47846330273732
2001-02-07,105.9297557266122
2001-02-08,102.86502159635484
2001-02-09,102.72666116539993
2001-02-12,102.53423578511484
2001-02-13,103.21247842245079
2001-02-14,102.89643197270941
2001-02-15,100.70233834617434
2001-02-16,101.52224926143933
2001-02-19,100.95642986520576
2001-02-20,99.66254581827407
2001-02-21,98.54144659868365
2001-02-22,97.90810035139646
2001-02-23,96.87511682903262
2001-02-26,97.71373425853366
2001-02-27,98.04802044025864
2001-02-28,98.86431588499259
2001-03-01,97.44536093934208
2001-03-02,99.04918245236397
2001-03-05,99.78562511218817
2001-03-06,100.6867530151276
2001-03-07,100.01227777661674
2001-03-08,100.74801205944179
2001-03-09,99.32626544966509
2001-03-12,98.490779262674
2001-03-13,95.03145755666816
2001-03-14,92.84757329527005
2001-03-15,93.71841600746089
2001-03-16,92.23565408999896
2001-03-19,91.75173844068128
2001-03-20,92.91464835641885
2001-03-21,90.81727193447422
2001-03-22,88.290417805631
2001-03-23,89.86730249632218
2001-03-26,90.72606551127706
2001-03-27,92.16600616202459
2001-03-28,90.592984158797
2001-03-29,91.25300542296397
2001-03-30,92.11321370004715
2001-04-02,92.15764984768474
2001-04-03,90.50034721838757
2001-04-04,91.00456114138971
2001-04-05,92.4782335235794
2001-04-06,92.80909456086279
2001-04-09,93.27068432694294
2001-04-10,95.43833377162585
2001-04-11,94.51662199291484
2001-04-12,95.4139283935452
2001-04-13,95.4139283935452
2001-04-16,94.44226369809635
2001-04-17,94.62240660118447
2001-04-18,94.05212439866636
2001-04-19,94.88081174158448
2001-04-20,94.71497688911005
2001-04-23,93.65781901314854
2001-04-24,92.4731110047794
2001-04-25,91.7650075480591
2001-04-26,91.94146796750749
2001-04-27,92.66912555135308
2001-04-30,93.1023762894094
2001-05-01,93.65215301473873
2001-05-02,92.47405324548943
2001-05-03,92.28467162590218
2001-05-04,91.32663062211692
2001-05-07,90.95606356743464
2001-05-08,91.96410457991533
2001-05-09,93.27385161709165
2001-05-10,93.63111232867409
2001-05-11,92.71274431214772
2001-05-14,90.62277756668614
2001-05-15,92.62335558203426
2001-05-16,92.42412500261874
2001-05-17,92.43328452147335
2001-05-18,92.44873258803541
2001-05-21,93.98942940443699
2001-05-22,93.666153550279
2001-05-23,92.26767670331809
2001-05-24,92.31173886883101
2001-05-25,92.57623247089768
2001-05-28,92.9371037164207
2001-05-29,91.15521117128534
2001-05-30,90.97888162711492
2001-05-31,90.13700319592722
2001-06-01,90.08515146315855
2001-06-04,90.21284566602678
2001-06-05,91.04598413628815
2001-06-06,90.58099270276212
2001-06-07,90.20196393308633
2001-06-08,89.42366110848899
2001-06-11,87.39613885941502
2001-06-12,85.67562807745213
2001-06-13,86.87556729782827
2001-06-14,87.11860398518292
2001-06-15,86.39859433085262
2001-06-18,86.33524483399454
2001-06-19,87.75869265480401
2001-06-20,86.48530622028377
2001-06-21,86.66930217386412
2001-06-22,86.0908377694378
2001-06-25,86.5345529627707
2001-06-26,85.3650558257656
2001-06-27,84.88991036742635
2001-06-28,84.39804877734363
2001-06-29,84.20377836550311
2001-07-02,83.2344038317439
2001-07-03,83.52472305894887
2001-07-04,83.84266366479686
2001-07-05,83.36620316475185
2001-07-06,83.25802016183465
2001-07-09,83.22818528557606
2001-07-10,83.05028695758112
2001-07-11,82.81050281701857
2001-07-12,82.96966238676974
2001-07-13,82.91627628854118
2001-07-16,81.9091676781963
2001-07-17,80.87445567316789
2001-07-18,82.47116838986385
2001-07-19,82.7891443217102
2001-07-20,83.30940898997956
2001-07-23,83.5764370939424
2001-07-24,83.42094332928015
2001-07-25,82.95954633694356
2001-07-26,83.70329294448278
2001-07-27,84.27258666907996
2001-07-30,84.50465985158549
2001-07-31,84.86975424483971
2001-08-01,84.57609470324793
2001-08-02,85.16128251118664
2001-08-03,85.64915613766851
2001-08-06,84.61802423603962
2001-08-07,85.12259572747935
2001-08-08,84.08839050244795
2001-08-09,84.57983753316222
2001-08-10,84.95958598448684
2001-08-13,84.64285483599124
2001-08-14,84.18441452818288
2001-08-15,85.22860045011
2001-08-16,85.38873611955525
2001-08-17,84.65381308316776
2001-08-20,83.5490310153253
2001-08-21,84.61575825055522
2001-08-22,85.66423187968759
2001-08-23,84.54858237504597
2001-08-24,85.22928890182285
2001-08-27,84.57058245984047
2001-08-28,83.9126863351956
2001-08-29,83.20790797090788
2001-08-30,83.60072397671233
2001-08-31,83.04711988987279
2001-09-03,82.56579788494757
2001-09-04,81.47970492592773
2001-09-05,81.01925682615001
2001-09-06,80.89872009445259
2001-09-07,80.7315927088202
2001-09-10,78.63958712852606
2001-09-11,78.74218545954801
2001-09-12,77.05958229223776
2001-09-13,77.76701071774875
2001-09-14,77.22374966212786
