Date,BELGIUM SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,100.75168087002125
2001-01-03,101.32060785117935
2001-01-04,102.74689205371021
2001-01-05,105.71996398424199
2001-01-08,106.35725947922248
2001-01-09,102.70440032558446
2001-01-10,101.75641358747427
2001-01-11,103.15507834573101
2001-01-12,102.7865347345987
2001-01-15,101.2978549132569
2001-01-16,101.78526727814904
2001-01-17,101.24317791536087
2001-01-18,103.23221201927376
2001-01-19,104.67843940149554
2001-01-22,103.9442406207665
2001-01-23,104.32072016537045
2001-01-24,103.2266308277409
2001-01-25,102.5671520919782
2001-01-26,102.47871272041783
2001-01-29,101.96216861721993
2001-01-30,101.52921230304372
2001-01-31,101.363814386791
2001-02-01,104.65841102064462
2001-02-02,104.51103843416551
2001-02-05,104.98176881565927
2001-02-06,104.39125821139487
2001-02-07,104.21185099115894
2001-02-08,102.28947358527616
2001-02-09,101.53651714436002
2001-02-12,100.79684849004263
2001-02-13,99.86454121324815
2001-02-14,98.5037610332015
2001-02-15,97.80804419572185
2001-02-16,98.59949215251235
2001-02-19,99.21815285606723
2001-02-20,99.23647802694867
2001-02-21,100.43849050272406
2001-02-22,99.58884409556205
2001-02-23,99.08212964487979
2001-02-26,101.29150672193424
2001-02-27,102.29300595178152
2001-02-28,103.0083791537757
2001-03-01,103.64161037176973
2001-03-02,104.84592517759499
2001-03-05,105.22765850361887
2001-03-06,105.38309903168557
2001-03-07,104.80805487578674
2001-03-08,105.72672943571497
2001-03-09,104.7078657221875
2001-03-12,102.99873500766921
2001-03-13,99.12534614988195
2001-03-14,98.10947913130939
2001-03-15,96.80075080424707
2001-03-16,95.0969332118519
2001-03-19,93.75115536401434
2001-03-20,95.43763586705278
2001-03-21,93.08314212366164
2001-03-22,91.51781742539922
2001-03-23,92.35958853726116
2001-03-26,93.19143141085213
2001-03-27,94.52850093660123
2001-03-28,93.93222615880656
2001-03-29,91.99306321540732
2001-03-30,92.40766860670591
2001-04-02,92.61287115478568
2001-04-03,91.57740264830987
2001-04-04,94.26631823510374
2001-04-05,93.43186880676049
2001-04-06,95.42266733014797
2001-04-09,96.29733371107619
2001-04-10,95.25996071416135
2001-04-11,94.61102016788328
2001-04-12,96.32607162234774
2001-04-13,96.32607162234774
2001-04-16,95.33957707274288
2001-04-17,95.12100717697693
2001-04-18,95.10307175281338
2001-04-19,97.0427996036981
2001-04-20,97.36077815047648
2001-04-23,97.30775282601198
2001-04-24,97.22841200160268
2001-04-25,96.57109587190278
2001-04-26,97.17893573344439
2001-04-27,96.4014163073402
2001-04-30,96.04350250193284
2001-05-01,96.55267227437554
2001-05-02,96.43203436150324
2001-05-03,98.02276604783404
2001-05-04,96.84668734304822
2001-05-07,96.75883171033372
