Date,SWITZERLAND SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.88124200677298
2001-01-03,99.97512715028172
2001-01-04,100.10994101734316
2001-01-05,99.85265840661525
2001-01-08,99.55213942885992
2001-01-09,100.08114898740979
2001-01-10,99.83709266871163
2001-01-11,98.66840475565877
2001-01-12,99.20953477340679
2001-01-15,99.14481434869022
2001-01-16,100.04880410983876
2001-01-17,100.57490937297658
2001-01-18,101.21956238525216
2001-01-19,101.36446568993453
2001-01-22,100.8244360099772
2001-01-23,101.40265175248079
2001-01-24,101.82440858139113
2001-01-25,102.73802015908097
2001-01-26,102.40576494055854
2001-01-29,103.24765951697921
2001-01-30,103.33400969004165
2001-01-31,103.22510787782802
2001-02-01,103.301310522988
2001-02-02,102.66399306492796
2001-02-05,102.77005629267218
2001-02-06,103.074083877146
2001-02-07,103.16638718360839
2001-02-08,103.6158701119448
2001-02-09,103.14182137560701
2001-02-12,103.99470533943571
2001-02-13,104.23791379366067
2001-02-14,103.62990866948698
2001-02-15,104.42353723582202
2001-02-16,104.08407376821089
2001-02-19,103.88632532513027
2001-02-20,104.19735192364735
2001-02-21,104.05744799522034
2001-02-22,104.15721240283249
2001-02-23,103.85639784139846
2001-02-26,103.73604492744762
2001-02-27,103.72978437793944
2001-02-28,103.47671032431764
2001-03-01,101.79144093598414
2001-03-02,101.72533094063014
2001-03-05,102.22557847906265
2001-03-06,101.90053511099713
2001-03-07,102.19862609943914
2001-03-08,101.4858064371173
2001-03-09,100.94749960012149
2001-03-12,100.27039055789969
2001-03-13,100.1078128951631
2001-03-14,98.69112633737278
2001-03-15,98.99026951702687
2001-03-16,98.0076236273802
2001-03-19,97.98055991791193
2001-03-20,97.68199610325094
2001-03-21,96.65070458015141
2001-03-22,93.92937776095741
2001-03-23,94.75706360105868
2001-03-26,95.59178638725054
2001-03-27,95.98949626646663
2001-03-28,96.03184823526554
2001-03-29,96.54928095347061
2001-03-30,97.42462605829925
2001-04-02,96.86141608386443
2001-04-03,96.43269126170156
2001-04-04,95.9503478333059
2001-04-05,98.74842422779484
2001-04-06,98.6829635147308
2001-04-09,99.05534419597569
2001-04-10,99.55451433666592
2001-04-11,100.25289118120646
2001-04-12,99.89308385444191
2001-04-13,99.89308385444191
2001-04-16,99.90012228619754
2001-04-17,100.05081217931298
2001-04-18,99.58290625394096
2001-04-19,99.3217816678348
2001-04-20,99.36625833460512
2001-04-23,99.37159054717722
2001-04-24,98.94023259727885
2001-04-25,98.72975007549732
2001-04-26,98.70032968195508
2001-04-27,99.84865476128766
2001-04-30,100.3724611227872
2001-05-01,100.1404202045429
2001-05-02,99.80360296337851
2001-05-03,100.76307031561095
2001-05-04,100.32832244910917
2001-05-07,99.56904627011966
2001-05-08,99.44396765905732
2001-05-09,99.30041907103357
2001-05-10,99.82653384658299
2001-05-11,100.32114322685128
2001-05-14,100.13233699236379
2001-05-15,100.80768599575252
2001-05-16,101.00692799172982
2001-05-17,101.30940849827002
2001-05-18,101.86954698485019
2001-05-21,102.38461722818906
2001-05-22,102.61288401750053
2001-05-23,102.3683487860816
2001-05-24,102.50212115071474
2001-05-25,102.1501085471752
2001-05-28,102.30122102643999
2001-05-29,102.66070009140047
2001-05-30,102.5370341265314
2001-05-31,102.76306261426421
2001-06-01,102.87365515889812
2001-06-04,102.96905700755659
2001-06-05,104.6048463526095
2001-06-06,103.66316974734688
2001-06-07,103.38522589541441
2001-06-08,103.13759913617582
2001-06-11,102.82801419895375
2001-06-12,101.93233337689874
2001-06-13,102.06833079722081
2001-06-14,101.3617665104737
2001-06-15,101.20073228287623
2001-06-18,100.71904168850602
2001-06-19,100.13130590667937
2001-06-20,99.73420404406941
2001-06-21,99.61749407034297
2001-06-22,99.9350812097894
2001-06-25,100.124732708886
2001-06-26,99.42953049446616
2001-06-27,99.14178438591631
2001-06-28,99.67882439606001
2001-06-29,100.45192296991706
2001-07-02,100.00333059213396
2001-07-03,99.59374436224459
2001-07-04,99.6990728005202
2001-07-05,99.3846095976356
2001-07-06,98.23453862396427
2001-07-09,98.47663665496852
2001-07-10,98.31759569412353
2001-07-11,98.04896091052336
2001-07-12,97.67671287797265
2001-07-13,97.07821056493815
2001-07-16,97.00840004774594
2001-07-17,96.14504569785291
2001-07-18,95.89392683422987
2001-07-19,96.30664715422435
2001-07-20,96.34956725828184
2001-07-23,96.15078053039423
2001-07-24,95.17029954227034
2001-07-25,94.40806041569977
2001-07-26,93.68697172878497
2001-07-27,93.73754674338922
2001-07-30,93.5366603751655
2001-07-31,93.8650463544053
2001-08-01,94.70834334350194
2001-08-02,94.94047485801727
2001-08-03,95.1758813473726
2001-08-06,94.87070489324825
2001-08-07,94.67414681154641
2001-08-08,94.48405476804624
2001-08-09,93.42977802436391
2001-08-10,93.11255844263759
2001-08-13,92.6371403756164
2001-08-14,93.00669068462688
2001-08-15,92.8719348546451
2001-08-16,92.31301025562945
2001-08-17,91.89140147261683
2001-08-20,91.52837598877889
2001-08-21,91.30254056808043
2001-08-22,90.93754543111658
2001-08-23,91.27993679723306
2001-08-24,91.43862638869116
2001-08-27,91.23130387088695
2001-08-28,91.66343243571875
2001-08-29,90.75679344571165
2001-08-30,90.60436880491788
2001-08-31,90.27367836878373
2001-09-03,89.10727914712503
2001-09-04,89.27690136150697
2001-09-05,89.28243954100593
2001-09-06,88.62646828293578
2001-09-07,87.39903857314935
2001-09-10,85.48974263202604
2001-09-11,82.8972254046868
2001-09-12,82.45340393904613
2001-09-13,82.64411707536155
2001-09-14,81.50275788830258
