Date,IRELAND SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.18489727724965
2001-01-03,98.91585565121092
2001-01-04,101.62717945724238
2001-01-05,101.48376901168172
2001-01-08,102.5906421854896
2001-01-09,102.2335280599614
2001-01-10,103.17866316395954
2001-01-11,103.42219224032893
2001-01-12,103.94499264141228
2001-01-15,104.02825638474215
2001-01-16,104.76794021008762
2001-01-17,105.9309243639864
2001-01-18,106.09365838503784
2001-01-19,107.97842888662002
2001-01-22,107.74358526033062
2001-01-23,107.83801231400302
2001-01-24,107.41645761742436
2001-01-25,108.34165799153187
2001-01-26,108.16843900605835
2001-01-29,108.9729199991755
2001-01-30,110.04915891585202
2001-01-31,108.68233189404954
2001-02-01,109.12943065741271
2001-02-02,109.00926872760564
2001-02-05,108.29532739465283
2001-02-06,109.4454806507039
2001-02-07,111.3067980256202
2001-02-08,111.39314293450441
2001-02-09,112.61822087363431
2001-02-12,112.04199895245486
2001-02-13,111.68024433603154
2001-02-14,111.72957080524813
2001-02-15,112.25263382029411
2001-02-16,113.09349050351847
2001-02-19,112.62505098109284
2001-02-20,113.32213769055839
2001-02-21,113.63033653484501
2001-02-22,114.35916022941016
2001-02-23,115.26260273553424
2001-02-26,115.31001243921929
2001-02-27,116.38090242535185
2001-02-28,115.6832444046616
2001-03-01,115.08523938954258
2001-03-02,112.9459848272284
2001-03-05,112.28817702500434
2001-03-06,112.39261167809141
2001-03-07,113.17890524280968
2001-03-08,112.8574577944721
2001-03-09,112.18586419135468
2001-03-12,111.84402381797383
2001-03-13,110.38833479412345
2001-03-14,109.82857862097752
2001-03-15,107.86556177761963
2001-03-16,107.54782221565195
2001-03-19,106.39826205016688
2001-03-20,106.64045401804002
2001-03-21,102.73016413390435
2001-03-22,97.39333187166743
2001-03-23,98.2271839939241
2001-03-26,100.80562267315034
2001-03-27,102.25732865017319
2001-03-28,101.77753312219706
2001-03-29,100.49305990658569
2001-03-30,99.60278564389999
2001-04-02,98.62462995447322
2001-04-03,98.61730715972219
2001-04-04,97.9795720958167
2001-04-05,99.55805731550615
2001-04-06,101.47005107166288
2001-04-09,102.76313677326114
2001-04-10,104.01913027803256
2001-04-11,105.3905295412195
2001-04-12,105.99669056379268
2001-04-13,105.99669056379268
2001-04-16,105.9966905637927
2001-04-17,107.60073548267482
2001-04-18,107.07292158869986
2001-04-19,107.11015926470118
2001-04-20,107.18356332587842
2001-04-23,105.5919527664234
2001-04-24,105.90782501244496
2001-04-25,104.69719397189724
2001-04-26,105.00172080677594
2001-04-27,106.14833803979842
2001-04-30,107.27611621531103
2001-05-01,108.3351260869565
2001-05-02,108.74128344404252
2001-05-03,108.87708730374243
2001-05-04,110.59396651005905
2001-05-07,110.59396651005903
