Date,HONG KONG SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,98.69876081618798
2001-01-03,97.23785480038214
2001-01-04,101.38058012074916
2001-01-05,101.20813807853467
2001-01-08,104.10281934520137
2001-01-09,104.07225898361554
2001-01-10,103.15847877198162
2001-01-11,99.44724734662857
2001-01-12,102.50415217830606
2001-01-15,103.15300718477339
2001-01-16,102.36339253952588
2001-01-17,102.17346185566646
2001-01-18,103.53224837993568
2001-01-19,106.48163682736472
2001-01-22,107.29044227669438
2001-01-23,108.26779892211442
2001-01-24,110.19253620133193
2001-01-25,110.51658309793025
2001-01-26,110.2993981643212
2001-01-29,110.03032379072089
2001-01-30,107.25766288213593
2001-01-31,107.96917576277927
2001-02-01,107.31834299768798
2001-02-02,109.00077191540012
2001-02-05,107.22496215359358
2001-02-06,109.17939504539339
2001-02-07,108.25975082084825
2001-02-08,108.45825575665417
2001-02-09,108.62917386080868
2001-02-12,109.52717718003838
2001-02-13,111.22019669813066
2001-02-14,112.06730175034723
2001-02-15,112.99341093339068
2001-02-16,111.61073739311496
2001-02-19,111.34913385625144
2001-02-20,113.69858986980194
2001-02-21,111.600307617236
2001-02-22,111.86465095965123
2001-02-23,114.04072757225846
2001-02-26,116.13877986494667
2001-02-27,114.520638950703
2001-02-28,112.85108818356801
2001-03-01,108.79659313769244
2001-03-02,108.66642014830514
2001-03-05,107.53797304307163
2001-03-06,108.55786998858301
2001-03-07,108.39165380647651
2001-03-08,109.77392509512303
2001-03-09,108.47419859417758
2001-03-12,104.33113958128459
2001-03-13,104.04676162017107
2001-03-14,103.6881836398284
2001-03-15,104.35445591100753
2001-03-16,106.10788209535231
2001-03-19,105.10410773861119
2001-03-20,102.69570260124807
2001-03-21,104.34794565669819
2001-03-22,101.77243427486592
2001-03-23,101.36336254101234
2001-03-26,102.67154845930268
2001-03-27,101.35614640965451
2001-03-28,102.88926720308271
2001-03-29,103.64181601203495
2001-03-30,103.78465656551198
2001-04-02,105.50427286185746
2001-04-03,103.2439591827597
2001-04-04,98.9159248340939
2001-04-05,99.59801392848472
2001-04-06,99.62546182320601
2001-04-09,98.13217777474242
2001-04-10,101.33267564682991
2001-04-11,103.92615773064888
2001-04-12,103.93261957210113
2001-04-13,103.93261957210113
2001-04-16,105.00466184723201
2001-04-17,106.70161895269548
2001-04-18,109.9010025665362
2001-04-19,112.20578967323306
2001-04-20,111.47039067622755
2001-04-23,113.69749197336247
2001-04-24,112.77747482357249
2001-04-25,112.0072867240827
2001-04-26,110.58896907503514
2001-04-27,112.26117974926554
2001-04-30,113.02384018101552
2001-05-01,112.42925141715166
2001-05-02,114.47293665348133
2001-05-03,113.42634774441609
2001-05-04,110.84406803471903
2001-05-07,111.43859684608125
2001-05-08,113.08016418815949
2001-05-09,113.18643185238928
2001-05-10,112.95496467853245
2001-05-11,114.12701644108641
2001-05-14,112.7576593174871
2001-05-15,113.83722093043691
2001-05-16,114.64460669542787
2001-05-17,114.52242938647841
2001-05-18,115.57096833837035
2001-05-21,116.52857988841991
2001-05-22,120.38145899486094
2001-05-23,122.52063367101685
2001-05-24,123.92353809046296
2001-05-25,127.70593212766259
2001-05-28,129.67803313085625
2001-05-29,130.05317919300205
2001-05-30,127.13695420174447
2001-05-31,128.0958860830444
2001-06-01,128.30047131854403
2001-06-04,128.39414426737812
2001-06-05,130.2731718357943
2001-06-06,131.41222199328584
2001-06-07,131.99455146905223
2001-06-08,131.26056534382397
2001-06-11,132.38510482624403
2001-06-12,129.70721388512123
2001-06-13,126.55515911036292
2001-06-14,121.86444291767518
2001-06-15,121.06195248570776
2001-06-18,120.59233652535056
2001-06-19,122.7343692300873
2001-06-20,122.98675607149994
2001-06-21,125.01655202385699
2001-06-22,126.0238054643168
2001-06-25,125.01581317448645
2001-06-26,122.6615102334939
2001-06-27,122.86232409010802
2001-06-28,122.66567797807058
2001-06-29,122.91237542539913
2001-07-02,122.95831311118809
2001-07-03,121.77125588597713
2001-07-04,122.45304031573681
2001-07-05,121.43192986875925
2001-07-06,120.3375715667564
2001-07-09,116.42020964575498
2001-07-10,116.52378728531508
2001-07-11,114.97733987121477
2001-07-12,116.76646092671811
2001-07-13,115.62687671017451
2001-07-16,114.16572125595147
2001-07-17,112.64328511766587
2001-07-18,110.03106163470572
2001-07-19,108.56735506879872
2001-07-20,109.03015319429521
2001-07-23,108.59569146086588
2001-07-24,108.87372178577138
2001-07-25,108.28340047662923
2001-07-26,108.01969219710986
2001-07-27,108.85662992843339
2001-07-30,108.23868034408176
2001-07-31,108.73480094522034
2001-08-01,108.09324536850755
2001-08-02,105.36641272463577
2001-08-03,103.88978985001908
2001-08-06,102.18562616446417
2001-08-07,102.16336487924373
2001-08-08,101.91310035067747
2001-08-09,101.32080140789849
2001-08-10,101.03592501695722
2001-08-13,99.57033675484702
2001-08-14,100.71859025703537
2001-08-15,98.2833202762283
2001-08-16,97.56526352271084
2001-08-17,98.20329675407
2001-08-20,98.39357150112615
2001-08-21,99.14294794231262
2001-08-22,98.30794455401393
2001-08-23,100.19262077410572
2001-08-24,98.39571441915382
2001-08-27,99.42350073391121
2001-08-28,98.90322994906596
2001-08-29,98.8069322305125
2001-08-30,99.0810083264776
2001-08-31,97.36631699871126
2001-09-03,96.51614312324125
2001-09-04,98.37994453735635
2001-09-05,98.02117732973973
2001-09-06,97.83207591078052
2001-09-07,94.44369753161756
2001-09-10,94.45990770541911
2001-09-11,93.67010580174787
2001-09-12,84.99878524200643
2001-09-13,86.78652417084577
2001-09-14,85.29943153540783
