Date,SPAIN SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,101.90827121990957
2001-01-03,101.83753357169316
2001-01-04,105.84016352394134
2001-01-05,105.62865744829799
2001-01-08,106.84487364810386
2001-01-09,105.95187682748167
2001-01-10,105.96342741629093
2001-01-11,106.88251121711895
2001-01-12,108.60328423736397
2001-01-15,107.85991237157224
2001-01-16,108.65002155987582
2001-01-17,108.67086687274978
2001-01-18,107.80616544186036
2001-01-19,107.44526016497375
2001-01-22,107.51092647387722
2001-01-23,107.46633979141383
2001-01-24,107.04527418749423
2001-01-25,107.59055157891197
2001-01-26,107.48473905565001
2001-01-29,107.98903204494103
2001-01-30,108.5466660787715
2001-01-31,109.27573269366981
2001-02-01,111.61221944211333
2001-02-02,111.39312490415946
2001-02-05,110.93376466191306
2001-02-06,111.18541657708346
2001-02-07,110.07416558329491
2001-02-08,110.52801444228933
2001-02-09,110.14974257719965
2001-02-12,109.93035397421804
2001-02-13,110.33734560477214
2001-02-14,109.36910123333668
2001-02-15,110.25642732632426
2001-02-16,110.018114352268
2001-02-19,110.17846544619373
2001-02-20,110.19126331397523
2001-02-21,109.39465243717493
2001-02-22,109.35305998691214
2001-02-23,109.40425197869638
2001-02-26,109.84882882271025
2001-02-27,110.08651302024091
2001-02-28,109.82643517668481
2001-03-01,109.03698823771362
2001-03-02,109.3026472593729
2001-03-05,109.51462008974265
2001-03-06,110.61398065435249
2001-03-07,110.76426947794047
2001-03-08,110.63289392490107
2001-03-09,110.19468585784452
2001-03-12,109.16926633470938
2001-03-13,108.71100639555215
2001-03-14,108.2523041646522
2001-03-15,108.7299629750662
2001-03-16,108.40839769989414
2001-03-19,108.56650374368641
2001-03-20,108.1021323158786
2001-03-21,105.49697151408448
2001-03-22,103.14109704459631
2001-03-23,106.2826732502097
2001-03-26,105.70022852223507
2001-03-27,105.45248799059743
2001-03-28,105.45263594580233
2001-03-29,105.64064424410718
2001-03-30,106.93628598057273
2001-04-02,106.92188434056618
2001-04-03,105.64165448223737
2001-04-04,105.68703684259745
2001-04-05,106.28912986987568
2001-04-06,106.98372465492021
2001-04-09,106.64993457173031
2001-04-10,107.22385877505766
2001-04-11,107.33455077212128
2001-04-12,107.03705437733129
2001-04-13,107.03705437733129
2001-04-16,107.03705437733134
2001-04-17,107.32693389131681
2001-04-18,108.69905097572982
2001-04-19,107.99874958333723
2001-04-20,108.11676468807705
2001-04-23,107.82789692137314
2001-04-24,108.35619237207584
2001-04-25,108.78403827916014
2001-04-26,109.33564672571669
2001-04-27,109.98142009486591
2001-04-30,111.12367506662775
2001-05-01,111.12367506662774
2001-05-02,111.39840673948478
2001-05-03,111.99830238424052
2001-05-04,110.66838837409028
2001-05-07,109.54228327423667
