Date; FTSE Italia PMI PIR;WORLD;WORLD SMALL CAP;ITALY SMALL CAP;ITALY LARGE MID; FTSE Italia PMI PIR;WORLD;WORLD SMALL CAP;ITALY SMALL CAP;ITALY LARGE MID;;;;;;;
29/12/2000;;135,6676074;100;100;123,0861562;yearly;yearly;yearly;yearly;yearly;;;;;;;
01/01/2001;;135,6676074;100;100;123,0861562;;;;;;;;;;;;
02/01/2001;;132,3060096;97,98661795;98,93307765;121,9424258;;;;;;;;;;;;
03/01/2001;;135,3686849;99,1262514;97,30482625;119,4856001;;;;;;;;;;;;
04/01/2001;;135,5065911;98,84430716;97,89668844;121,3848576;;;;;;;;;;;;
05/01/2001;;132,7778405;97,67937176;97,56827061;121,7266366;;;;;;;; FTSE Italia PMI PIR;WORLD;WORLD SMALL CAP;ITALY SMALL CAP;ITALY LARGE MID
08/01/2001;;132,535872;97,77507187;96,2148582;121,7982506;;;;;;;mean;9,89%;8,03%;9,75%;8,99%;5,30%
09/01/2001;;133,1128351;98,0911628;96,08586334;121,5690779;;;;;;;stddev;19,63%;16,81%;19,90%;24,68%;21,00%
10/01/2001;;133,3304864;98,58579376;95,84760904;122,0623463;;;;;;;median;9,11%;9,31%;10,11%;10,68%;9,57%
11/01/2001;;133,2324945;97,97277217;96,01852108;123,5583076;;;;;;;;;;;;
12/01/2001;;133,2615934;98,56606613;96,91451357;125,0387242;;;;;;;mean/stddev;50,36%;47,75%;48,98%;36,41%;25,22%
15/01/2001;;134,0753259;99,34004798;97,03931366;124,9488329;;;;;;;;;;;;
16/01/2001;;134,4178994;100,3349709;97,08776141;123,7355633;;;;;;;;;;;;
17/01/2001;;136,728542;101,5068687;98,77875828;125,5940851;;;;;;;;;;;;
18/01/2001;;136,2692553;100,894953;98,8479659;125,7557219;;;;;;;;;;;;
19/01/2001;;137,181731;101,8457156;99,40210667;125,1001002;;;;;;;; FTSE Italia PMI PIR;WORLD;WORLD SMALL CAP;ITALY SMALL CAP;ITALY LARGE MID
22/01/2001;;137,1722901;101,9978105;99,47929096;125,462722;;;;;;; FTSE Italia PMI PIR;100%;92%;94%;96%;89%
23/01/2001;;137,5332655;102,5079846;99,51794018;124,4919046;;;;;;;WORLD;92%;100%;98%;92%;72%
24/01/2001;;139,7731534;103,5934336;100,1887474;126,0370953;;;;;;;WORLD SMALL CAP;94%;98%;100%;89%;62%
25/01/2001;;139,8964144;104,1888918;100,0093397;126,1903781;;;;;;;ITALY SMALL CAP;96%;92%;89%;100%;89%
26/01/2001;;139,3983552;103,7833376;99,87469545;126,0302184;;;;;;;ITALY LARGE MID;89%;72%;62%;89%;100%
29/01/2001;;140,4481872;104,9936464;99,86115939;125,1951588;;;;;;;;;;;;
30/01/2001;;140,3406497;104,857462;99,79363842;125,9054769;;;;;;;;;;;;
31/01/2001;;139,6034897;104,6990439;99,82690102;126,4338843;;;;;;;;;;;;
01/02/2001;;138,6302247;104,5240577;100,0663138;125,3124659;;;;;;;;;;;;
02/02/2001;;137,5044947;104,6821192;100,3982021;123,9994581;;;;;;;;;;;;
05/02/2001;;136,8213716;104,0270395;100,0568269;123,336514;;;;;;;;;;;;
06/02/2001;;137,8062486;104,9570865;100,0044489;123,2339562;;;;;;;;;;;;
07/02/2001;;136,4273778;104,7325928;99,59164044;121,6819328;;;;;;;;;;;;
08/02/2001;;137,2136834;105,3224621;99,91372557;122,0123964;;;;;;;;;;;;
09/02/2001;;134,8812768;104,2250261;98,51640885;120,6303749;;;;;;;;;;;;
12/02/2001;;135,5943972;104,5338833;98,57447;122,2180768;;;;;;;;;;;;
