Date,CANADA SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,98.43743708485296
2001-01-03,97.70407932082496
2001-01-04,96.68117783017317
2001-01-05,96.13904902439992
2001-01-08,96.4834580927573
2001-01-09,98.21629199078832
2001-01-10,98.16560788725606
2001-01-11,98.78581910812822
2001-01-12,97.830563789883
2001-01-15,99.2654654570627
2001-01-16,99.4727469099555
2001-01-17,100.18846627657989
2001-01-18,97.65211555708218
2001-01-19,99.79488056420026
2001-01-22,100.62218672730381
2001-01-23,100.14152306942654
2001-01-24,101.71028336768956
2001-01-25,102.59879087862755
2001-01-26,102.95956582178847
2001-01-29,104.40785564787697
2001-01-30,104.29420802303343
2001-01-31,103.16245192366183
2001-02-01,102.7481993192225
2001-02-02,104.04967331330354
2001-02-05,103.589520384037
2001-02-06,104.12336580043376
2001-02-07,102.87298414301654
2001-02-08,104.52096812822064
2001-02-09,103.80295223804238
2001-02-12,102.92098971721487
2001-02-13,103.84720299967483
2001-02-14,103.52672793498984
2001-02-15,104.97886392484443
2001-02-16,103.03723921377538
2001-02-19,103.47157570369728
2001-02-20,103.12434620302386
2001-02-21,100.14905493457825
2001-02-22,100.99785594200578
2001-02-23,100.09135201117016
2001-02-26,101.1971122459221
2001-02-27,100.53908749691878
2001-02-28,99.47852467293345
2001-03-01,97.31714152734705
2001-03-02,96.64667833195031
2001-03-05,98.32720880617204
2001-03-06,99.72208233869152
2001-03-07,100.67970115937652
2001-03-08,101.4125584657716
2001-03-09,101.72010147807435
2001-03-12,100.9618954415216
2001-03-13,102.31657977521284
2001-03-14,101.65896084128346
2001-03-15,102.04324871458937
2001-03-16,101.76701528270081
2001-03-19,104.0545512967079
2001-03-20,102.67611598577004
2001-03-21,101.58970415498275
2001-03-22,101.37474578673681
2001-03-23,101.07524484177414
2001-03-26,102.17686655297078
2001-03-27,101.42262825582905
2001-03-28,101.418954677218
2001-03-29,102.39537451829203
2001-03-30,103.90918906292283
2001-04-02,104.7561701291115
2001-04-03,103.2438993756689
2001-04-04,102.51194180427332
2001-04-05,102.92867295708767
2001-04-06,103.02149472368015
2001-04-09,103.4237745911537
2001-04-10,106.55469222984843
2001-04-11,107.94611626640963
2001-04-12,107.58513923164877
2001-04-13,107.58513923164877
2001-04-16,108.71556864103789
2001-04-17,109.31253931375551
2001-04-18,110.8399419070597
2001-04-19,109.98461175326511
2001-04-20,109.38069120206843
2001-04-23,109.05800884445632
2001-04-24,110.20497519231749
2001-04-25,110.74377328449533
2001-04-26,110.41515289132468
2001-04-27,112.54784320598657
2001-04-30,114.18529208594663
2001-05-01,114.47418498805635
2001-05-02,114.84987068995176
2001-05-03,114.64067873036328
2001-05-04,114.15765712733763
2001-05-07,114.61575826080293
2001-05-08,115.40843197972879
2001-05-09,116.38263460537922
2001-05-10,117.69447785872379
2001-05-11,117.96666457256347
2001-05-14,117.49729029341052
2001-05-15,117.43296441870137
2001-05-16,117.92103085601504
2001-05-17,119.96381382707511
2001-05-18,121.40729323749119
2001-05-21,121.81584838214727
2001-05-22,124.51894513799422
2001-05-23,124.64045477050945
2001-05-24,125.48567151162975
2001-05-25,124.95782086083736
2001-05-28,123.98151146075985
2001-05-29,124.99967328815934
2001-05-30,122.5370825901535
2001-05-31,124.68547965447823
2001-06-01,127.11140839935833
2001-06-04,127.13864231777849
2001-06-05,127.13690235446829
2001-06-06,127.33194580902874
2001-06-07,127.02932552321042
2001-06-08,127.08926032920179
2001-06-11,128.52215550774608
2001-06-12,127.30552073999708
2001-06-13,127.7918860950676
2001-06-14,125.59736312848023
2001-06-15,124.84799600690631
2001-06-18,123.6370564926949
2001-06-19,123.20451608891776
2001-06-20,123.19474501688092
2001-06-21,121.71922180221245
2001-06-22,120.73175129382592
2001-06-25,120.34820675162707
2001-06-26,120.40464288628853
2001-06-27,118.9781505074033
2001-06-28,121.29591326177474
2001-06-29,123.02864238854093
2001-07-02,123.25906205701996
2001-07-03,124.34016436444307
2001-07-04,123.94793338646366
2001-07-05,126.34781208642481
2001-07-06,124.59418503848828
2001-07-09,122.98373318977308
2001-07-10,122.28614863124037
2001-07-11,121.17532450795946
2001-07-12,122.74517050190998
2001-07-13,123.17265744893808
2001-07-16,121.70545308068061
2001-07-17,122.38570349813666
2001-07-18,120.59798174854697
2001-07-19,120.94924991826063
2001-07-20,119.9163959936576
2001-07-23,118.5584474072878
2001-07-24,117.37060647922895
2001-07-25,115.55286061462286
2001-07-26,115.31686949358632
2001-07-27,115.57808894708381
2001-07-30,115.35293717363011
2001-07-31,115.75664298798938
2001-08-01,115.37314861831648
2001-08-02,115.20159354837193
2001-08-03,115.77515723403297
2001-08-06,117.10514401991965
2001-08-07,117.2370417897299
2001-08-08,117.14544333626742
2001-08-09,115.35202311886351
2001-08-10,113.98833336500982
2001-08-13,113.94497592925188
2001-08-14,112.55807487815638
2001-08-15,112.19181759209594
2001-08-16,112.35824435318393
2001-08-17,110.78738237124975
2001-08-20,111.58193530438372
2001-08-21,112.22767141426138
2001-08-22,111.95707690913058
2001-08-23,113.21613313334407
2001-08-24,113.4616916143943
2001-08-27,113.5842152480529
2001-08-28,112.63784677675439
2001-08-29,111.85109806361343
2001-08-30,110.50789270367676
2001-08-31,110.48630279808388
2001-09-03,110.61695773696538
2001-09-04,112.89319655517197
2001-09-05,114.45171346285402
2001-09-06,113.8156647303024
2001-09-07,111.7929444947509
2001-09-10,111.00837052694963
2001-09-11,104.87673856269186
2001-09-12,105.95578527045055
2001-09-13,107.0309138414506
2001-09-14,102.7153295418809
