Date,GERMANY IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1033.2410223152717
1995-01-31,1022.8372029915206
1995-02-28,1086.3082867491355
1995-03-31,1077.6134516872935
1995-04-28,1106.4571169693206
1995-05-31,1113.8170209929895
1995-06-30,1139.778325118749
1995-07-31,1193.1981433328438
1995-08-31,1128.0205523726374
1995-09-29,1140.0596384440862
1995-10-31,1129.3315824756623
1995-11-30,1116.77411880764
1995-12-29,1145.9484164623136
1996-01-31,1177.462772465421
1996-02-29,1188.9404464349352
1996-03-29,1185.5951105177949
1996-04-30,1147.595416625618
1996-05-31,1175.9870227491638
1996-06-28,1199.6136441608387
1996-07-31,1196.0897243427855
1996-08-30,1216.2509805833747
1996-09-30,1214.6137964983145
1996-10-31,1225.41942849462
1996-11-29,1268.4148071390657
1996-12-31,1282.4357743586238
1997-01-01,1282.4357743586238
1997-01-02,1272.9351157348115
1997-01-03,1264.9522633482582
1997-01-06,1268.020584786974
1997-01-07,1272.9007730897504
1997-01-08,1275.8453185338283
1997-01-09,1270.3249243276125
1997-01-10,1273.9623495893964
1997-01-13,1278.78267346213
1997-01-14,1272.7965573126555
1997-01-15,1290.722715892415
1997-01-16,1290.4711892182665
1997-01-17,1281.0508986978732
1997-01-20,1284.5968281704534
1997-01-21,1269.4541843953734
1997-01-22,1273.0660472161146
1997-01-23,1274.9989819364991
1997-01-24,1276.1125040335937
1997-01-27,1267.2470016599327
1997-01-28,1254.1391178344966
1997-01-29,1261.2329906732746
1997-01-30,1268.7187201217635
1997-01-31,1275.7045686549363
1997-02-03,1283.1663032230663
1997-02-04,1287.6449003428486
1997-02-05,1292.3714763926941
1997-02-06,1293.0731468253546
1997-02-07,1284.8948149985506
1997-02-10,1312.2999704635383
1997-02-11,1299.6646008548648
1997-02-12,1299.1938755427088
1997-02-13,1298.121365869463
1997-02-14,1303.7685307732045
1997-02-17,1288.0328276266164
1997-02-18,1306.6133058479957
1997-02-19,1294.6888212408671
1997-02-20,1286.4561234014488
1997-02-21,1288.48228535387
1997-02-24,1298.9933292279288
1997-02-25,1309.507018068211
1997-02-26,1301.6895795231867
1997-02-27,1313.457794973604
1997-02-28,1312.7008169289575
1997-03-03,1317.9791850432364
1997-03-04,1322.0559391653396
1997-03-05,1332.8633875805276
1997-03-06,1341.1845476937228
1997-03-07,1329.0365427228353
1997-03-10,1360.8877170521184
1997-03-11,1371.7092062228353
1997-03-12,1365.0179718050497
1997-03-13,1346.2644225352751
1997-03-14,1348.4990693123361
1997-03-17,1353.4546588069497
1997-03-18,1345.8012354711288
1997-03-19,1350.7394621617434
1997-03-20,1335.1077957392004
1997-03-21,1349.6963663112422
1997-03-24,1354.0984743460256
1997-03-25,1359.2959053224963
1997-03-26,1378.3236651430095
1997-03-27,1394.1338142995232
1997-03-28,1395.1734678419848
1997-03-31,1401.7669707987955
1997-04-01,1357.8185104623544
1997-04-02,1363.4752139930931
1997-04-03,1338.940146109148
1997-04-04,1340.6807703779677
1997-04-07,1334.4605759662852
1997-04-08,1339.9453122725772
1997-04-09,1344.7880272006698
1997-04-10,1344.7226069605686
1997-04-11,1337.2138199222238
1997-04-14,1319.7860432554698
1997-04-15,1326.072032847455
1997-04-16,1337.7032143273589
1997-04-17,1351.7019126401017
1997-04-18,1349.3717985584349
1997-04-21,1360.7206193524034
1997-04-22,1351.5980863941588
1997-04-23,1363.3065985918633
1997-04-24,1359.7042403824603
1997-04-25,1348.824692402172
1997-04-28,1340.823788130702
1997-04-29,1347.280662079873
1997-04-30,1357.3728666952675
1997-05-01,1368.0435822101956
1997-05-02,1370.4633405846284
1997-05-05,1387.3064994751217
1997-05-06,1405.6990122544012
1997-05-07,1403.361468675025
1997-05-08,1413.1540739112118
1997-05-09,1431.8688410150849
1997-05-12,1433.493261988084
1997-05-13,1441.4929815931225
1997-05-14,1433.8956840505846
1997-05-15,1435.041392636028
1997-05-16,1453.2264393811038
1997-05-19,1442.032714171485
1997-05-20,1436.5412960196652
1997-05-21,1453.701753512499
1997-05-22,1451.6814022270105
1997-05-23,1462.2056944857254
1997-05-26,1478.7697496325911
1997-05-27,1472.8234824423755
1997-05-28,1465.1265158119104
1997-05-29,1465.5317683181886
1997-05-30,1432.8532061968513
1997-06-02,1432.6718239338566
1997-06-03,1436.006684816942
1997-06-04,1446.6563539973652
1997-06-05,1455.700456387134
1997-06-06,1464.269800528491
1997-06-09,1476.7342575029209
1997-06-10,1469.4069195642298
1997-06-11,1475.6480554758984
1997-06-12,1476.5317469861316
1997-06-13,1473.2219751549985
1997-06-16,1485.0932209213865
1997-06-17,1474.8901415629214
1997-06-18,1478.5601135522297
1997-06-19,1487.354776406072
1997-06-20,1490.2288239534216
1997-06-23,1491.5420901503333
1997-06-24,1491.5129288253097
1997-06-25,1504.991681693543
1997-06-26,1499.2124475614448
1997-06-27,1491.9604578431783
1997-06-30,1483.3619714309975
1997-07-01,1496.4090804773568
1997-07-02,1499.4494585703235
1997-07-03,1509.5923357634808
1997-07-04,1514.5231756603762
1997-07-07,1529.2748616307392
1997-07-08,1527.406805578603
1997-07-09,1536.8156231003359
1997-07-10,1528.4466598937242
1997-07-11,1525.030105144552
1997-07-14,1526.9256012350697
1997-07-15,1517.4918607931895
1997-07-16,1537.760433187778
1997-07-17,1548.0510448577957
1997-07-18,1538.7562916593097
1997-07-21,1512.44239501566
1997-07-22,1528.7029468276587
1997-07-23,1558.1797815147368
1997-07-24,1537.917195460663
1997-07-25,1529.763243028176
1997-07-28,1533.6078748562004
1997-07-29,1549.7175770784286
1997-07-30,1553.7712042712913
1997-07-31,1565.9599122584827
1997-08-01,1542.8184791328806
1997-08-04,1510.0364236382352
1997-08-05,1498.0183190925438
1997-08-06,1508.113832250261
1997-08-07,1532.4461586508576
1997-08-08,1539.071714570188
1997-08-11,1532.114975482938
1997-08-12,1536.8457940236187
1997-08-13,1538.5462221710895
1997-08-14,1514.7361666553463
1997-08-15,1516.056651134227
1997-08-18,1484.4590340322977
1997-08-19,1504.9769289243775
1997-08-20,1506.3497267251437
1997-08-21,1527.9161536924726
1997-08-22,1499.6696662578554
1997-08-25,1490.3427560936834
1997-08-26,1474.2933545634714
1997-08-27,1468.6372405839054
1997-08-28,1471.8888085106073
1997-08-29,1449.597035160715
1997-09-01,1461.5002227647924
1997-09-02,1455.7241622816475
1997-09-03,1482.4441336696107
1997-09-04,1473.7088200346175
1997-09-05,1491.5673553722152
1997-09-08,1481.795905958811
1997-09-09,1488.0846917308806
1997-09-10,1484.9835394186
1997-09-11,1472.6915294685468
1997-09-12,1455.8862102108055
1997-09-15,1451.9916491459435
1997-09-16,1467.0154143442612
1997-09-17,1493.190984466111
1997-09-18,1483.9750789020993
1997-09-19,1495.0292447318404
1997-09-22,1493.7347177804118
1997-09-23,1497.0261883933629
1997-09-24,1517.3740199466772
1997-09-25,1531.5246106777897
1997-09-26,1516.992386278673
1997-09-29,1528.723227222299
1997-09-30,1539.0090834766436
1997-10-01,1541.5112362019577
1997-10-02,1568.0116264640644
1997-10-03,1572.1066912090828
1997-10-06,1580.7814745294706
1997-10-07,1589.4489936744353
1997-10-08,1596.7031789868752
1997-10-09,1584.6841883728314
1997-10-10,1560.1695492456358
1997-10-13,1573.1709077108878
1997-10-14,1563.9689283422954
1997-10-15,1567.3883531321044
1997-10-16,1549.684961496326
1997-10-17,1512.5333827385555
1997-10-20,1505.96841554348
1997-10-21,1518.3300684153235
1997-10-22,1528.838331385581
1997-10-23,1482.7833542138255
1997-10-24,1495.8794451576612
1997-10-27,1464.57905992914
1997-10-28,1394.5225795201668
1997-10-29,1452.1150301521184
1997-10-30,1450.4983975187497
1997-10-31,1453.5242386741895
1997-11-03,1476.821898591938
1997-11-04,1478.8927952230679
1997-11-05,1490.5481322386686
1997-11-06,1480.3878436592208
1997-11-07,1461.4054133475172
1997-11-10,1467.7266422611788
1997-11-11,1460.9724263139985
1997-11-12,1428.894519757749
1997-11-13,1438.273878153648
1997-11-14,1438.591749253089
1997-11-17,1453.3021662955941
1997-11-18,1474.7861348803115
1997-11-19,1468.2605890321743
1997-11-20,1493.2035737278327
1997-11-21,1492.3124464910602
1997-11-24,1464.5230529550695
1997-11-25,1463.9927231992544
1997-11-26,1468.595725686834
1997-11-27,1474.2078288158125
1997-11-28,1474.9991679191103
1997-12-01,1495.8679343400174
1997-12-02,1497.3506634223138
1997-12-03,1504.5199335134837
1997-12-04,1518.6541810749738
1997-12-05,1515.372429296614
1997-12-08,1519.744314357003
1997-12-09,1501.349636085575
1997-12-10,1493.833814650336
1997-12-11,1478.5718102539047
1997-12-12,1488.2987835508497
1997-12-15,1484.1277868477068
1997-12-16,1475.704066172614
1997-12-17,1503.1900366110247
1997-12-18,1501.522531261235
1997-12-19,1479.259664556333
1997-12-22,1460.88877231272
1997-12-23,1488.9035945001112
1997-12-24,1489.7016639642547
1997-12-25,1489.701663964255
1997-12-26,1489.7047259593746
1997-12-29,1501.7551048216187
1997-12-30,1507.897766278751
1997-12-31,1502.3628116014957
1998-01-01,1502.3628116014957
1998-01-02,1517.5169328001741
1998-01-05,1520.507816654304
