Date,SWEDEN IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,994.3191183415187
1995-01-31,1017.1475182098218
1995-02-28,1034.9683424198417
1995-03-31,980.0773765374573
1995-04-28,1069.3475632965024
1995-05-31,1073.0288251417116
1995-06-30,1114.0687787371085
1995-07-31,1203.1723547717593
1995-08-31,1149.1928473148248
1995-09-29,1313.4953195560834
1995-10-31,1269.496821723697
1995-11-30,1288.8425417807248
1995-12-29,1273.7222092805393
1996-01-31,1218.4333848989636
1996-02-29,1331.7325235322548
1996-03-29,1370.5836330821085
1996-04-30,1409.3509037102572
1996-05-31,1460.9500221451392
1996-06-28,1502.430255015088
1996-07-31,1457.6236359349668
1996-08-30,1530.380208184723
1996-09-30,1608.614962911731
1996-10-31,1647.9280263635408
1996-11-29,1736.3425409931845
1996-12-31,1775.5383647554977
1997-01-01,1775.5383647554977
1997-01-02,1749.5533378165367
1997-01-03,1762.627391654178
1997-01-06,1753.0939883261146
1997-01-07,1760.3225411168569
1997-01-08,1789.4826728755445
1997-01-09,1801.2288400247928
1997-01-10,1776.9050534701914
1997-01-13,1800.687316854042
1997-01-14,1810.8747875759711
1997-01-15,1805.6432533631983
1997-01-16,1817.204209926542
1997-01-17,1799.4359055955563
1997-01-20,1787.9905693901824
1997-01-21,1793.4333034328201
1997-01-22,1792.6504697577668
1997-01-23,1776.6812101412543
1997-01-24,1782.8856674476851
1997-01-27,1768.2928000476563
1997-01-28,1768.8236692703117
1997-01-29,1748.6340310776677
1997-01-30,1766.5213408352995
1997-01-31,1788.765496343347
1997-02-03,1764.3337436351596
1997-02-04,1765.8236026469397
1997-02-05,1763.9174745034336
1997-02-06,1770.4139501092975
1997-02-07,1775.9771384575884
1997-02-10,1808.4079479389875
1997-02-11,1795.6294170921108
1997-02-12,1799.0535319234841
1997-02-13,1813.1909984133083
1997-02-14,1823.0510486996038
1997-02-17,1826.7075173856622
1997-02-18,1839.2200800265791
1997-02-19,1856.4685991227234
1997-02-20,1847.0036717622227
1997-02-21,1852.0666907687303
1997-02-24,1861.100842491478
1997-02-25,1871.435232007335
1997-02-26,1853.9752777889962
1997-02-27,1854.1913532404485
1997-02-28,1841.440045729241
1997-03-03,1822.460483689025
1997-03-04,1835.3670099229928
1997-03-05,1846.8551306893958
1997-03-06,1861.9535668300373
1997-03-07,1867.06728178477
1997-03-10,1897.9111600408912
1997-03-11,1884.7484603671512
1997-03-12,1859.9407699314545
1997-03-13,1866.1896628575644
1997-03-14,1842.3931018503094
1997-03-17,1829.0513458106034
1997-03-18,1802.2418377730735
1997-03-19,1811.3896000706095
1997-03-20,1785.3407643895177
1997-03-21,1816.0058221204913
1997-03-24,1812.7410062332128
1997-03-25,1835.8387364460152
1997-03-26,1859.153629632484
1997-03-27,1887.7291347666664
1997-03-28,1890.4855081613798
1997-03-31,1899.0299761885506
1997-04-01,1801.7326168784373
1997-04-02,1773.320163400425
1997-04-03,1785.9317635956538
1997-04-04,1789.187113876998
1997-04-07,1800.6423012434725
1997-04-08,1797.8119570082392
1997-04-09,1784.2754089588686
1997-04-10,1789.0443031621182
1997-04-11,1782.8614775237081
1997-04-14,1779.0256029058105
1997-04-15,1800.4869045696114
1997-04-16,1804.064784572846
1997-04-17,1799.7447491132216
1997-04-18,1803.2799092137086
1997-04-21,1805.1370663987643
1997-04-22,1794.8251005136246
1997-04-23,1806.3328832051839
1997-04-24,1823.3147101097663
1997-04-25,1772.4215818363728
1997-04-28,1758.6825628069876
1997-04-29,1774.7168498711264
1997-04-30,1784.1598664325109
1997-05-01,1789.2186026668576
1997-05-02,1815.337255950547
1997-05-05,1830.5140603329826
1997-05-06,1866.1651526722449
1997-05-07,1891.6501816708626
1997-05-08,1898.090791967999
1997-05-09,1909.8835332949536
1997-05-12,1903.082564538774
1997-05-13,1910.9539981971416
1997-05-14,1935.710072915415
1997-05-15,1953.3057933094444
1997-05-16,1940.3826351291657
1997-05-19,1926.396233580194
1997-05-20,1962.14388911201
1997-05-21,1984.1466224607004
1997-05-22,1970.2034489361954
1997-05-23,1988.066624825047
1997-05-26,1984.6152656079669
1997-05-27,1966.006216330041
1997-05-28,1949.2521094918056
1997-05-29,1928.1007719628496
1997-05-30,1914.247391726509
1997-06-02,1914.2749667738474
1997-06-03,1930.614875045535
1997-06-04,1934.2378362054524
1997-06-05,1931.5182719144052
1997-06-06,1935.8458331205984
1997-06-09,1950.748531157173
1997-06-10,1947.9103219123938
1997-06-11,1957.3970260755311
1997-06-12,1959.8842869490006
1997-06-13,1972.9473147548172
1997-06-16,1975.8369692107237
1997-06-17,1965.8769618515278
1997-06-18,1971.999129955358
1997-06-19,1991.4288810729695
1997-06-20,1983.6726732001412
1997-06-23,1998.7629838351654
1997-06-24,2006.1710288147037
1997-06-25,2029.0374304586398
1997-06-26,2023.7261540397192
1997-06-27,2028.7266653927002
1997-06-30,2022.9989712929055
1997-07-01,2033.0147261429356
1997-07-02,2026.8743103473896
1997-07-03,2057.709292983109
1997-07-04,2069.602073509061
1997-07-07,2099.642609616117
1997-07-08,2086.506186066238
1997-07-09,2113.064388772849
1997-07-10,2100.9619584752677
1997-07-11,2111.796212510594
1997-07-14,2110.132038163267
1997-07-15,2081.6475446776744
1997-07-16,2104.7015946036595
1997-07-17,2111.0825982288884
1997-07-18,2086.1951104072323
1997-07-21,2062.5771038836597
1997-07-22,2095.2666406996864
1997-07-23,2112.0696303321743
1997-07-24,2080.075216611135
1997-07-25,2074.9676111995445
1997-07-28,2065.92199018457
1997-07-29,2063.7917718474073
1997-07-30,2064.8140632969053
