Date,UNITED KINGDOM IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1004.1516791019761
1995-01-31,993.907975248528
1995-02-28,998.3898995015995
1995-03-31,1075.1103991566697
1995-04-28,1093.6501441201485
1995-05-31,1122.6399348145505
1995-06-30,1118.6130228572988
1995-07-31,1188.2071642595577
1995-08-31,1167.4655878298436
1995-09-29,1210.3274460812136
1995-10-31,1211.1180846212228
1995-11-30,1217.3052183934383
1995-12-29,1254.0670461206926
1996-01-31,1248.8572698210842
1996-02-29,1266.8367115579076
1996-03-29,1275.4434676916808
1996-04-30,1302.2635474259725
1996-05-31,1329.919362965642
1996-06-28,1318.5987838761405
1996-07-31,1320.8159941857336
1996-08-30,1394.3892872347371
1996-09-30,1422.696319428457
1996-10-31,1498.2326399980461
1996-11-29,1581.7714435806286
1996-12-31,1653.9001890193506
1997-01-01,1653.8867297249128
1997-01-02,1614.8067474229165
1997-01-03,1628.1457160444397
1997-01-06,1630.2125487427375
1997-01-07,1634.3651915752648
1997-01-08,1631.9384788462708
1997-01-09,1637.08211120023
1997-01-10,1616.1888503557711
1997-01-13,1622.8795591791522
1997-01-14,1644.3289393288205
1997-01-15,1650.8392036372195
1997-01-16,1662.140448401563
1997-01-17,1659.1289738130847
1997-01-20,1648.8414318941584
1997-01-21,1648.1231236542244
1997-01-22,1645.9026324812207
1997-01-23,1635.0889526317453
1997-01-24,1618.8660440915319
1997-01-27,1611.3295664720015
1997-01-28,1602.5564671025236
1997-01-29,1602.041628483587
1997-01-30,1603.3010674200934
1997-01-31,1605.5114087310394
1997-02-03,1609.4361082172416
1997-02-04,1618.7475560072944
1997-02-05,1639.2086053459025
1997-02-06,1634.635289535454
1997-02-07,1640.0510360930487
1997-02-10,1651.3085239312545
1997-02-11,1657.9988646313993
1997-02-12,1648.3191934491517
1997-02-13,1642.1160166052257
1997-02-14,1645.4308221353597
1997-02-17,1641.9085536213165
1997-02-18,1624.677088254424
1997-02-19,1641.2203796308434
1997-02-20,1641.331549524158
1997-02-21,1642.936165048591
1997-02-24,1662.660828397289
1997-02-25,1668.4085660677197
1997-02-26,1662.3975151237717
1997-02-27,1657.4945621712354
1997-02-28,1654.0610084064726
1997-03-03,1643.8774287919412
1997-03-04,1656.4794647601857
1997-03-05,1651.2694703713455
1997-03-06,1666.85561034739
1997-03-07,1664.7350866559489
1997-03-10,1669.015815189178
1997-03-11,1673.3708669961857
1997-03-12,1655.7311144778546
1997-03-13,1653.9306265482785
1997-03-14,1664.2247907095896
1997-03-17,1644.051591695745
1997-03-18,1639.1673688996673
1997-03-19,1641.4619155805244
1997-03-20,1610.4115132114248
1997-03-21,1619.8711191076486
1997-03-24,1617.4888201778413
1997-03-25,1641.1820742633513
1997-03-26,1658.036750746605
1997-03-27,1663.8656062849498
1997-03-28,1668.1914747504516
1997-03-31,1676.1146322890502
1997-04-01,1657.397654023181
1997-04-02,1653.0274117712356
1997-04-03,1645.1860161929483
1997-04-04,1652.2678948201064
1997-04-07,1653.8479729772087
1997-04-08,1647.5040239859334
1997-04-09,1654.6863754870167
1997-04-10,1663.0344957682853
1997-04-11,1652.2806612837117
1997-04-14,1647.7768632463221
1997-04-15,1661.963785005293
1997-04-16,1661.3718311752177
1997-04-17,1668.481864459895
1997-04-18,1673.448144471168
1997-04-21,1683.8735803712634
1997-04-22,1689.2489024913107
1997-04-23,1688.6843626298
1997-04-24,1691.6134237373815
1997-04-25,1681.0601609732273
1997-04-28,1688.1015865707184
1997-04-29,1710.6748590781056
1997-04-30,1700.1607901667833
1997-05-01,1704.7419318384038
1997-05-02,1701.549238712408
1997-05-05,1704.4934527229846
1997-05-06,1742.2690407239631
1997-05-07,1748.1722341702296
1997-05-08,1743.1420319029198
1997-05-09,1759.333362212421
1997-05-12,1777.089082924144
1997-05-13,1789.3873527094556
1997-05-14,1796.7114920346785
1997-05-15,1794.0501834524414
1997-05-16,1796.2869851848916
1997-05-19,1785.9373024826532
1997-05-20,1781.082038012591
1997-05-21,1794.3429382210545
1997-05-22,1782.6124558142233
1997-05-23,1782.4065069244825
1997-05-26,1793.0025009023605
1997-05-27,1787.8326329371585
1997-05-28,1795.0764504732929
1997-05-29,1793.4138623231163
1997-05-30,1774.9639213222295
1997-06-02,1755.4286480120923
1997-06-03,1756.6219239698682
1997-06-04,1748.5315681681277
1997-06-05,1756.4288681896053
1997-06-06,1772.4305778016283
