Date,CANADA IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1007.4953272064052
1995-01-31,964.8635109580789
1995-02-28,1007.5383006388238
1995-03-31,1036.9050676727995
1995-04-28,1067.2564622804293
1995-05-31,1105.4381627246016
1995-06-30,1119.9990142327435
1995-07-31,1144.8876336936132
1995-08-31,1147.4406408573107
1995-09-29,1146.502770486957
1995-10-31,1136.8033587046905
1995-11-30,1168.5760292671514
1995-12-29,1183.8071605406728
1996-01-31,1228.247085461324
1996-02-29,1221.5249752009993
1996-03-29,1245.7860515480158
1996-04-30,1297.5018814751675
1996-05-31,1315.021681755034
1996-06-28,1292.415840059907
1996-07-31,1265.1051136048568
1996-08-30,1325.1301470265025
1996-09-30,1374.7614960985359
1996-10-31,1488.4877845273743
1996-11-29,1597.8286518909226
1996-12-31,1557.6984327867067
1997-01-01,1557.6984327867067
1997-01-02,1549.2155035087346
1997-01-03,1552.1036555529834
1997-01-06,1560.1937498558398
1997-01-07,1580.3532532558386
1997-01-08,1581.0968183537839
1997-01-09,1592.7478701548519
1997-01-10,1601.1988638988546
1997-01-13,1604.9492946782998
1997-01-14,1616.6929018567216
1997-01-15,1630.0716529215629
1997-01-16,1644.5239864008424
1997-01-17,1651.812308971139
1997-01-20,1650.7125789282438
1997-01-21,1640.7302933468836
1997-01-22,1639.5706623737462
1997-01-23,1631.6682213384213
1997-01-24,1620.3127012769244
1997-01-27,1622.3800273300872
1997-01-28,1632.0471118549408
1997-01-29,1632.0106763142771
1997-01-30,1631.4870439072354
1997-01-31,1638.2202704442782
1997-02-03,1651.6149250565027
1997-02-04,1657.2680603084739
1997-02-05,1650.466340088911
1997-02-06,1639.2505168580612
1997-02-07,1646.971677424368
1997-02-10,1643.1702212655696
1997-02-11,1650.7061994882085
1997-02-12,1656.9507943951496
1997-02-13,1674.7942829009103
1997-02-14,1674.904373142698
1997-02-17,1674.7519828921618
1997-02-18,1674.62731213392
1997-02-19,1679.4533032973752
1997-02-20,1665.5935878821042
1997-02-21,1667.2504134608632
1997-02-24,1671.3429675098532
1997-02-25,1676.9194170416952
1997-02-26,1661.7768395555358
1997-02-27,1656.1984863100533
1997-02-28,1651.0506608414933
1997-03-03,1647.8510148044184
1997-03-04,1649.6461529628164
1997-03-05,1662.889264073796
1997-03-06,1672.3872243109547
1997-03-07,1682.68243326942
1997-03-10,1694.2764071261859
1997-03-11,1692.8681636287897
1997-03-12,1685.8589728956376
1997-03-13,1666.455869777293
1997-03-14,1674.0332175023875
1997-03-17,1657.356088585478
1997-03-18,1648.043160784061
1997-03-19,1631.9737018602134
1997-03-20,1621.5242660659294
1997-03-21,1623.5147387776772
1997-03-24,1645.1881581819118
1997-03-25,1643.483134673926
1997-03-26,1639.1023313864582
1997-03-27,1592.178853600713
1997-03-28,1588.0663211826707
1997-03-31,1566.0614641552427
1997-04-01,1569.956248140398
1997-04-02,1558.2999806226271
1997-04-03,1552.8825399805537
1997-04-04,1545.6211579923365
1997-04-07,1551.4560805794038
1997-04-08,1548.0570657789538
1997-04-09,1543.6117789300627
1997-04-10,1535.5494664962398
1997-04-11,1505.8488427161299
1997-04-14,1503.9939491797181
1997-04-15,1525.960162357717
1997-04-16,1535.8701370310293
1997-04-17,1545.3030264625559
1997-04-18,1544.8137162952064
1997-04-21,1539.9312191336694
1997-04-22,1555.514553481154
1997-04-23,1561.606991667651
1997-04-24,1564.169502605617
1997-04-25,1551.9442872281058
1997-04-28,1549.5251188981445
1997-04-29,1569.9526037625387
1997-04-30,1588.9659180002714
1997-05-01,1603.1413339445494
1997-05-02,1640.0715084406695
1997-05-05,1646.7147127815715
1997-05-06,1645.9959169509432
1997-05-07,1639.7009029800683
1997-05-08,1644.4580467039552
1997-05-09,1652.7023297147246
1997-05-12,1662.6992628887044
1997-05-13,1662.571375661249
1997-05-14,1664.8042220923526
1997-05-15,1674.894265332699
1997-05-16,1687.0521093000189
1997-05-19,1685.1241894715058
1997-05-20,1688.0501549801538
1997-05-21,1706.631356537293
1997-05-22,1707.1107657463233
1997-05-23,1725.1239663846252
1997-05-26,1737.0623017734506
1997-05-27,1721.5756605925092
1997-05-28,1707.1734610271806
1997-05-29,1704.4154441504636
1997-05-30,1710.1082499010154
1997-06-02,1720.9038683281324
1997-06-03,1734.268519210448
1997-06-04,1733.9462823112021
1997-06-05,1738.4518125328327
1997-06-06,1738.7274472687552
1997-06-09,1730.883798623568
1997-06-10,1730.9435204387257
1997-06-11,1731.000522454941
1997-06-12,1754.6571706029426
1997-06-13,1767.4172595609027
1997-06-16,1763.0972274729545
1997-06-17,1754.7564871365353
1997-06-18,1745.6704557334774
1997-06-19,1745.8951041154248
1997-06-20,1742.8825796196468
1997-06-23,1728.9437011049188
1997-06-24,1741.240997632069
1997-06-25,1742.277718466973
1997-06-26,1749.3391470572963
1997-06-27,1739.7275781934463
1997-06-30,1748.3080467647183
