Date,SINGAPORE IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,990.3515538260281
1995-01-31,923.5928621823572
1995-02-28,952.9192353561594
1995-03-31,965.8176482112293
1995-04-28,966.5450772098955
1995-05-31,1034.1916895011732
1995-06-30,1003.79190773174
1995-07-31,1030.1620906654439
1995-08-31,997.6473778666259
1995-09-29,1015.7904130487115
1995-10-31,1008.3789312103364
1995-11-30,1025.508143468795
1995-12-29,1085.8623751752182
1996-01-31,1187.4596903868462
1996-02-29,1184.278097454533
1996-03-29,1154.5882809313853
1996-04-30,1158.0647899135101
1996-05-31,1122.382122179277
1996-06-28,1120.7848293052793
1996-07-31,1030.698422972702
1996-08-30,1072.9780168042769
1996-09-30,1067.2555447884915
1996-10-31,1022.6652442520605
1996-11-29,1091.9857132953232
1996-12-31,1109.1660938800096
1997-01-01,1109.349879258697
1997-01-02,1109.193162664334
1997-01-03,1110.182938520782
1997-01-06,1118.7164692832932
1997-01-07,1124.6027181807785
1997-01-08,1133.4273019682548
1997-01-09,1134.3484229035957
1997-01-10,1127.3570205023327
1997-01-13,1122.3659580447456
1997-01-14,1115.5776941547122
1997-01-15,1121.2695754946496
1997-01-16,1123.0523787207408
1997-01-17,1146.0054117632292
1997-01-20,1156.991605482243
1997-01-21,1148.7957656193405
1997-01-22,1153.4374522941155
1997-01-23,1164.5622790133186
1997-01-24,1152.4218836088548
1997-01-27,1143.6451903217533
1997-01-28,1135.2183548890544
1997-01-29,1143.919953842238
1997-01-30,1148.7728515879799
1997-01-31,1151.4428694272285
1997-02-03,1151.4630531926782
1997-02-04,1145.2192771330397
1997-02-05,1135.3613922323366
1997-02-06,1142.493425245031
1997-02-07,1141.0763057394136
1997-02-10,1145.8880339612738
1997-02-11,1148.9252113857392
1997-02-12,1166.3014292319415
1997-02-13,1176.5440692699276
1997-02-14,1185.7836130828969
1997-02-17,1189.6988472803357
1997-02-18,1173.9746134723723
1997-02-19,1174.0989806708699
1997-02-20,1175.714411636989
1997-02-21,1167.280764401821
1997-02-24,1143.6663283102926
1997-02-25,1141.6358311166798
1997-02-26,1135.3061163211335
1997-02-27,1130.2952917339287
1997-02-28,1133.1313346477496
1997-03-03,1121.6589745801562
1997-03-04,1119.242548167658
1997-03-05,1116.803395784709
1997-03-06,1110.8313849562396
1997-03-07,1112.2449600502832
1997-03-10,1111.1938331086235
1997-03-11,1114.6068103751977
1997-03-12,1103.6385455600546
1997-03-13,1093.8285770736525
1997-03-14,1078.7640692312264
1997-03-17,1077.9262386604219
1997-03-18,1063.7627157660288
1997-03-19,1064.2670177321327
1997-03-20,1044.738610217737
1997-03-21,1030.9532764242597
1997-03-24,1041.7776030445782
1997-03-25,1055.8929466147938
1997-03-26,1048.0949726510753
1997-03-27,1042.133344914346
1997-03-28,1041.082821052096
1997-03-31,1028.3505284718078
1997-04-01,1033.507072086592
1997-04-02,1044.4713849974694
1997-04-03,1044.1184998711417
1997-04-04,1045.7520602939487
1997-04-07,1051.466136405955
1997-04-08,1065.4336975055423
1997-04-09,1063.8208363361568
1997-04-10,1059.3403026087713
1997-04-11,1040.3306161582161
1997-04-14,1026.4807158249525
1997-04-15,1020.3466001308714
1997-04-16,1031.1289016734743
1997-04-17,1028.977496701612
1997-04-18,1029.5058826484883
1997-04-21,1028.6736427344156
1997-04-22,1025.7143261079314
1997-04-23,1024.4890651100927
1997-04-24,1009.9244575652615
1997-04-25,1011.3740370820534
1997-04-28,993.6297296245809
1997-04-29,988.4219668659758
1997-04-30,998.5130395003108
1997-05-01,998.9066533656787
1997-05-02,1009.0789880479838
1997-05-05,1018.3750345072402
1997-05-06,1031.175326339442
1997-05-07,1043.2076067133787
1997-05-08,1033.3417681605522
1997-05-09,1047.0322793394448
1997-05-12,1073.344496468118
1997-05-13,1071.8511416177303
1997-05-14,1073.3397547653483
1997-05-15,1049.1028542867948
