Date,SWITZERLAND IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1022.1772977818313
1995-01-31,1005.5818494947791
1995-02-28,1050.8688095090092
1995-03-31,1117.8833768027564
1995-04-28,1138.7387123118438
1995-05-31,1200.6855262188285
1995-06-30,1239.2339330047391
1995-07-31,1239.2831136417813
1995-08-31,1196.9222797857747
1995-09-29,1296.089580219748
1995-10-31,1336.6032181612065
1995-11-30,1332.7071581509097
1995-12-29,1380.6625006179115
1996-01-31,1316.3257548812865
1996-02-29,1357.0887830827962
1996-03-29,1459.2968395603284
1996-04-30,1409.6499776011058
1996-05-31,1371.5077186565675
1996-06-28,1426.6469522542343
1996-07-31,1399.9178281861791
1996-08-30,1448.724062013808
1996-09-30,1415.585013801446
1996-10-31,1402.9377042099625
1996-11-29,1416.0601256103664
1996-12-31,1374.6586833396605
1997-01-01,1374.6586833396605
1997-01-02,1374.1492642933588
1997-01-03,1363.9772284289193
1997-01-06,1359.9897004176682
1997-01-07,1365.4526652449874
1997-01-08,1368.4249658240647
1997-01-09,1367.7886950609093
1997-01-10,1353.0696234377224
1997-01-13,1357.6758291246535
1997-01-14,1363.56328775697
1997-01-15,1367.1646025348537
1997-01-16,1372.4482089358394
1997-01-17,1359.2712285629557
1997-01-20,1339.3259742245357
1997-01-21,1340.6834869560182
1997-01-22,1347.9906691785604
1997-01-23,1361.9748780917325
1997-01-24,1373.072410219855
1997-01-27,1364.035571348438
1997-01-28,1364.1236469286175
1997-01-29,1366.4710717254325
1997-01-30,1375.7622315599665
1997-01-31,1392.116559644484
1997-02-03,1399.6501173620647
1997-02-04,1398.1703133973167
1997-02-05,1400.7314343352166
1997-02-06,1408.7434339775446
1997-02-07,1405.1543498520075
1997-02-10,1422.5480972890045
1997-02-11,1421.4163353047454
1997-02-12,1419.9715749498746
1997-02-13,1412.0253175329103
1997-02-14,1411.7917133877556
1997-02-17,1408.60477510826
1997-02-18,1408.0658555721259
1997-02-19,1406.5823872164822
1997-02-20,1407.359720753249
1997-02-21,1419.4867932600343
1997-02-24,1416.4668380267042
1997-02-25,1419.5735264510593
1997-02-26,1413.0775576908745
1997-02-27,1409.470655062736
1997-02-28,1406.162140068655
1997-03-03,1401.0345440295434
1997-03-04,1407.2199764266425
1997-03-05,1419.6053738791954
1997-03-06,1425.9950516532595
1997-03-07,1435.1714345041648
1997-03-10,1457.0898429327453
1997-03-11,1458.738304635918
1997-03-12,1464.6642537272048
1997-03-13,1455.2155081339406
1997-03-14,1455.8946180742246
1997-03-17,1440.2508539762846
1997-03-18,1447.0126059483748
1997-03-19,1447.13861967385
1997-03-20,1422.2512196895998
1997-03-21,1427.7347444219986
1997-03-24,1424.8330992907622
1997-03-25,1431.6286910668698
1997-03-26,1444.4429457283375
1997-03-27,1471.2806977021148
1997-03-28,1474.3257767591044
1997-03-31,1483.4341339805094
1997-04-01,1439.1204088205945
1997-04-02,1441.9242986068243
1997-04-03,1436.9958950613814
1997-04-04,1441.2788015932342
1997-04-07,1434.229431833455
1997-04-08,1431.3677897204382
1997-04-09,1442.3544984958364
1997-04-10,1446.9630599491397
1997-04-11,1444.6730619597538
1997-04-14,1440.1409230957272
1997-04-15,1454.987242837634
1997-04-16,1452.518819907496
1997-04-17,1462.2867146148863
1997-04-18,1480.8423152917396
1997-04-21,1501.091194984881
1997-04-22,1502.1512971032344
1997-04-23,1503.5573597707105
1997-04-24,1514.3075615100247
1997-04-25,1495.6603263659092
1997-04-28,1499.5915858812773
1997-04-29,1517.6244767341882
1997-04-30,1521.2243531983302
