Date,NORWAY IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1076.6487382490707
1995-01-31,1080.7998029217736
1995-02-28,1075.395549609051
1995-03-31,1081.0496400655695
1995-04-28,1159.8517061439177
1995-05-31,1212.169057547912
1995-06-30,1270.7119048403943
1995-07-31,1316.154381677079
1995-08-31,1259.294336036442
1995-09-29,1318.3552225268368
1995-10-31,1272.8952573846623
1995-11-30,1250.2106995145978
1995-12-29,1285.02178553032
1996-01-31,1269.8960231041945
1996-02-29,1341.6208304427496
1996-03-29,1339.5753449888682
1996-04-30,1379.8417562205789
1996-05-31,1407.6245741077391
1996-06-28,1415.6506927741764
1996-07-31,1398.132056950592
1996-08-30,1417.9185962067236
1996-09-30,1421.7639917008198
1996-10-31,1482.2653802333868
1996-11-29,1598.2340000576382
1996-12-31,1676.5988020703658
1997-01-01,1676.5988020703658
1997-01-02,1674.1490933288776
1997-01-03,1689.0488724445922
1997-01-06,1707.0917750969202
1997-01-07,1708.0860534207484
1997-01-08,1720.4828189997666
1997-01-09,1733.8340544492312
1997-01-10,1731.7296000062481
1997-01-13,1754.9901642296802
1997-01-14,1751.6082151093851
1997-01-15,1761.0826241838474
1997-01-16,1778.6473221065012
1997-01-17,1777.4579789218826
1997-01-20,1785.8182606005855
1997-01-21,1758.117399404148
1997-01-22,1743.584625695004
1997-01-23,1740.4001990174486
1997-01-24,1754.269538913071
1997-01-27,1753.388657030393
1997-01-28,1748.257584637411
1997-01-29,1744.2901677188263
1997-01-30,1763.2040014312677
1997-01-31,1783.3880001167524
1997-02-03,1795.4804841708362
1997-02-04,1810.3113252633723
1997-02-05,1801.5663570365614
1997-02-06,1803.1972177742339
1997-02-07,1791.7267953554895
1997-02-10,1787.6096190508376
1997-02-11,1757.9057008002642
1997-02-12,1771.7714947492861
1997-02-13,1776.9925498865223
1997-02-14,1785.2478496249344
1997-02-17,1781.0234859080074
1997-02-18,1803.4733122685227
1997-02-19,1824.5035075884755
1997-02-20,1816.7850503832794
1997-02-21,1826.8538401880105
1997-02-24,1794.7930234487937
1997-02-25,1792.3221997017474
1997-02-26,1757.8575430897904
1997-02-27,1738.8718686330917
1997-02-28,1722.6665722729874
1997-03-03,1684.5467712284276
