Date,HONG KONG IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,966.6158434912055
1995-01-31,867.1382018735534
1995-02-28,993.5806354958602
1995-03-31,1006.1137989068113
1995-04-28,983.1417686029802
1995-05-31,1113.2166716863492
1995-06-30,1111.891216016468
1995-07-31,1149.37575197169
1995-08-31,1107.669129993521
1995-09-29,1177.7937792386192
1995-10-31,1188.5536461519694
1995-11-30,1200.7116706150027
1995-12-29,1227.5767150443758
1996-01-31,1406.0376406263906
1996-02-29,1398.514845613331
1996-03-29,1383.1012618761577
1996-04-30,1403.433446346532
1996-05-31,1447.6804397608926
1996-06-28,1423.7605112004755
1996-07-31,1372.2207686674585
1996-08-30,1422.4796671052893
1996-09-30,1503.3092314055364
1996-10-31,1570.2915825522775
1996-11-29,1743.1186706432256
1996-12-31,1731.54178509194
1997-01-01,1731.9011175095045
1997-01-02,1710.1735544254693
1997-01-03,1712.0324910527777
1997-01-06,1737.0656422357072
1997-01-07,1739.6635659089688
1997-01-08,1743.1807030805787
1997-01-09,1713.2132140623546
1997-01-10,1708.198815371128
1997-01-13,1715.9138759635885
1997-01-14,1715.7636172912578
1997-01-15,1762.2720398091697
1997-01-16,1762.2393540750836
1997-01-17,1762.3475879381128
1997-01-20,1765.6960531305422
1997-01-21,1752.4635876623408
1997-01-22,1755.5250615132295
1997-01-23,1745.2304725017386
1997-01-24,1719.8040970014742
1997-01-27,1708.216672986402
1997-01-28,1721.579664904798
1997-01-29,1710.1217956192697
1997-01-30,1707.7856273822567
1997-01-31,1706.5496551643002
1997-02-03,1718.382188916232
1997-02-04,1725.5881126344366
1997-02-05,1737.0754999159096
1997-02-06,1737.1875765337504
1997-02-07,1737.6808855147337
1997-02-10,1729.6702183968105
1997-02-11,1709.6429726597971
1997-02-12,1710.396222817669
1997-02-13,1684.3947342548151
1997-02-14,1663.1223482413452
1997-02-17,1667.786314760561
1997-02-18,1655.289843999809
1997-02-19,1656.3533064588437
1997-02-20,1693.3041025356004
1997-02-21,1698.1925975414601
1997-02-24,1690.7665189296329
1997-02-25,1702.1030200124812
1997-02-26,1704.7158859736116
1997-02-27,1709.591070489485
1997-02-28,1695.1425604176989
1997-03-03,1709.3229379463191
1997-03-04,1707.2778434956397
1997-03-05,1699.8515683961457
1997-03-06,1696.49243706733
1997-03-07,1687.0573291116948
1997-03-10,1679.1108991676688
1997-03-11,1671.5869170371266
1997-03-12,1653.6742202022715
1997-03-13,1632.1394714774688
1997-03-14,1608.6261394972987
1997-03-17,1622.653828072003
1997-03-18,1610.1713102181448
1997-03-19,1599.322746611833
1997-03-20,1571.435295518161
1997-03-21,1575.35723478232
1997-03-24,1607.3209612489813
1997-03-25,1609.3461401644893
1997-03-26,1604.7690049373452
1997-03-27,1580.8488789319997
1997-03-28,1580.7876792541347
1997-03-31,1580.8488789319995
1997-04-01,1533.0303366035864
1997-04-02,1538.1501172956628
1997-04-03,1531.0960914325117
1997-04-04,1546.5312115543225
1997-04-07,1555.2234090481627
1997-04-08,1566.209852209717
1997-04-09,1569.170528683838
1997-04-10,1562.236000268277
1997-04-11,1574.3283640458305
1997-04-14,1553.7973225927983
1997-04-15,1551.6538756888542
1997-04-16,1574.055550820555
1997-04-17,1565.9454983817534
1997-04-18,1572.4891709192725
1997-04-21,1578.0220174574245
1997-04-22,1572.3721333596793
1997-04-23,1581.4304871025802
1997-04-24,1583.750864864509
1997-04-25,1576.0818434981193
1997-04-28,1573.0939480745124
1997-04-29,1574.5777377233037
1997-04-30,1602.2462015015394
1997-05-01,1626.4454915962071
1997-05-02,1632.5610833247326
1997-05-05,1667.125439440211
1997-05-06,1681.303854803982
1997-05-07,1681.3004945643247
1997-05-08,1690.3784004049676
1997-05-09,1705.2929458994906
1997-05-12,1710.2184658408034
1997-05-13,1710.3025530649634
1997-05-14,1730.0940511009364
1997-05-15,1726.2630679933181
1997-05-16,1725.1025934920283
1997-05-19,1736.3932145412048
1997-05-20,1747.3655664183439
1997-05-21,1748.4252484996343
1997-05-22,1749.5575536162817
1997-05-23,1760.177629625094
1997-05-26,1784.5562081261357
1997-05-27,1778.5264958758114
1997-05-28,1775.8467922798557
1997-05-29,1759.4843119923205
1997-05-30,1785.2939963062383
1997-06-02,1822.5710861190405
1997-06-03,1801.4348430163452
1997-06-04,1812.7040883700026
1997-06-05,1817.5823261592573
1997-06-06,1798.153391139652
1997-06-09,1798.153391139652
1997-06-10,1779.8474909510096
1997-06-11,1772.6911116156045
1997-06-12,1711.393320148763
1997-06-13,1729.4189054075966
1997-06-16,1762.457696379211
1997-06-17,1757.3457568919691
1997-06-18,1750.5121077249082
1997-06-19,1790.022208562743
1997-06-20,1854.740462584065
1997-06-23,1847.1779540757243
1997-06-24,1837.269041743536
1997-06-25,1853.1219668916494
1997-06-26,1862.4876667842148
1997-06-27,1863.7156583590972
1997-06-30,1864.004334257801
1997-07-01,1865.243676700999
1997-07-02,1864.882521994009
1997-07-03,1841.2876730242338
1997-07-04,1809.5701708647441
1997-07-07,1812.5604335437636
1997-07-08,1805.2333804556156
1997-07-09,1791.5250860431797
1997-07-10,1812.0023132076474
1997-07-11,1853.2678230631013
1997-07-14,1866.9663673117811
1997-07-15,1871.6619032777369
1997-07-16,1845.9533493577408
1997-07-17,1854.0516160073464
1997-07-18,1859.4561549858622
1997-07-21,1858.8476115038732
1997-07-22,1851.3143372583538
1997-07-23,1874.6672619807266
1997-07-24,1882.658419964767
1997-07-25,1881.3722347004077
1997-07-28,1889.2074205670287
1997-07-29,1891.9342879342355
1997-07-30,1916.8669455098893
1997-07-31,1959.0104548168617
1997-08-01,1969.790383199298
1997-08-04,1966.4420784274512
1997-08-05,1976.5710632742623
1997-08-06,2007.1121432033533
1997-08-07,2014.1203674580124
1997-08-08,2005.0778946477328
1997-08-11,1981.9510412493357
1997-08-12,1968.81532293277
1997-08-13,1976.9313753137935
1997-08-14,1978.5176398021522
1997-08-15,1942.1103060612088
1997-08-18,1944.0546743433397
1997-08-19,1874.1894085454928
1997-08-20,1929.5733544320242
1997-08-21,1910.4165740137485
1997-08-22,1892.2562307774356
1997-08-25,1916.026074686426
1997-08-26,1914.697713712774
1997-08-27,1919.2512744890691
1997-08-28,1846.6556774410749
1997-08-29,1770.3270563408769
1997-09-01,1701.6475654965216
1997-09-02,1704.9635422395268
1997-09-03,1811.132619635737
1997-09-04,1759.999320523909
1997-09-05,1795.166587084415
1997-09-08,1819.380110900474
1997-09-09,1851.2258024491498
1997-09-10,1833.4535591927543
1997-09-11,1789.1316986814497
1997-09-12,1807.1967360886874
1997-09-15,1826.976171105935
1997-09-16,1810.879078205539
1997-09-17,1810.738787890436
1997-09-18,1808.1083260100895
1997-09-19,1798.9392613601626
1997-09-22,1763.5065015652535
1997-09-23,1754.9900255840446
1997-09-24,1758.1551339417122
1997-09-25,1795.392363851674
1997-09-26,1793.7719939813917
1997-09-29,1795.3961627736765
1997-09-30,1805.5270948847615
1997-10-01,1805.8071192490568
1997-10-02,1805.7604424899162
1997-10-03,1804.4633162102139
1997-10-06,1772.9564370185649
1997-10-07,1774.6081842600167
1997-10-08,1777.6414073875446
1997-10-09,1727.7200557397994
1997-10-10,1727.6753898817365
1997-10-13,1698.8325969618631
1997-10-14,1675.097958229572
1997-10-15,1617.017286449797
1997-10-16,1634.2259592624498
1997-10-17,1638.6054965559974
1997-10-20,1574.3733777279338
1997-10-21,1495.0614888837113
1997-10-22,1396.2257879733331
1997-10-23,1262.3900453848437
1997-10-24,1326.988765439274
1997-10-27,1266.54492938593
1997-10-28,1125.6801350312805
1997-10-29,1267.0960666469261
1997-10-30,1235.6941676463068
1997-10-31,1263.6143277478266
1997-11-03,1330.4972135240976
1997-11-04,1289.1550537907797
1997-11-05,1271.2796580394386
1997-11-06,1243.5067473640302
1997-11-07,1203.15409614112
1997-11-10,1186.7712199567359
