Date,SPAIN IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,945.0763551117868
1995-01-31,935.1330948019108
1995-02-28,956.6658309760548
1995-03-31,939.0410236012634
1995-04-28,1009.0695239877939
1995-05-31,1053.755213753366
1995-06-30,1068.2164576719074
1995-07-31,1144.9541096628504
1995-08-31,1101.594270166078
1995-09-29,1103.864038778405
1995-10-31,1076.6586221473174
1995-11-30,1139.1248756570678
1995-12-29,1187.4680929186495
1996-01-31,1198.2899549888602
1996-02-29,1269.2125869048793
1996-03-29,1245.1073813577989
1996-04-30,1278.9099645533486
1996-05-31,1274.0979466924111
1996-06-28,1323.6029530332191
1996-07-31,1273.6228137869873
1996-08-30,1300.533590543196
1996-09-30,1320.5737633101146
1996-10-31,1366.857400320342
1996-11-29,1443.472245134307
1996-12-31,1589.5446301474856
1997-01-01,1589.5446301474856
1997-01-02,1555.1129441310363
1997-01-03,1575.3224192363043
1997-01-06,1570.9952277450677
1997-01-07,1578.4031243163213
1997-01-08,1590.710778163932
1997-01-09,1589.41315385977
1997-01-10,1599.3213662965902
1997-01-13,1620.2326706926535
1997-01-14,1614.183882045518
1997-01-15,1610.0643721035103
1997-01-16,1626.2669843704473
1997-01-17,1632.8907140683461
1997-01-20,1627.6823159279832
1997-01-21,1630.8620241747813
1997-01-22,1601.0961316949129
1997-01-23,1594.354286393537
1997-01-24,1569.8140208867687
1997-01-27,1542.4629406250144
1997-01-28,1550.2793731428067
1997-01-29,1535.9999738486654
1997-01-30,1538.879943625552
1997-01-31,1557.0111372500116
1997-02-03,1535.3586590607079
1997-02-04,1542.1630144093192
1997-02-05,1557.4966512130381
1997-02-06,1566.0484132350878
1997-02-07,1554.094034872132
1997-02-10,1570.1003383072293
1997-02-11,1549.0121716397186
1997-02-12,1540.7004101049622
1997-02-13,1543.9873646307494
1997-02-14,1554.854262525915
1997-02-17,1545.7904964084717
1997-02-18,1549.8609640969282
1997-02-19,1541.6878141753466
1997-02-20,1535.2672070471458
1997-02-21,1526.9363211717296
1997-02-24,1522.6940656953082
1997-02-25,1527.1955308606118
1997-02-26,1509.0912766417555
