Date,ITALY IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1007.9193518070398
1995-01-31,1076.1995406182555
1995-02-28,967.3900796265899
1995-03-31,899.1732968487787
1995-04-28,983.9284866953531
1995-05-31,995.791939107146
1995-06-30,967.3302442725818
1995-07-31,1052.012582825312
1995-08-31,1024.1073323185078
1995-09-29,992.415013735167
1995-10-31,945.9638083160186
1995-11-30,886.1610810309754
1995-12-29,954.825784127091
1996-01-31,1005.5846151845587
1996-02-29,1004.5857908991178
1996-03-29,953.7192118522394
1996-04-30,1088.1489006524253
1996-05-31,1129.1708269123951
1996-06-28,1125.5788190682385
1996-07-31,1039.1396507750603
1996-08-30,1033.8152372752766
1996-09-30,1091.3558176269105
1996-10-31,1046.8440329180828
1996-11-29,1155.4029262204185
1996-12-31,1165.5122094393437
1997-01-01,1165.5122094393437
1997-01-02,1160.2081035899496
1997-01-03,1158.3039706353072
1997-01-06,1153.4888030487884
1997-01-07,1157.295217570614
1997-01-08,1169.146496047305
1997-01-09,1206.1479684939443
1997-01-10,1238.5371813303288
1997-01-13,1266.453956870076
1997-01-14,1308.5266736726255
1997-01-15,1297.829050272502
1997-01-16,1316.7932597657812
1997-01-17,1323.6341064959686
1997-01-20,1321.5518629241224
1997-01-21,1302.6117408309738
1997-01-22,1312.4447651755029
1997-01-23,1324.765757462387
1997-01-24,1320.5061917769556
1997-01-27,1304.2161126329936
1997-01-28,1300.057457197248
1997-01-29,1277.0403633864455
1997-01-30,1285.2855473254594
1997-01-31,1302.131888598824
1997-02-03,1278.7489804534384
1997-02-04,1293.8524460446572
1997-02-05,1316.2955583052633
1997-02-06,1305.9663728701216
1997-02-07,1318.9578105365463
1997-02-10,1320.7317637809938
1997-02-11,1298.329495156067
1997-02-12,1283.0364333100028
1997-02-13,1278.152427784283
1997-02-14,1275.7209162864478
1997-02-17,1247.474681956129
1997-02-18,1233.638565448467
1997-02-19,1220.5593398065805
1997-02-20,1250.2804145035523
1997-02-21,1257.3811460103473
1997-02-24,1257.0795785071305
1997-02-25,1249.8964252134224
1997-02-26,1213.6351881676035
1997-02-27,1197.2832090018956
1997-02-28,1173.4922863262357
1997-03-03,1189.878212393762
1997-03-04,1198.126070800171
1997-03-05,1190.5499479941418
1997-03-06,1203.2012273074959
1997-03-07,1219.8200554059847
1997-03-10,1217.2655436346854
1997-03-11,1210.972667805203
1997-03-12,1188.6950259597768
1997-03-13,1193.2052859696794
1997-03-14,1202.680107677753
1997-03-17,1174.9536559109465
1997-03-18,1157.0094997894164
1997-03-19,1172.6377512269178
1997-03-20,1168.976967620455
1997-03-21,1177.9972896563058
1997-03-24,1162.8431390743567
1997-03-25,1178.429370775552
1997-03-26,1196.03485705121
1997-03-27,1206.722946277617
