Date,USA IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1014.370957861764
1995-01-31,1037.88832893954
1995-02-28,1084.3684852979409
1995-03-31,1108.0610108336543
1995-04-28,1140.482088048015
1995-05-31,1186.157198600295
1995-06-30,1217.8956198984718
1995-07-31,1264.7410036587785
1995-08-31,1281.852500532355
1995-09-29,1327.883769941363
1995-10-31,1305.425505779915
1995-11-30,1365.2193263547535
1995-12-29,1390.8157059963266
1996-01-31,1428.4398849536449
1996-02-29,1449.4004083654763
1996-03-29,1475.189269136459
1996-04-30,1501.2043129331742
1996-05-31,1535.3959176351655
1996-06-28,1526.830952945378
1996-07-31,1454.7093182686508
1996-08-30,1499.3508941590326
1996-09-30,1565.2052090116572
1996-10-31,1604.2089139910618
1996-11-29,1716.5947827500438
1996-12-31,1704.4076392932789
1997-01-01,1704.4071822878514
1997-01-02,1694.6668594707098
1997-01-03,1713.73021046596
1997-01-06,1714.3642772237347
1997-01-07,1724.1990522461151
1997-01-08,1719.427890167012
1997-01-09,1731.8466952853742
1997-01-10,1739.442340099319
1997-01-13,1738.9266216572155
1997-01-14,1757.4309581119487
1997-01-15,1755.2328293972691
1997-01-16,1757.5129020665809
1997-01-17,1768.3329585431018
1997-01-20,1771.8139675365603
1997-01-21,1781.5894947843128
1997-01-22,1787.7898949072435
1997-01-23,1775.1037220671728
1997-01-24,1760.450791667254
1997-01-27,1750.2247857639666
1997-01-28,1748.7620187587067
1997-01-29,1760.1719816242326
1997-01-30,1778.4598594098072
1997-01-31,1781.7713837070248
1997-02-03,1782.5651526125873
1997-02-04,1786.4212563995432
1997-02-05,1768.5099830163751
1997-02-06,1772.3956874057005
1997-02-07,1787.9086793967112
1997-02-10,1782.2548356095692
1997-02-11,1788.5920389949806
1997-02-12,1811.7561590023129
1997-02-13,1829.9328886446813
1997-02-14,1827.8685148007319
1997-02-17,1827.8685148007319
1997-02-18,1842.297500824236
1997-02-19,1836.2777846790407
1997-02-20,1818.741613053287
1997-02-21,1818.0768559679436
1997-02-24,1832.6529272219434
1997-02-25,1838.4971995634824
1997-02-26,1825.6427245616285
1997-02-27,1806.3637587543703
1997-02-28,1799.334224912786
1997-03-03,1806.5880733542845
1997-03-04,1801.4026429495855
1997-03-05,1818.7324228335185
1997-03-06,1816.8968621779177
1997-03-07,1831.0040162757953
1997-03-10,1845.8879170913035
1997-03-11,1842.9255974975038
1997-03-12,1831.1795545740524
1997-03-13,1799.6853906784572
1997-03-14,1807.7561044134293
1997-03-17,1805.955391048723
1997-03-18,1792.4271410472295
1997-03-19,1784.565359199517
1997-03-20,1779.7449505450859
1997-03-21,1782.720494915518
1997-03-24,1794.8569291864883
1997-03-25,1793.2991582383079
1997-03-26,1793.2027348585102
1997-03-27,1760.9404311677638
1997-03-28,1760.9404311677638
1997-03-31,1727.6141708710545
1997-04-01,1730.5156516427933
1997-04-02,1711.364140994542
1997-04-03,1707.5493751761344
1997-04-04,1720.9255826470649
1997-04-07,1735.5102267218958
1997-04-08,1743.5136997701159
1997-04-09,1735.828039034828
1997-04-10,1730.6890812627314
1997-04-11,1691.4154460930524
1997-04-14,1697.244049791953
1997-04-15,1718.8860286711467
1997-04-16,1734.2712942115068
1997-04-17,1733.2925036394251
1997-04-18,1739.7667077657734
1997-04-21,1723.9455394213858
1997-04-22,1744.447885812484
1997-04-23,1741.5860628478579
1997-04-24,1736.9089671709833
1997-04-25,1723.8316108698377
1997-04-28,1738.6776828023515
1997-04-29,1778.407430288764
1997-04-30,1791.9839353244156
1997-05-01,1790.3601168371492
1997-05-02,1821.9811403732513
1997-05-05,1856.6763805908045
1997-05-06,1855.428724049888
1997-05-07,1833.1491326549049
1997-05-08,1842.153003362593
1997-05-09,1851.5101037911666
1997-05-12,1874.7254208492104
1997-05-13,1866.083499283021
1997-05-14,1874.2631011690125
1997-05-15,1881.859460468962
1997-05-16,1865.1696222921657
1997-05-19,1870.6663424953774
1997-05-20,1885.5806080361751
1997-05-21,1881.4840269868994
1997-05-22,1878.9449076917701
1997-05-23,1900.9823827388752
1997-05-26,1900.9823827388752
1997-05-27,1902.8997621776823
1997-05-28,1901.304914205463
1997-05-29,1897.9938610106387
1997-05-30,1911.3568455386178
1997-06-02,1910.372418334589
1997-06-03,1913.1555987244872
1997-06-04,1905.9607166475525
1997-06-05,1914.3368003999894
1997-06-06,1937.1505626379148
1997-06-09,1944.9165970639285
1997-06-10,1951.3151809875721
1997-06-11,1959.5238042438298
1997-06-12,1984.3735911008316
1997-06-13,2001.190162660134
1997-06-16,2002.517202586036
1997-06-17,2003.0263806926048
1997-06-18,2000.4186603351204
1997-06-19,2015.6365541994846
1997-06-20,2014.4306053079572
1997-06-23,1979.5753703899582
1997-06-24,2008.5350004632612
1997-06-25,1995.0688365895858
1997-06-26,1986.5706360370496
1997-06-27,1994.771832453076
1997-06-30,1993.612906156955
1997-07-01,2007.185950617716
1997-07-02,2029.2922675779932
1997-07-03,2051.8998551400587
1997-07-04,2051.8998551400587
1997-07-07,2045.4869138684753
