Date,FRANCE IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,971.1128253439574
1995-01-31,931.2733698092536
1995-02-28,944.8106671825128
1995-03-31,1028.2861341286937
1995-04-28,1035.0178732969634
1995-05-31,1056.0788709501337
1995-06-30,1054.2860429384557
1995-07-31,1086.2995566899167
1995-08-31,1017.2994511047202
1995-09-29,1009.8503643333524
1995-10-31,1007.8694526129947
1995-11-30,1005.5259539264167
1995-12-29,1029.1473743802192
1996-01-31,1056.8884726996973
1996-02-29,1093.0207724484
1996-03-29,1119.9031559540103
1996-04-30,1132.6410143534338
1996-05-31,1130.3832903873233
1996-06-28,1140.1898406752919
1996-07-31,1122.6812243118263
1996-08-30,1104.1253876696142
1996-09-30,1132.1000175704633
1996-10-31,1153.14700883813
1996-11-29,1207.612180898114
1996-12-31,1227.516774452378
1997-01-01,1227.516774452378
1997-01-02,1213.1744154282392
1997-01-03,1209.1206467977145
1997-01-06,1210.5864040031377
1997-01-07,1213.189190711125
1997-01-08,1215.154070062569
1997-01-09,1219.4120000780217
1997-01-10,1207.5982500142131
1997-01-13,1218.1087971715979
1997-01-14,1228.977913207211
1997-01-15,1234.8767573253133
1997-01-16,1241.4806289383584
1997-01-17,1234.7765268021471
1997-01-20,1223.3484737295548
1997-01-21,1222.3705925016245
1997-01-22,1220.5541162448844
1997-01-23,1232.0976332419327
1997-01-24,1232.4330164530552
1997-01-27,1229.631015039003
1997-01-28,1235.953048456807
1997-01-29,1237.8263158461452
1997-01-30,1254.6673398115397
1997-01-31,1260.3225978503933
1997-02-03,1254.2724286196096
1997-02-04,1253.4962960926039
1997-02-05,1262.025900416398
1997-02-06,1268.3574124848196
1997-02-07,1266.9765851516186
1997-02-10,1277.0962304210384
1997-02-11,1265.6945924780455
1997-02-12,1265.7015416721629
1997-02-13,1274.2025312281505
1997-02-14,1273.3982012159065
1997-02-17,1263.7993965211977
1997-02-18,1265.154445321836
1997-02-19,1256.0995543738643
1997-02-20,1253.5612828823685
1997-02-21,1256.6189991443948
1997-02-24,1274.0588099831982
1997-02-25,1285.6915895134327
1997-02-26,1274.1031388564952
1997-02-27,1280.4215144315933
1997-02-28,1275.2079896893704
1997-03-03,1271.0314354073914
