Date,JAPAN IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1018.5768735836729
1995-01-31,964.5282976296048
1995-02-28,907.0482619379299
1995-03-31,992.0612083348934
1995-04-28,1028.1103494716717
1995-05-31,960.7079387728336
1995-06-30,923.4958596841853
1995-07-31,985.4848745349481
1995-08-31,955.8080785026963
1995-09-29,955.6694804837081
1995-10-31,907.4107880203669
1995-11-30,951.5161478904826
1995-12-29,1000.3602191139679
1996-01-31,994.0901548435096
1996-02-29,982.2061361707881
1996-03-29,1012.7941889723076
1996-04-30,1088.1237512820244
1996-05-31,1038.0510853468652
1996-06-28,1044.581010195564
1996-07-31,998.912321416657
1996-08-30,958.0313711533068
1996-09-30,980.1449972536069
1996-10-31,916.5361850236858
1996-11-29,919.2332422318987
1996-12-31,854.9140734248258
1997-01-01,854.9140734248258
1997-01-02,857.6850901285235
1997-01-03,853.9576291086016
1997-01-06,863.7007439485433
1997-01-07,853.8628879129232
1997-01-08,839.4468844816988
1997-01-09,817.0291663812724
1997-01-10,790.5264003110641
1997-01-13,807.7509824106406
1997-01-14,805.9276041499458
1997-01-15,804.0662304841154
1997-01-16,813.8626149515097
1997-01-17,807.9637783968936
1997-01-20,788.7597685595342
1997-01-21,784.1324977115323
1997-01-22,791.0413354563677
1997-01-23,783.1372355986853
1997-01-24,778.9030303334652
1997-01-27,764.4529049490418
1997-01-28,762.6648223528982
1997-01-29,765.8346016531608
1997-01-30,756.9711549130552
1997-01-31,772.3961271734582
1997-02-03,768.031998816761
1997-02-04,770.0285906547751
1997-02-05,752.4157026799087
1997-02-06,747.990960603389
1997-02-07,736.368586999514
1997-02-10,752.9491240772833
1997-02-11,751.4509993451805
1997-02-12,751.7792888513916
1997-02-13,752.8363467379857
1997-02-14,758.4817555592907
1997-02-17,759.0402661984707
1997-02-18,755.0568346424554
1997-02-19,754.1761789511842
1997-02-20,773.4590569010742
1997-02-21,778.4798089945107
1997-02-24,782.4011120726252
1997-02-25,784.3613301664742
1997-02-26,780.506265672963
1997-02-27,786.7969911141456
1997-02-28,777.9754704403562
1997-03-03,772.3103328354472
1997-03-04,769.403742668165
1997-03-05,763.8885212917016
1997-03-06,754.1087537734446
1997-03-07,754.4382121029427
1997-03-10,754.5559514057607
1997-03-11,756.3368572760734
1997-03-12,750.2548388875331
1997-03-13,742.0196420488845
1997-03-14,739.5400465376774
1997-03-17,740.9572876589772
1997-03-18,755.4059821939245
1997-03-19,755.0677376008638
1997-03-20,750.871219435719
1997-03-21,762.6675792824658
1997-03-24,752.1505835747469
1997-03-25,753.6535846660597
1997-03-26,756.9618429126857
1997-03-27,754.2141486879287
1997-03-28,752.0197989583124
1997-03-31,750.8529097175374
1997-04-01,749.8981835323954
1997-04-02,759.2499798216735
1997-04-03,758.663749299241
1997-04-04,744.9183738435433
1997-04-07,727.0624926551774
1997-04-08,728.241326996939
1997-04-09,716.3554029323129
1997-04-10,708.1069203745736
1997-04-11,713.9027122539941
1997-04-14,708.5335573827889
1997-04-15,713.9621199445996
1997-04-16,722.9553121747327
1997-04-17,727.2328315644622
1997-04-18,737.7035914068382
1997-04-21,750.360850080109
1997-04-22,747.8834062078326
1997-04-23,755.8072499852071
1997-04-24,755.3597961896526
1997-04-25,752.6555892765771
1997-04-28,749.1311172229225
1997-04-29,748.0564380576243
1997-04-30,761.2653850015103
1997-05-01,772.8913286678952
1997-05-02,776.4354853831404
1997-05-05,776.2596392606064
1997-05-06,805.7694727454254
1997-05-07,805.6528584014171
1997-05-08,809.85877715068
1997-05-09,815.6321578419614
1997-05-12,843.9491477686798
1997-05-13,843.7085025436518
1997-05-14,850.7095588416447
1997-05-15,860.6069312149396
1997-05-16,874.7534851903741
1997-05-19,873.2348243397588
1997-05-20,890.1015938826955
1997-05-21,871.7769097011693
1997-05-22,858.8640329034507
1997-05-23,868.4440644068
1997-05-26,862.8204591338979
1997-05-27,857.0218566306617
1997-05-28,876.4589364064753
