Date,MSCI ACWI ex USA Small Cap Momentum Index
1997-01-01,1095.6776105252527
1997-01-02,1090.2546973014603
1997-01-03,1091.7454755066956
1997-01-06,1096.1881971453674
1997-01-07,1103.258517155969
1997-01-08,1106.2812208695398
1997-01-09,1109.756627303465
1997-01-10,1108.9827584015802
1997-01-13,1115.2565488631665
1997-01-14,1118.2563050980857
1997-01-15,1126.2394869067623
1997-01-16,1132.8999481840906
1997-01-17,1131.4886015018267
1997-01-20,1133.9105049603188
1997-01-21,1129.6669454124121
1997-01-22,1127.4866034772435
1997-01-23,1121.4422970266844
1997-01-24,1121.4929882065212
1997-01-27,1117.0970136480216
1997-01-28,1111.9311090172341
1997-01-29,1112.820744818278
1997-01-30,1118.5456976985665
1997-01-31,1126.5389914807429
1997-02-03,1130.1690579198323
1997-02-04,1133.2561565250467
1997-02-05,1135.7059057317301
1997-02-06,1137.2377568844574
1997-02-07,1133.7492493150312
1997-02-10,1141.7446280582
1997-02-11,1138.4130612328045
1997-02-12,1138.5216016887834
1997-02-13,1139.9042085874883
1997-02-14,1141.5283357583464
1997-02-17,1141.9490009082074
1997-02-18,1142.3422565312158
1997-02-19,1145.4921833980923
1997-02-20,1147.3876582014257
1997-02-21,1151.5286163641279
1997-02-24,1157.7196461982712
1997-02-25,1160.6000326646097
1997-02-26,1154.7971927104118
1997-02-27,1153.0073621926776
1997-02-28,1153.7448606884652
1997-03-03,1148.9008921577524
1997-03-04,1148.8881017235974
1997-03-05,1151.2885567681246
1997-03-06,1156.7871253645865
1997-03-07,1159.11481918285
1997-03-10,1167.0059036155708
1997-03-11,1171.1472543799723
1997-03-12,1168.2153754654385
1997-03-13,1164.1468999528458
1997-03-14,1161.120205349751
1997-03-17,1161.0287663103102
1997-03-18,1156.4027118859028
1997-03-19,1151.962010165984
1997-03-20,1139.9570543751718
1997-03-21,1142.6454750050775
1997-03-24,1141.16079123535
1997-03-25,1145.0468153612605
1997-03-26,1149.2547891736242
1997-03-27,1153.5439395641354
1997-03-28,1155.0551275179212
1997-03-31,1153.7559299767433
1997-04-01,1136.0119973199105
1997-04-02,1133.8552307249865
1997-04-03,1130.6269176085746
1997-04-04,1129.3793247569588
1997-04-07,1125.1783234672907
1997-04-08,1127.5071342376687
1997-04-09,1128.9169278604425
1997-04-10,1128.0233620913177
1997-04-11,1126.9268728174966
1997-04-14,1118.7425329410873
1997-04-15,1119.6781716885785
1997-04-16,1122.237367698776
1997-04-17,1124.7499545061844
1997-04-18,1127.7374358346926
1997-04-21,1134.6457823114317
1997-04-22,1131.867102218062
1997-04-23,1135.0709700798584
1997-04-24,1134.416739608729
1997-04-25,1129.8824609749709
1997-04-28,1127.9958789659536
1997-04-29,1130.4367458506651
1997-04-30,1132.509034021289
1997-05-01,1138.4752505651866
1997-05-02,1138.5737462430732
1997-05-05,1142.2923292308135
1997-05-06,1149.7423012034237
1997-05-07,1152.568846215168
1997-05-08,1154.0641290515102
1997-05-09,1160.8877845994707
1997-05-12,1161.7330981864975
1997-05-13,1166.4009936210953
1997-05-14,1170.2776899498701
1997-05-15,1171.9910010494434
1997-05-16,1178.0349319327818
1997-05-19,1174.675061053953
1997-05-20,1179.5327343117244
1997-05-21,1185.938980188246
1997-05-22,1186.4124532764731
1997-05-23,1190.168528007351
1997-05-26,1193.6975315495774
1997-05-27,1188.8170520692652
1997-05-28,1189.0325584991467
1997-05-29,1187.7556603171488
1997-05-30,1185.0721416643912
1997-06-02,1181.7389228934298
1997-06-03,1186.7182112648266
1997-06-04,1188.0628723406849
1997-06-05,1192.9628424359137
1997-06-06,1195.8792222454058
1997-06-09,1206.0378401016433
1997-06-10,1202.9015622928728
1997-06-11,1205.1819379909691
1997-06-12,1204.2831339694055
1997-06-13,1202.9068173687251
1997-06-16,1208.7733374059264
1997-06-17,1204.2466265168134
1997-06-18,1204.7412150896996
1997-06-19,1208.7925304259334
1997-06-20,1208.2456588184443
1997-06-23,1212.4439601531471
1997-06-24,1212.5624968687594
1997-06-25,1221.6279441419624
1997-06-26,1221.84001148846
1997-06-27,1218.9985231417722
1997-06-30,1220.597809112396
1997-07-01,1225.2149298968382
1997-07-02,1224.6190589923135
1997-07-03,1237.3219009796778
1997-07-04,1238.5715077895932
1997-07-07,1245.806341443778
1997-07-08,1242.6816898462664
1997-07-09,1244.6973561385237
1997-07-10,1246.8072286906215
1997-07-11,1249.3007672285496
1997-07-14,1248.5094554648545
1997-07-15,1242.771755180531
1997-07-16,1247.284427197123
1997-07-17,1251.5889300237086
1997-07-18,1248.280004394047
1997-07-21,1239.3334664326185
1997-07-22,1236.9968975482786
1997-07-23,1239.2017943260173
1997-07-24,1236.2210796274458
1997-07-25,1236.3895272145526
1997-07-28,1235.2376183846682
1997-07-29,1238.5992961838188
1997-07-30,1240.653436358124
1997-07-31,1248.136359545832
1997-08-01,1243.4068670291497
1997-08-04,1237.0107917447294
1997-08-05,1233.6015530364723
1997-08-06,1238.8259724269215
1997-08-07,1242.9104644108302
1997-08-08,1247.2252566048676
1997-08-11,1241.4815317948219
1997-08-12,1241.196495876415
1997-08-13,1244.420168607902
1997-08-14,1241.8362155000805
1997-08-15,1249.7135643864483
1997-08-18,1232.43904724523
1997-08-19,1232.3371834231616
1997-08-20,1238.5211703175498
1997-08-21,1244.882096163525
1997-08-22,1244.9060073994074
1997-08-25,1245.0274608997727
1997-08-26,1245.7395697240534
1997-08-27,1238.5505792422061
1997-08-28,1237.5308966792209
1997-08-29,1228.4401888073369
1997-09-01,1217.4054257004498
1997-09-02,1206.4394410338764
