Date,KOREA IMI VALUE WEIGHTED
1998-12-31,1000.0000000000001
1999-01-01,1000.0000000000001
1999-01-04,1065.401101318757
1999-01-05,1107.8196671934136
1999-01-06,1156.2038707449226
1999-01-07,1214.3441196807516
1999-01-08,1196.9385343121462
1999-01-11,1227.0254241241892
1999-01-12,1208.6186994931873
1999-01-13,1198.2342943424526
1999-01-14,1140.7362139809243
1999-01-15,1169.9026801423374
1999-01-18,1179.7172915938122
1999-01-19,1178.1612550068087
1999-01-20,1177.2147230355783
1999-01-21,1103.688214641381
1999-01-22,1033.2013114911215
1999-01-25,1009.5293735821062
1999-01-26,990.362308332411
1999-01-27,1061.0410207160141
1999-01-28,1079.5953650036747
1999-01-29,1088.5835946157783
1999-02-01,1109.9509848820176
1999-02-02,1083.0853634405307
1999-02-03,1058.9003561889542
1999-02-04,1049.880194258357
1999-02-05,1053.3425194265435
1999-02-08,1040.8212843495783
1999-02-09,985.3348885335588
1999-02-10,990.1417746487318
1999-02-11,989.3271369111903
1999-02-12,1048.31843568357
1999-02-15,1052.1902120446134
1999-02-16,1058.0026348457263
1999-02-17,1053.0107235444868
1999-02-18,1019.4640152855923
1999-02-19,987.73960534078
1999-02-22,960.8314029597549
1999-02-23,961.8331452051865
1999-02-24,949.7717776767009
1999-02-25,935.1978274880446
1999-02-26,984.1246001883984
1999-03-01,991.7326070354642
1999-03-02,1016.8065739538841
1999-03-03,1012.0708348317328
1999-03-04,1003.8692645315563
1999-03-05,1013.7965566223896
1999-03-08,1087.5466658052967
1999-03-09,1093.1315572028657
1999-03-10,1089.8629332690916
1999-03-11,1126.7409620709784
1999-03-12,1130.5666176177037
1999-03-15,1136.5755441491206
1999-03-16,1166.7713818673506
1999-03-17,1155.4544544391206
1999-03-18,1113.0479203093512
1999-03-19,1182.7094834749403
1999-03-22,1187.0651320681627
1999-03-23,1200.412304156011
1999-03-24,1202.2296360836062
1999-03-25,1207.8920011739974
1999-03-26,1221.041929779673
1999-03-29,1197.3120879162673
1999-03-30,1234.0477832325487
1999-03-31,1231.2860161725675
1999-04-01,1273.546663941159
1999-04-02,1307.168814880399
1999-04-05,1313.481969797658
1999-04-06,1368.3849422384656
1999-04-07,1373.9984374282762
1999-04-08,1388.2750179249363
1999-04-09,1420.9921642137797
1999-04-12,1415.2570424846435
1999-04-13,1422.100592274229
1999-04-14,1418.4728829799965
1999-04-15,1500.673231249042
1999-04-16,1495.643535116774
1999-04-19,1608.199069873609
1999-04-20,1639.4824703577588
1999-04-21,1600.7889219163535
1999-04-22,1594.6569103885836
1999-04-23,1620.4443095397041
1999-04-26,1696.436370615016
1999-04-27,1752.4940732780008
1999-04-28,1741.6633355754568
1999-04-29,1655.313725444863
1999-04-30,1656.3396507451662
1999-05-03,1666.1242748420912
1999-05-04,1670.8789855528544
1999-05-05,1658.1940169828295
1999-05-06,1716.5074734232019
1999-05-07,1736.0890955303023
1999-05-10,1747.2688367140422
1999-05-11,1680.2676255098932
1999-05-12,1667.1329666003285
1999-05-13,1607.7791946161071
1999-05-14,1583.7057537703263
1999-05-17,1529.9234116579753
1999-05-18,1577.0171630197488
1999-05-19,1581.3715665702607
1999-05-20,1517.8032698342386
1999-05-21,1539.3662589310961
1999-05-24,1504.7312694412328
1999-05-25,1517.529731447927
1999-05-26,1586.5432369290388
1999-05-27,1606.8152395206832
1999-05-28,1622.4256781884988
1999-05-31,1621.3298599727834
1999-06-01,1649.0243706834726
1999-06-02,1707.8297082068027
1999-06-03,1725.3610612011873
1999-06-04,1778.5421510718734
1999-06-07,1875.0190025142267
1999-06-08,1890.894211899492
1999-06-09,1794.5929339515862
1999-06-10,1901.2289264155827
1999-06-11,1898.6430403777588
1999-06-14,1858.731424753342
1999-06-15,1814.233863175122
1999-06-16,1892.4633113908803
1999-06-17,1892.4567290944756
1999-06-18,1900.5684706557256
1999-06-21,1987.7707877293378
1999-06-22,2023.8142200673092
1999-06-23,2044.2899167210953
1999-06-24,2025.076571365913
1999-06-25,2019.0213147618358
1999-06-28,2070.3460453542752
1999-06-29,2062.6485427423195
1999-06-30,2034.6832525757156
1999-07-01,2120.026751325008
1999-07-02,2163.4220671986504
1999-07-05,2218.1336243743817
1999-07-06,2266.3969294600474
1999-07-07,2315.226479708359
1999-07-08,2307.4311045012714
1999-07-09,2360.4691666866697
1999-07-12,2345.7420139962087
1999-07-13,2298.456551685861
1999-07-14,2203.159493035876
1999-07-15,2250.618001989601
1999-07-16,2338.8234595888844
1999-07-19,2357.9424137851815
1999-07-20,2227.5101213272455
1999-07-21,2108.9347901507354
1999-07-22,2124.1735265713214
1999-07-23,1964.003365302257
1999-07-26,1841.5014286761464
1999-07-27,1975.5118246644622
1999-07-28,2010.0604028201928
1999-07-29,2097.395632658671
1999-07-30,2050.3000461157485
1999-08-02,2053.47774771001
1999-08-03,2082.780320382233
1999-08-04,2071.49208602601
1999-08-05,1981.0099379557885
1999-08-06,1988.4159820573311
1999-08-09,2022.3317750905546
1999-08-10,2049.66347944209
1999-08-11,2012.6631862049487
1999-08-12,2015.833896143651
1999-08-13,1962.3119666908697
1999-08-16,1953.3057332815986
1999-08-17,1887.7391102011347
1999-08-18,1870.6306092510565
1999-08-19,1874.8359563229237
1999-08-20,1884.7064799540804
1999-08-23,1986.0109867473955
1999-08-24,2019.9576357577293
1999-08-25,2110.5414160157134
1999-08-26,2114.9565239107706
1999-08-27,2122.080385431998
1999-08-30,2082.3596126002885
1999-08-31,2064.8012767050486
1999-09-01,1981.0110524326583
1999-09-02,1934.5989480282092
1999-09-03,1974.8491658467015
1999-09-06,2040.5859285185697
1999-09-07,2049.0831587231064
1999-09-08,2026.2378223358585
1999-09-09,2061.62634911233
1999-09-10,2102.3179555429965
1999-09-13,2160.9650756407727
1999-09-14,2126.9913073604075
1999-09-15,2094.1029125971395
1999-09-16,2005.1330510286864
1999-09-17,2018.216116238191
1999-09-20,2033.5137303355814
1999-09-21,2074.3180645075954
1999-09-22,2018.9036050289508
1999-09-23,2031.9002874135067
1999-09-24,2019.9923333086422
1999-09-27,1944.1726948587632
1999-09-28,1909.1549725046384
1999-09-29,1814.6188849374373
1999-09-30,1729.805128131913
1999-10-01,1732.4261135125394
1999-10-04,1695.9985996708647
1999-10-05,1642.4525987445581
1999-10-06,1734.3072172198717
1999-10-07,1769.580009943725
1999-10-08,1754.6922550895792
1999-10-11,1741.94274453958
1999-10-12,1776.5427976772376
1999-10-13,1765.9007591827924
1999-10-14,1768.0904660760098
1999-10-15,1745.703156069503
1999-10-18,1673.6961763181216
1999-10-19,1651.31808732536
1999-10-20,1691.7902910780556
1999-10-21,1658.5878472260165
1999-10-22,1675.4540031528702
1999-10-25,1629.0144631067485
1999-10-26,1639.6604567118097
1999-10-27,1642.8547393537026
1999-10-28,1700.8176867811057
1999-10-29,1726.90733613564
1999-11-01,1823.4622349427787
1999-11-02,1864.9489715183468
1999-11-03,1852.9136793448138
1999-11-04,1919.5229827702638
1999-11-05,1931.4674228131985
1999-11-08,1933.1894375976904
1999-11-09,1994.9589019048406
1999-11-10,1970.5599293393334
1999-11-11,1994.5404698319771
1999-11-12,2053.7643668552105
1999-11-15,2033.3705541841
1999-11-16,2081.353586056403
1999-11-17,1985.6243667282508
1999-11-18,2018.7623836565738
1999-11-19,2069.601517354435
1999-11-22,2034.7009749694898
1999-11-23,2033.9596468373927
1999-11-24,2056.7858715450593
1999-11-25,2051.207698479639
1999-11-26,2008.622047406918
1999-11-29,2065.249237409591
1999-11-30,2120.176419201758
1999-12-01,2118.0895277296245
1999-12-02,2098.5770558645268
1999-12-03,2094.9159278454717
1999-12-06,2075.8645672818625
1999-12-07,2034.4192751625274
1999-12-08,2039.0947198666831
1999-12-09,2017.845869540557
1999-12-10,2122.240234176883
1999-12-13,2145.920206646408
1999-12-14,2142.4756818479686
1999-12-15,2077.7748944391014
1999-12-16,2042.7110556182006
1999-12-17,2030.8938948837267
1999-12-20,2022.6593281047137
1999-12-21,1958.5058087013426
1999-12-22,1959.1170232635643
1999-12-23,1913.0233957176222
1999-12-24,1938.232408137501
1999-12-27,1933.7610066662508
1999-12-28,1973.32342747055
1999-12-29,1979.8279147090268
1999-12-30,2000.4868491717377
1999-12-31,2001.5383981400662
2000-01-03,1987.1359305657513
2000-01-04,2080.6474556721573
2000-01-05,1972.8067212965684
2000-01-06,1877.3005696786959
2000-01-07,1909.9725171466102
2000-01-10,1969.3867351746583
2000-01-11,1934.811364126618
2000-01-12,1909.2536520231947
2000-01-13,1911.7020844037095
2000-01-14,1943.7145325604345
2000-01-17,2004.9881707020022
2000-01-18,1960.6338502913297
2000-01-19,1845.7618654964067
2000-01-20,1872.8002289266728
2000-01-21,1850.1261043735806
2000-01-24,1879.671671880567
2000-01-25,1810.9137578761433
2000-01-26,1818.7699710502043
2000-01-27,1910.4763354957392
2000-01-28,1969.7492402941562
2000-01-31,1976.131188900938
2000-02-01,1966.9773898104856
2000-02-02,2002.586455535944
2000-02-03,1992.8634484962708
2000-02-04,2002.6994319850762
2000-02-07,2015.8554764984399
2000-02-08,1968.773306958809
2000-02-09,1961.1095937337711
2000-02-10,1919.452622412372
2000-02-11,1895.22918830008
2000-02-14,1795.691983570209
2000-02-15,1739.03162451709
2000-02-16,1749.7829878273114
2000-02-17,1778.9124466869407
2000-02-18,1736.357239629846
2000-02-21,1640.537058226749
2000-02-22,1595.2055861455694
2000-02-23,1689.0163058171572
2000-02-24,1653.906057695692
2000-02-25,1696.8645535150479
2000-02-28,1651.9727799314978
2000-02-29,1680.8256681455287
2000-03-01,1676.1381125691466
2000-03-02,1780.0758784068905
2000-03-03,1767.0870843441774
2000-03-06,1825.492100764394
2000-03-07,1841.0178380548946
2000-03-08,1848.121578396064
2000-03-09,1776.9301535857778
2000-03-10,1802.1937478224947
2000-03-13,1746.1403491883013
2000-03-14,1740.6032319601504
2000-03-15,1716.8678226227776
2000-03-16,1718.5059975936297
2000-03-17,1758.228821590141
2000-03-20,1752.4896258322583
2000-03-21,1762.8477520950294
2000-03-22,1823.5692949087108
2000-03-23,1775.0999574466202
2000-03-24,1808.9384175899208
2000-03-27,1807.330969800882
2000-03-28,1822.3303776834234
2000-03-29,1866.953868222158
2000-03-30,1847.4297950538892
