Date,SAUDI ARABIA IMI VALUE WEIGHTED
2015-05-29,1000.0
2015-06-01,1001.3358179547836
2015-06-02,982.3600408574688
2015-06-03,966.2125137126818
2015-06-04,962.7895656254324
2015-06-05,977.739041305741
2015-06-08,956.151678146532
2015-06-09,950.9921555599476
2015-06-10,952.503143114708
2015-06-11,953.792956616497
2015-06-12,950.9151147986008
2015-06-15,957.9538921837253
2015-06-16,956.7610809989142
2015-06-17,956.6869169895625
2015-06-18,938.4837628241586
2015-06-19,944.6264481198947
2015-06-22,916.3661156165219
2015-06-23,935.2707000072588
2015-06-24,940.7627251646938
2015-06-25,944.4120050300533
2015-06-26,948.8201935549458
2015-06-29,911.9658833229137
2015-06-30,911.443622450426
2015-07-01,922.5288939353026
2015-07-02,925.6252326646968
2015-07-03,925.8723638329858
2015-07-06,929.6081951331201
2015-07-07,931.3760036724971
2015-07-08,917.9307153790714
2015-07-09,955.7179567973488
2015-07-10,944.7488604134902
2015-07-13,956.6006019658308
2015-07-14,959.2775752623556
2015-07-15,975.385306660493
2015-07-16,980.1787519958501
2015-07-17,984.6548656394352
2015-07-20,983.7615924709645
2015-07-21,977.4892781256459
2015-07-22,982.4588505502898
2015-07-23,971.8149414677875
2015-07-24,972.980035538028
2015-07-27,930.355242926872
2015-07-28,940.7022213318749
2015-07-29,945.8196232427613
2015-07-30,954.7004476748178
2015-07-31,943.973026947232
2015-08-03,924.722666757286
2015-08-04,918.566363119781
2015-08-05,928.8712328264997
2015-08-06,908.9096650425209
2015-08-07,906.7320866408772
2015-08-10,920.6284005317946
2015-08-11,907.246316035054
2015-08-12,891.2426252993316
2015-08-13,895.4706662352786
2015-08-14,896.8124061901722
2015-08-17,879.3609556995494
2015-08-18,860.7502250958571
2015-08-19,847.2642861428918
2015-08-20,827.9966533445661
2015-08-21,819.6313815918388
2015-08-24,707.9435156335995
2015-08-25,779.8439518123207
2015-08-26,764.2216777846407
2015-08-27,799.2301434000865
2015-08-28,798.7921570096134
2015-08-31,793.7994661122801
2015-09-01,783.3107701535965
2015-09-02,774.698337783052
2015-09-03,786.5128018280683
2015-09-04,785.0637361625377
2015-09-07,791.3954125200164
2015-09-08,797.6395385652006
2015-09-09,813.6160924817939
2015-09-10,806.7140600708814
2015-09-11,802.071983059238
2015-09-14,784.4826624892207
2015-09-15,785.6678987639716
2015-09-16,782.4709757797915
2015-09-17,776.63119222057
2015-09-18,772.5012645481307
2015-09-21,784.7757497517428
2015-09-22,789.1423108299175
2015-09-23,788.2859929713532
2015-09-24,778.3067650817104
2015-09-25,786.3172611647993
2015-09-28,783.8409821473773
2015-09-29,772.4106152403727
