Date,PERU IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1003.6578053402228
1999-01-05,1010.7730847222264
1999-01-06,1037.6446225004256
1999-01-07,1036.6303692385875
1999-01-08,1053.637487884808
1999-01-11,1042.3351640552473
1999-01-12,1026.9515726444226
1999-01-13,945.6034843948394
1999-01-14,913.6229164932568
1999-01-15,980.1164161893586
1999-01-18,997.0017841535991
1999-01-19,981.5352212701722
1999-01-20,1012.8108060984385
1999-01-21,988.9069697595081
1999-01-22,974.5312632845288
1999-01-25,978.6961877601075
1999-01-26,973.7485471224853
1999-01-27,974.5630353088349
1999-01-28,985.9350549969066
1999-01-29,994.2623171766976
1999-02-01,999.7455499049621
1999-02-02,1011.0557624937708
1999-02-03,1008.7972911889655
1999-02-04,1014.859140867084
1999-02-05,1010.3492342643863
1999-02-08,1015.929442288639
1999-02-09,1015.7860244692919
1999-02-10,1013.5562175136612
1999-02-11,1021.4506326604929
1999-02-12,1023.0970191753715
1999-02-15,1026.5519079626258
1999-02-16,1015.4347268149623
1999-02-17,1009.3840386261867
1999-02-18,1009.0533775980415
1999-02-19,1017.4531116828936
1999-02-22,1011.2344686778467
1999-02-23,1016.8996945340127
1999-02-24,1025.9856927786561
1999-02-25,999.636859800642
1999-02-26,1026.1896076451096
1999-03-01,1033.1431645406672
1999-03-02,1028.8030222597872
1999-03-03,1040.617639913194
1999-03-04,1056.4778390838653
1999-03-05,1062.829025077764
1999-03-08,1054.7175864980477
1999-03-09,1051.5443463067372
1999-03-10,1058.5794423638154
1999-03-11,1090.520119951147
1999-03-12,1083.9131338551033
1999-03-15,1094.9750158178063
1999-03-16,1092.449599074195
1999-03-17,1078.5155329089748
1999-03-18,1098.76318490055
1999-03-19,1114.630120265601
1999-03-22,1107.727008293147
1999-03-23,1096.169980035027
1999-03-24,1091.434157156232
1999-03-25,1103.651428295773
1999-03-26,1117.651240877331
1999-03-29,1119.5029712546982
1999-03-30,1127.5498635369577
1999-03-31,1134.7101556563578
1999-04-01,1133.0833686783556
1999-04-02,1135.6042494058904
1999-04-05,1136.0602966234292
1999-04-06,1135.94400994648
1999-04-07,1137.7503039173894
1999-04-08,1147.7596347908996
1999-04-09,1157.6799379836314
1999-04-12,1136.7955151574358
1999-04-13,1151.91146382331
1999-04-14,1151.2325747223024
1999-04-15,1165.2291560599167
1999-04-16,1215.0021758665093
1999-04-19,1270.1886506887759
1999-04-20,1243.5651921704866
1999-04-21,1244.3637779784822
1999-04-22,1254.588281820392
1999-04-23,1253.727628630091
1999-04-26,1244.9411538599193
1999-04-27,1240.679884687928
1999-04-28,1234.7690808459258
1999-04-29,1239.00015600801
1999-04-30,1243.4683811765194
1999-05-03,1243.0326448223602
1999-05-04,1239.863256983683
1999-05-05,1220.8650748007224
1999-05-06,1242.3435356229122
1999-05-07,1258.9407329314224
1999-05-10,1280.1277596950524
1999-05-11,1304.2602622522625
1999-05-12,1287.502114031729
1999-05-13,1290.402313556226
1999-05-14,1296.7573151856175
1999-05-17,1283.024008016786
1999-05-18,1291.2497952877607
1999-05-19,1261.4880151731295
1999-05-20,1271.9858878241253
1999-05-21,1272.4119820842861
1999-05-24,1259.360238062995
1999-05-25,1232.0748389599635
1999-05-26,1246.982682108384
1999-05-27,1236.9093344454784
1999-05-28,1244.2461328006716
1999-05-31,1253.7510203198958
1999-06-01,1255.5360357301608
1999-06-02,1262.8809274405448
1999-06-03,1274.4217427468866
1999-06-04,1289.5071528692943
1999-06-07,1293.2671778895847
1999-06-08,1285.8830457158197
1999-06-09,1282.8300423024932
1999-06-10,1252.0874329479898
1999-06-11,1249.4953501835191
1999-06-14,1261.4254686102192
1999-06-15,1264.7931876886253
1999-06-16,1275.1743126772606
1999-06-17,1267.199670311918
1999-06-18,1259.1442817711406
1999-06-21,1268.8285910962154
1999-06-22,1270.6993042078552
1999-06-23,1264.0384520923571
1999-06-24,1261.571526984722
1999-06-25,1248.8993378911453
1999-06-28,1262.8853689741272
1999-06-29,1267.161159824342
1999-06-30,1292.688931581271
1999-07-01,1316.5612419262757
1999-07-02,1316.6641922021367
1999-07-05,1312.1233850774242
1999-07-06,1311.4845780329604
1999-07-07,1313.2021047709106
1999-07-08,1324.0341906558049
1999-07-09,1320.6256551566069
1999-07-12,1304.3182072324055
1999-07-13,1286.6030771283001
1999-07-14,1299.7510878600508
1999-07-15,1301.6674919480777
1999-07-16,1307.205303893689
1999-07-19,1298.1123910662427
1999-07-20,1262.729607288193
1999-07-21,1237.8335155254856
1999-07-22,1236.2550651468102
1999-07-23,1241.037236912063
1999-07-26,1214.8267780016306
1999-07-27,1228.6492123100954
1999-07-28,1230.2120110443666
1999-07-29,1218.5585794885103
1999-07-30,1218.7231576530928
1999-08-02,1200.4136936208938
1999-08-03,1191.5707680686517
