Date,SOUTH AFRICA IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,993.5111612289181
1999-01-05,1015.5830735448808
1999-01-06,1079.2946201077311
1999-01-07,1058.1628368037195
1999-01-08,1089.7542702726491
1999-01-11,1077.7958314813247
1999-01-12,1066.9874792570913
1999-01-13,999.1267860077736
1999-01-14,996.0116996940546
1999-01-15,1010.7814528764844
1999-01-18,1051.7717642135447
1999-01-19,1040.8112464207195
1999-01-20,1046.7617531851997
1999-01-21,1025.417140836201
1999-01-22,1019.0841224185083
1999-01-25,1010.013857844187
1999-01-26,1011.1451192652432
1999-01-27,1043.055741971692
1999-01-28,1058.1174240491775
1999-01-29,1067.5714710697353
1999-02-01,1079.5515596347623
1999-02-02,1071.9834260823022
1999-02-03,1066.7531018928205
1999-02-04,1076.791656820531
1999-02-05,1103.21331432935
1999-02-08,1128.6671293303139
1999-02-09,1092.3121489693406
1999-02-10,1078.7934015604856
1999-02-11,1096.8016033656138
1999-02-12,1101.6907441916135
1999-02-15,1094.5842116329738
1999-02-16,1100.316314443185
1999-02-17,1091.4701567984616
1999-02-18,1096.396628342083
1999-02-19,1089.1133000583347
1999-02-22,1109.5066883835389
1999-02-23,1120.5387672239244
1999-02-24,1131.6000613030212
1999-02-25,1127.504976723382
1999-02-26,1126.6015586899111
1999-03-01,1134.0384152410932
1999-03-02,1132.878942244778
1999-03-03,1154.2863479893508
1999-03-04,1172.964793196342
1999-03-05,1197.4042272284712
1999-03-08,1208.563184855994
1999-03-09,1216.21295473991
1999-03-10,1210.7404572492537
1999-03-11,1250.5944623541336
1999-03-12,1241.8286199042554
1999-03-15,1233.283762440467
1999-03-16,1248.3789790188748
1999-03-17,1248.9628254628099
1999-03-18,1238.1027374854411
1999-03-19,1274.5654527686556
1999-03-22,1281.0018238608434
1999-03-23,1267.0107729194463
1999-03-24,1253.3250747831491
1999-03-25,1269.5958920251974
1999-03-26,1276.1150433728621
1999-03-29,1276.6030867462582
1999-03-30,1270.1388663235114
1999-03-31,1264.829401482354
1999-04-01,1272.298163502844
1999-04-02,1274.302105211184
1999-04-05,1284.2201627727177
1999-04-06,1280.1887132908405
1999-04-07,1279.1435803702652
1999-04-08,1268.8305955175715
1999-04-09,1298.7069243151172
1999-04-12,1297.3847001523561
1999-04-13,1340.6074405177214
1999-04-14,1364.081020892573
1999-04-15,1404.5063712060357
1999-04-16,1445.594015117799
1999-04-19,1486.4925435311084
1999-04-20,1467.8794145089244
1999-04-21,1444.4494255247494
1999-04-22,1428.408867723979
1999-04-23,1433.2558633622289
1999-04-26,1454.8926902414678
1999-04-27,1448.4800831059003
1999-04-28,1477.2316551116082
1999-04-29,1490.9882253428639
1999-04-30,1504.6766638578094
1999-05-03,1508.958930846837
1999-05-04,1507.6111729338913
1999-05-05,1463.2665463638905
1999-05-06,1466.3448461404348
1999-05-07,1439.69186083304
1999-05-10,1422.370450880964
1999-05-11,1430.6431102714562
1999-05-12,1403.2425697871672
1999-05-13,1413.936177013382
1999-05-14,1400.8894858307272
1999-05-17,1392.6263030889313
1999-05-18,1403.4954340992692
1999-05-19,1392.8535223630538
1999-05-20,1391.918186042688
1999-05-21,1419.3092978158359
1999-05-24,1403.9571867340223
1999-05-25,1378.7742584894547
1999-05-26,1373.5244613673865
1999-05-27,1356.3453291729566
1999-05-28,1366.5379068216942
1999-05-31,1378.8163257719639
1999-06-01,1411.7100715925499
1999-06-02,1427.9807084977724
1999-06-03,1451.7041886041523
1999-06-04,1471.416752646802
1999-06-07,1516.7747440991352
1999-06-08,1507.3285151077305
1999-06-09,1504.3436987252417
1999-06-10,1490.4595831460074
1999-06-11,1515.9318249296357
1999-06-14,1523.5180856916506
1999-06-15,1527.2791149092498
1999-06-16,1545.720633271332
1999-06-17,1550.6332297601336
1999-06-18,1559.004808537258
1999-06-21,1588.3923144370224
1999-06-22,1595.33343274458
1999-06-23,1570.9392266643413
1999-06-24,1547.1550124098892
1999-06-25,1527.7461163011928
1999-06-28,1550.1818921257816
1999-06-29,1556.9511604879967
1999-06-30,1578.0392287492277
1999-07-01,1616.762245215182
1999-07-02,1639.357145191897
1999-07-05,1675.5597542071566
1999-07-06,1654.0957826656215
1999-07-07,1644.7691290263667
1999-07-08,1646.5172427880204
1999-07-09,1635.5572866991456
1999-07-12,1651.3812228556117
1999-07-13,1612.7036950962297
1999-07-14,1624.5884466460188
1999-07-15,1621.437525338265
1999-07-16,1618.2883137794097
1999-07-19,1627.8139784432758
1999-07-20,1584.3387026851642
1999-07-21,1561.0443568969547
1999-07-22,1563.1863994822597
1999-07-23,1569.4913730230094
1999-07-26,1513.7340389151113
1999-07-27,1525.9630920172588
1999-07-28,1525.3213831470523
1999-07-29,1500.6828227159197
1999-07-30,1513.570728654699
1999-08-02,1513.232510838779
