Date,BRAZIL IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,997.1191101875102
1999-01-05,1003.5574399327958
1999-01-06,1024.324438979848
1999-01-07,992.4828758579515
1999-01-08,988.5196237466807
1999-01-11,947.6465897287808
1999-01-12,900.1754630947416
1999-01-13,782.3328388552458
1999-01-14,726.0620683856989
1999-01-15,809.5031454547778
1999-01-18,757.8844785325906
1999-01-19,786.1290381467647
1999-01-20,808.6110251396303
1999-01-21,717.5627134580367
1999-01-22,703.867354643574
1999-01-25,673.5727329430161
1999-01-26,689.5469834657279
1999-01-27,673.1273275374707
1999-01-28,684.0726682215799
1999-01-29,666.3429431309947
1999-02-01,772.7048849300561
1999-02-02,834.6314867408029
1999-02-03,815.0505092816591
1999-02-04,812.861088339038
1999-02-05,782.3403982640781
1999-02-08,774.9407802224781
1999-02-09,771.5983321680164
1999-02-10,782.5217534787025
1999-02-11,807.3399832135113
1999-02-12,808.5849728977084
1999-02-15,811.5713366564638
1999-02-16,815.6727481520891
1999-02-17,802.5777089592858
1999-02-18,792.5328432860132
1999-02-19,801.251592569022
1999-02-22,789.027305066996
1999-02-23,771.3358626454451
1999-02-24,746.5938353957163
1999-02-25,723.8003647875453
1999-02-26,746.1058545911591
1999-03-01,724.7982096015262
1999-03-02,715.9957835750657
1999-03-03,726.1232481710604
1999-03-04,779.8165397495047
1999-03-05,816.0182371712069
1999-03-08,825.9151539417754
1999-03-09,856.9071228451521
1999-03-10,874.0947998602618
1999-03-11,856.4111044697908
1999-03-12,849.3129189471576
1999-03-15,904.1136366687463
1999-03-16,921.0924810832747
1999-03-17,919.9793544491051
1999-03-18,958.413130856464
1999-03-19,966.5285143677751
1999-03-22,949.886583356613
1999-03-23,938.8155147951262
1999-03-24,940.8169622061795
1999-03-25,1005.3467793680277
1999-03-26,1029.4248649312187
1999-03-29,1041.8599584496237
1999-03-30,1064.308692476178
1999-03-31,1079.7784554714456
1999-04-01,1078.2304217980602
1999-04-02,1080.6450886193572
1999-04-05,1108.7741743893043
1999-04-06,1129.4349697664813
1999-04-07,1154.1680837079862
1999-04-08,1158.4625378051014
1999-04-09,1157.9823995009474
1999-04-12,1158.3756670444923
1999-04-13,1166.625908477864
1999-04-14,1171.4934504640685
1999-04-15,1191.9312609954395
1999-04-16,1200.6070508912999
1999-04-19,1191.873768469558
1999-04-20,1134.7785838004472
1999-04-21,1140.0205494479815
1999-04-22,1161.6368773998581
1999-04-23,1166.2755342845446
1999-04-26,1146.7337582864604
1999-04-27,1138.0713182767638
1999-04-28,1183.28110555675
1999-04-29,1209.4514844854123
1999-04-30,1233.2860099320558
1999-05-03,1235.6953416779495
1999-05-04,1213.16466656688
1999-05-05,1234.8043625063046
1999-05-06,1271.2102562582158
1999-05-07,1324.5351272900791
1999-05-10,1341.9618311712625
1999-05-11,1336.452149122725
1999-05-12,1325.473425475488
1999-05-13,1370.658145397463
1999-05-14,1363.0854951219985
1999-05-17,1329.8905923487137
1999-05-18,1354.7908474491064
1999-05-19,1343.9505678397497
1999-05-20,1335.1143273055775
1999-05-21,1293.105967155831
1999-05-24,1224.397548622894
1999-05-25,1163.2836574722683
1999-05-26,1243.5907606094902
1999-05-27,1211.5957889727556
1999-05-28,1210.1827849236438
1999-05-31,1230.6308125814828
1999-06-01,1210.5393542487618
1999-06-02,1220.5562270242447
1999-06-03,1222.2184849125479
1999-06-04,1246.6183650302532
1999-06-07,1229.0368499515987
1999-06-08,1199.3294200610906
1999-06-09,1192.1772797543342
1999-06-10,1187.916008012083
1999-06-11,1195.1015101323342
1999-06-14,1193.139576758263
1999-06-15,1204.3701736075925
1999-06-16,1266.7345656999587
1999-06-17,1277.8609813373257
1999-06-18,1280.6195068040715
1999-06-21,1291.0936852825735
1999-06-22,1274.0878931805596
1999-06-23,1247.568628662438
1999-06-24,1207.7586248600394
1999-06-25,1175.8789570153065
1999-06-28,1194.0461785702948
1999-06-29,1211.9025980506274
1999-06-30,1252.3511906675433
1999-07-01,1259.3539754829237
1999-07-02,1284.0754645770905
1999-07-05,1291.4408612734169
1999-07-06,1267.5369890864135
1999-07-07,1281.198746705862
1999-07-08,1256.5361234475877
1999-07-09,1258.0956209354295
1999-07-12,1204.8578517480985
1999-07-13,1198.0583451739305
1999-07-14,1206.406438295404
1999-07-15,1213.6972763592205
1999-07-16,1227.6917947191728
1999-07-19,1249.7790502496366
1999-07-20,1186.3876813795403
1999-07-21,1180.3927359267145
1999-07-22,1179.515351150431
1999-07-23,1157.8165192197607
1999-07-26,1101.5722776336927
1999-07-27,1118.393101937765
1999-07-28,1129.9797582032074
1999-07-29,1111.7914149950755
1999-07-30,1095.11217348052
1999-08-02,1061.128366930682
1999-08-03,1061.7132829991233
1999-08-04,1036.2457830316312
1999-08-05,1018.848573026105
