Date,CHILE IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.5160878493487
1999-01-04,1006.9451092762112
1999-01-05,1009.3168772618591
1999-01-06,1019.368539113833
1999-01-07,1011.3153840604458
1999-01-08,1021.9108068981689
1999-01-11,1001.2094616009886
1999-01-12,980.2928485829473
1999-01-13,932.8734485514415
1999-01-14,918.272708304868
1999-01-15,938.7031270703424
1999-01-18,941.7877914212451
1999-01-19,936.5124533193485
1999-01-20,950.0304573244399
1999-01-21,946.6247030474289
1999-01-22,946.0761540063195
1999-01-25,974.253635707508
1999-01-26,981.3264595264059
1999-01-27,990.5708346321902
1999-01-28,992.8815839454169
1999-01-29,994.9377277055601
1999-02-01,1003.9039189567
1999-02-02,994.6868691685919
1999-02-03,999.4651373886347
1999-02-04,1010.1093386048797
1999-02-05,1012.7774958333516
1999-02-08,1021.1508674424515
1999-02-09,1024.5233289390667
1999-02-10,1029.7958231550817
1999-02-11,1047.1041512710233
1999-02-12,1046.4919973467954
1999-02-15,1047.9201921383278
1999-02-16,1058.7309426645702
1999-02-17,1053.13555758057
1999-02-18,1065.84064126246
1999-02-19,1094.465535163117
1999-02-22,1099.4806093083669
1999-02-23,1095.72255942715
1999-02-24,1111.9846248774766
1999-02-25,1091.6685292128523
1999-02-26,1085.5892598884436
1999-03-01,1088.4648394179635
1999-03-02,1079.6942929255438
1999-03-03,1097.9267199182543
1999-03-04,1124.2949833324467
1999-03-05,1120.6188594817347
1999-03-08,1129.8941675137467
1999-03-09,1129.0707682844723
1999-03-10,1135.2862586457743
1999-03-11,1158.100512663317
1999-03-12,1154.8514658181764
1999-03-15,1156.962125074535
1999-03-16,1166.2486383847045
1999-03-17,1157.336934090818
1999-03-18,1161.6756798932129
1999-03-19,1173.9243648976178
1999-03-22,1177.811360555233
1999-03-23,1173.80815522591
1999-03-24,1173.7642371578784
1999-03-25,1195.515505388851
1999-03-26,1220.2986691856718
1999-03-29,1222.232385404586
1999-03-30,1224.5478466116992
1999-03-31,1232.662314317115
1999-04-01,1242.002747869881
1999-04-02,1245.2313587865256
1999-04-05,1266.2052283151684
1999-04-06,1267.3237000448742
1999-04-07,1273.6057945239038
1999-04-08,1294.1592189018997
1999-04-09,1310.0133060337996
1999-04-12,1302.3694907962547
1999-04-13,1319.798367418693
1999-04-14,1340.0370521398431
1999-04-15,1371.7238919063598
1999-04-16,1387.0683812274642
1999-04-19,1427.6644113498705
1999-04-20,1431.7805705187145
1999-04-21,1429.5447856241465
1999-04-22,1401.1809435830987
1999-04-23,1371.2169341390427
1999-04-26,1364.7330930199455
1999-04-27,1332.4006650133874
1999-04-28,1364.6422832295375
1999-04-29,1356.794097491612
1999-04-30,1374.4300817483913
1999-05-03,1386.8407335538104
1999-05-04,1386.9005955276878
1999-05-05,1379.6508281524468
1999-05-06,1377.7193416339608
1999-05-07,1398.1744660122927
1999-05-10,1430.5653306365546
1999-05-11,1440.6420203823764
1999-05-12,1447.5504495863522
1999-05-13,1473.385176704752
1999-05-14,1448.1026832023645
1999-05-17,1428.5790502903326
1999-05-18,1422.9560915574452
1999-05-19,1406.8534985810074
1999-05-20,1397.7167730970793
1999-05-21,1406.936358546428
1999-05-24,1368.4135301030624
1999-05-25,1350.3192879452174
1999-05-26,1381.945268128369
1999-05-27,1386.8325403259535
1999-05-28,1380.2693324664876
1999-05-31,1383.5559903693909
1999-06-01,1377.9903331111645
1999-06-02,1387.1072712507382
1999-06-03,1387.844167801678
1999-06-04,1407.3777209382354
1999-06-07,1419.3639280685936
1999-06-08,1408.747399875995
1999-06-09,1400.4566704417498
1999-06-10,1396.6137893507976
1999-06-11,1399.1964026273013
1999-06-14,1402.9821462149266
1999-06-15,1403.3543180055917
1999-06-16,1432.494714584855
1999-06-17,1438.067650684514
1999-06-18,1418.191552226497
1999-06-21,1424.9506055714169
1999-06-22,1451.3788691836007
1999-06-23,1431.744575856408
1999-06-24,1411.0602017282545
1999-06-25,1376.6899764893292
1999-06-28,1389.0219527462928
1999-06-29,1393.7248082090373
1999-06-30,1415.9165850894963
1999-07-01,1456.0756985752553
1999-07-02,1482.0360673974615
1999-07-05,1495.8307863505834
1999-07-06,1500.1000864132388
1999-07-07,1503.8409656243646
1999-07-08,1505.878765223322
1999-07-09,1513.810901410446
1999-07-12,1501.5580777708262
1999-07-13,1500.6303377151364
1999-07-14,1493.918761620226
1999-07-15,1494.1993487702039
1999-07-16,1499.6252252360875
1999-07-19,1499.09638998717
1999-07-20,1461.7014268485377
1999-07-21,1451.7645160835739
1999-07-22,1448.820823107033
1999-07-23,1430.444628454121
1999-07-26,1388.785494601696
1999-07-27,1387.951307353134
1999-07-28,1398.8649905721595
1999-07-29,1376.7179308920786
1999-07-30,1380.8319649797065
1999-08-02,1387.4752630147857
1999-08-03,1384.0951524034992
1999-08-04,1382.4628608495
1999-08-05,1373.8882924422662
1999-08-06,1378.5354476485352
1999-08-09,1378.2222011727565
1999-08-10,1359.8813160125833
1999-08-11,1367.2904962135894
1999-08-12,1372.1170994682066
1999-08-13,1381.7687174175549
1999-08-16,1376.86790205289
1999-08-17,1382.4897414493903
1999-08-18,1363.1110860535534
1999-08-19,1340.9957496822792
1999-08-20,1337.0440585226531
1999-08-23,1352.4781559718074
1999-08-24,1359.9366105967565
1999-08-25,1387.4539667763806
1999-08-26,1398.682774034139
1999-08-27,1389.884473405127
1999-08-30,1391.2868363817952
1999-08-31,1377.0787235056546
1999-09-01,1386.8258089222616
1999-09-02,1368.5720944203363
1999-09-03,1387.150141692275
1999-09-06,1389.7972287811106
1999-09-07,1394.268751973462
1999-09-08,1401.1244423323722
1999-09-09,1422.0099560428578
1999-09-10,1425.58055922157
1999-09-13,1435.3501876335642
1999-09-14,1430.9067073833135
1999-09-15,1426.9149386077515
1999-09-16,1418.681635332345
1999-09-17,1411.286400580154
1999-09-20,1416.2425130831894
1999-09-21,1394.7582774288762
1999-09-22,1388.7077194616809
1999-09-23,1382.9293920529153
1999-09-24,1377.2560743847794
1999-09-27,1380.709480545596
1999-09-28,1358.1357964801155
1999-09-29,1332.5509357815858
1999-09-30,1328.9297913759735
1999-10-01,1321.6481623122127
1999-10-04,1327.267832214367
1999-10-05,1333.4300032011545
1999-10-06,1325.4038293763792
1999-10-07,1323.0836741733629
1999-10-08,1325.1404715148697
1999-10-11,1316.230689926402
1999-10-12,1305.250855202904
1999-10-13,1274.3660516939467
1999-10-14,1270.493990139798
1999-10-15,1231.1942655183816
1999-10-18,1212.1944334213454
1999-10-19,1226.997603323798
1999-10-20,1251.267444311005
1999-10-21,1263.061595528174
1999-10-22,1281.9521687746555
1999-10-25,1269.9330743822504
1999-10-26,1271.09156653509
1999-10-27,1268.7429389519236
1999-10-28,1281.781281874212
1999-10-29,1308.1270382147834
1999-11-01,1310.3711446420282
1999-11-02,1317.2731437727527
1999-11-03,1331.5673028036722
1999-11-04,1329.349589053213
1999-11-05,1346.481563533943
1999-11-08,1358.0824083902714
1999-11-09,1374.5859090410113
1999-11-10,1369.0987287584953
1999-11-11,1373.3569712541598
1999-11-12,1396.6535527035414
1999-11-15,1410.0378416066912
1999-11-16,1415.6928146649527
1999-11-17,1394.4656238666228
1999-11-18,1414.0727707740064
1999-11-19,1419.6804457991648
1999-11-22,1409.3452961338087
1999-11-23,1416.536576037582
1999-11-24,1418.7483201333125
1999-11-25,1424.2819651013176
1999-11-26,1439.2344701708914
1999-11-29,1458.0698035390162
1999-11-30,1461.4369860858017
1999-12-01,1470.2798062739523
1999-12-02,1484.7737915969992
1999-12-03,1510.397890794438
1999-12-06,1480.1219032915853
1999-12-07,1479.0025944220595
1999-12-08,1476.4352691417532
1999-12-09,1486.4819502935395
1999-12-10,1489.658746446336
1999-12-13,1510.6235676565589
1999-12-14,1524.4681052859942
1999-12-15,1523.1647232610494
1999-12-16,1509.1113371387505
1999-12-17,1540.5197570544703
1999-12-20,1549.7943590406348
1999-12-21,1551.5660075575993
1999-12-22,1556.7072206848143
1999-12-23,1559.7855910786006
