Date,CHINA IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,977.0956589796057
1999-01-05,966.0759183579121
1999-01-06,1006.3598153077701
1999-01-07,1033.881685026289
1999-01-08,1029.3615845927247
1999-01-11,1005.0997557700235
1999-01-12,964.205441903513
1999-01-13,865.931088564896
1999-01-14,845.0134985302338
1999-01-15,880.2284416493343
1999-01-18,873.1318111593756
1999-01-19,850.5386074586829
1999-01-20,823.4141476549315
1999-01-21,807.6401665906753
1999-01-22,773.8550726395059
1999-01-25,773.6734099642072
1999-01-26,790.9885775438903
1999-01-27,844.0353824348683
1999-01-28,837.6318188774096
1999-01-29,836.3736496491072
1999-02-01,829.8876108002635
1999-02-02,806.983020445867
1999-02-03,798.3164426488835
1999-02-04,807.2754002763877
1999-02-05,801.7280435029755
1999-02-08,805.5667366995631
1999-02-09,828.0135717525587
1999-02-10,809.1244700478142
1999-02-11,813.976233817936
1999-02-12,832.5063368760622
1999-02-15,836.0559142559108
1999-02-16,840.321686265235
1999-02-17,834.7994303598911
1999-02-18,833.4525068991437
1999-02-19,823.5001600653287
1999-02-22,812.6298575985588
1999-02-23,808.9671895070754
1999-02-24,823.3396450436777
1999-02-25,814.2542635302278
1999-02-26,848.5243748185296
1999-03-01,878.2894556266623
1999-03-02,857.7907355729184
1999-03-03,896.9013055570027
1999-03-04,896.8040608823823
1999-03-05,891.0113412580005
1999-03-08,891.0376737994753
1999-03-09,890.6359863257156
1999-03-10,877.9441238302055
1999-03-11,894.1059146715584
1999-03-12,885.3880391799787
1999-03-15,886.2564537453924
1999-03-16,888.8613797503334
1999-03-17,929.2105211148395
1999-03-18,971.5505515655003
1999-03-19,998.468821268344
1999-03-22,1056.6200713018166
1999-03-23,1085.367424947115
1999-03-24,1068.4302283142624
1999-03-25,1058.0833231816937
1999-03-26,1056.6631115389387
1999-03-29,1029.3884181787546
1999-03-30,1015.4137193654155
1999-03-31,1015.4722813847835
1999-04-01,1034.0014467993744
1999-04-02,1036.8931549959664
1999-04-05,1043.313869301939
1999-04-06,1037.6552271297737
1999-04-07,1074.6759378318384
1999-04-08,1107.4578400733426
1999-04-09,1178.6126326121612
1999-04-12,1182.6912846571502
1999-04-13,1165.7684145328938
1999-04-14,1132.966565333459
1999-04-15,1149.305027403376
1999-04-16,1191.2379390497858
1999-04-19,1255.0671236063893
1999-04-20,1294.7575338690415
1999-04-21,1319.5252810513111
1999-04-22,1345.9606875934858
1999-04-23,1299.3269178539924
1999-04-26,1298.0096145863151
1999-04-27,1326.590645975154
1999-04-28,1299.8991420663017
1999-04-29,1321.9128873058546
1999-04-30,1344.4030581222148
1999-05-03,1353.3989191116682
1999-05-04,1358.6288753422705
1999-05-05,1355.7224937766848
1999-05-06,1409.0645543741457
1999-05-07,1422.8329491250063
1999-05-10,1382.4386465979019
1999-05-11,1398.7806865215748
1999-05-12,1402.5931473073879
1999-05-13,1417.8855569291707
1999-05-14,1419.5082008487793
1999-05-17,1384.6839228999693
1999-05-18,1404.024124486047
1999-05-19,1423.9042702804236
1999-05-20,1394.7621720376465
1999-05-21,1366.5221696488718
1999-05-24,1366.7167849212756
1999-05-25,1362.968729811666
1999-05-26,1360.286991624509
1999-05-27,1316.8767803375138
1999-05-28,1278.9634549858645
1999-05-31,1317.8395032172318
1999-06-01,1350.3142760666428
1999-06-02,1358.9059506519027
1999-06-03,1345.9804692809585
1999-06-04,1341.4346698662425
1999-06-07,1355.3984416246574
1999-06-08,1345.8147817310778
1999-06-09,1347.323517192479
1999-06-10,1410.1408912505751
1999-06-11,1495.2603307384952
1999-06-14,1526.2876340902455
1999-06-15,1491.08544639047
1999-06-16,1519.6621866171863
1999-06-17,1564.425830552472
1999-06-18,1551.9639568195444
1999-06-21,1642.783277614246
1999-06-22,1722.7390556056114
1999-06-23,1802.016659586939
1999-06-24,1771.3695218022215
1999-06-25,1739.5345782822465
1999-06-28,1810.150570286753
1999-06-29,1908.3801216164861
1999-06-30,1953.1430422419976
1999-07-01,1951.9531855524465
1999-07-02,1973.5728544646265
1999-07-05,2007.6299854122942
1999-07-06,1966.8871498258727
1999-07-07,1886.799486486629
1999-07-08,1899.4345324628443
1999-07-09,1945.5819639500567
1999-07-12,1995.4314433789857
1999-07-13,1957.1294070380986
1999-07-14,1883.9783278213465
1999-07-15,1874.4005145467352
1999-07-16,1856.9904882444732
1999-07-19,1792.2921057999822
1999-07-20,1770.9256744094153
1999-07-21,1748.4037895463866
1999-07-22,1721.024173602553
1999-07-23,1695.7917366438091
1999-07-26,1585.6137311246289
1999-07-27,1600.2954066207353
1999-07-28,1620.0536588400128
1999-07-29,1615.6351639714437
1999-07-30,1641.2672077856926
1999-08-02,1686.674861148909
1999-08-03,1694.5439451615662
1999-08-04,1649.2147698573986
1999-08-05,1599.206693917561
