Date,MEXICO IMI VALUE WEIGHTED
1998-12-31,999.9999999999999
1999-01-01,999.9999999999999
1999-01-04,981.5980439304885
1999-01-05,971.8630388052879
1999-01-06,964.0367333712265
1999-01-07,958.3305491430988
1999-01-08,957.6549992767507
1999-01-11,938.4317225239648
1999-01-12,893.3993191457159
1999-01-13,811.2401986367848
1999-01-14,806.0875301313127
1999-01-15,897.7289214605839
1999-01-18,904.720601618681
1999-01-19,897.7025942935974
1999-01-20,933.1819393385558
1999-01-21,917.1357562078432
1999-01-22,912.4229512638451
1999-01-25,911.5954362817587
1999-01-26,929.3046561779161
1999-01-27,944.1221825349662
1999-01-28,985.4140372563439
1999-01-29,994.3933357654956
1999-02-01,1019.8253766444295
1999-02-02,1012.2369544119513
1999-02-03,1016.6423723248596
1999-02-04,1019.7932393048986
1999-02-05,1021.8827046230923
1999-02-08,1023.3384305538532
1999-02-09,1006.9741643373163
1999-02-10,1012.3954021890511
1999-02-11,1047.7494239494888
1999-02-12,1049.4365228118802
1999-02-15,1056.5248441998956
1999-02-16,1075.9375382746452
1999-02-17,1057.7484410779284
1999-02-18,1065.982391865625
1999-02-19,1091.635363671342
1999-02-22,1108.197818925068
1999-02-23,1108.3616954133363
1999-02-24,1118.9559713929505
1999-02-25,1113.8728710544842
1999-02-26,1127.1073212619506
1999-03-01,1118.893475760821
1999-03-02,1110.4717834533274
1999-03-03,1097.3489902502142
1999-03-04,1127.813797931917
1999-03-05,1152.74227139794
1999-03-08,1188.0099687418065
1999-03-09,1213.830003482005
1999-03-10,1245.502886766944
1999-03-11,1260.6289659596787
1999-03-12,1257.9183445856836
1999-03-15,1288.134339664975
1999-03-16,1326.3584480838254
1999-03-17,1311.709377344698
1999-03-18,1322.7475849913558
1999-03-19,1307.9041641386182
1999-03-22,1293.326934771212
1999-03-23,1277.087888446652
1999-03-24,1313.9980497315573
1999-03-25,1334.8004406465823
1999-03-26,1340.6713617448108
1999-03-29,1367.2761205313984
1999-03-30,1373.3415954119005
1999-03-31,1390.135830130924
1999-04-01,1386.5402500892171
1999-04-02,1392.9876065137487
1999-04-05,1453.9437340147485
1999-04-06,1452.0341332683693
1999-04-07,1443.6019551694183
1999-04-08,1449.6548814945754
1999-04-09,1458.1322794104326
1999-04-12,1471.465895555924
1999-04-13,1475.9703534505006
1999-04-14,1473.0316564939126
1999-04-15,1542.0382828834165
1999-04-16,1577.5497266436903
1999-04-19,1586.985024471323
1999-04-20,1556.8647238585947
1999-04-21,1548.7605427617707
1999-04-22,1599.0611348233406
1999-04-23,1592.6005955429562
1999-04-26,1573.5206092943215
1999-04-27,1562.270287503253
1999-04-28,1584.2983369595624
1999-04-29,1602.4062102975902
1999-04-30,1579.9500148454233
1999-05-03,1623.1249094619482
1999-05-04,1600.8049073795225
1999-05-05,1590.3112665576311
1999-05-06,1625.0667852483184
1999-05-07,1669.4755393617322
1999-05-10,1704.8469704718943
1999-05-11,1693.5226978431915
1999-05-12,1672.4102473749574
1999-05-13,1721.08736806278
1999-05-14,1665.3668705420116
1999-05-17,1662.7786547760952
1999-05-18,1669.9028435719126
1999-05-19,1634.3266735551572
1999-05-20,1650.6239452688035
1999-05-21,1601.5811054488859
1999-05-24,1547.2222815241907
1999-05-25,1489.525881566213
1999-05-26,1555.8975395749878
1999-05-27,1483.4281512395175
1999-05-28,1486.0232251891234
1999-05-31,1499.9320378981101
1999-06-01,1475.0052893190418
1999-06-02,1485.8330287013007
1999-06-03,1482.5796753733978
1999-06-04,1514.4326255639721
1999-06-07,1542.331623465564
1999-06-08,1518.4803674397085
1999-06-09,1506.4139925339427
1999-06-10,1485.7313747920562
1999-06-11,1454.6139890265924
1999-06-14,1446.610744416781
1999-06-15,1482.9016490059037
1999-06-16,1586.2931284617928
1999-06-17,1605.3977075752603
1999-06-18,1603.865998324441
1999-06-21,1637.9252703470813
1999-06-22,1636.5274276606594
1999-06-23,1597.710752263619
1999-06-24,1555.552688354502
1999-06-25,1526.7698019144866
1999-06-28,1569.2422162332493
1999-06-29,1596.869441123799
1999-06-30,1654.4543771080992
1999-07-01,1667.4878736463063
1999-07-02,1688.5709226255397
1999-07-05,1701.2469006062233
1999-07-06,1694.7863535805275
1999-07-07,1707.8714038447335
1999-07-08,1702.210104263061
1999-07-09,1694.152784392817
1999-07-12,1666.4088494842415
1999-07-13,1676.2528081072442
1999-07-14,1679.703468157997
1999-07-15,1675.9973258963162
1999-07-16,1672.7656590861884
1999-07-19,1702.8972379429438
1999-07-20,1635.185766579291
1999-07-21,1628.6745408858146
1999-07-22,1608.399535265699
1999-07-23,1560.4397998414343
1999-07-26,1491.5652831036155
1999-07-27,1495.3593457787363
1999-07-28,1513.617781952188
1999-07-29,1446.8987957313648
1999-07-30,1442.9121174130466
1999-08-02,1417.6680774294232
1999-08-03,1428.212365245007
1999-08-04,1402.7140627323924
1999-08-05,1392.4698526968364
1999-08-06,1365.5552924049405
