Date,INDIA IMI VALUE WEIGHTED
1998-12-31,1000.0000000000001
1999-01-01,1000.0000000000001
1999-01-04,1024.1337020965434
1999-01-05,1028.4151109999964
1999-01-06,1040.315996777186
1999-01-07,1069.8546612021896
1999-01-08,1120.8900118217732
1999-01-11,1157.9750945511455
1999-01-12,1128.1871166364906
1999-01-13,1085.9005145305714
1999-01-14,1064.0548765922601
1999-01-15,1034.4872068309796
1999-01-18,1049.775518751815
1999-01-19,1019.8147491034325
1999-01-20,1022.9877607250327
1999-01-21,1050.625094236645
1999-01-22,1038.0084526366547
1999-01-25,1034.41437943249
1999-01-26,1033.3865343239686
1999-01-27,1055.7075128273393
1999-01-28,1040.37404549453
1999-01-29,1037.3722299657966
1999-02-01,1020.2528805868765
1999-02-02,997.5776525812624
1999-02-03,1010.5789343458506
1999-02-04,997.1307138427743
1999-02-05,980.0849413759464
1999-02-08,971.0356431809655
1999-02-09,965.1337187829906
1999-02-10,978.0901210368824
1999-02-11,994.3634377077447
1999-02-12,1004.3935056357044
1999-02-15,1003.1538601157838
1999-02-16,1019.0926955094869
1999-02-17,1024.1318604638418
1999-02-18,1035.2163287351761
1999-02-19,1047.4009891070589
1999-02-22,1040.8059365076856
1999-02-23,1038.9786308989349
1999-02-24,1048.5586018297345
1999-02-25,1036.4105219528144
1999-02-26,1028.9181882707583
1999-03-01,1059.5368010888976
1999-03-02,1060.1185646035658
1999-03-03,1085.3702862964408
1999-03-04,1079.8622639402226
1999-03-05,1087.700220983389
1999-03-08,1101.446889747815
1999-03-09,1105.9994458750357
1999-03-10,1095.890740441179
1999-03-11,1075.4040804158617
1999-03-12,1062.4201798156732
1999-03-15,1078.7088978809286
1999-03-16,1073.2250963435747
1999-03-17,1053.4032271745987
1999-03-18,1055.4646816309087
1999-03-19,1080.8726874600188
1999-03-22,1111.016817015624
1999-03-23,1123.7977742743474
1999-03-24,1098.8608515838669
1999-03-25,1103.7626452193526
1999-03-26,1077.0804346572086
1999-03-29,1078.788969451384
1999-03-30,1089.9066443758354
1999-03-31,1104.9286380735002
1999-04-01,1093.4756093701537
1999-04-02,1095.9083708649287
1999-04-05,1050.4757553486513
1999-04-06,1044.6892600395759
1999-04-07,1038.636062060257
1999-04-08,1019.4711027059525
1999-04-09,989.5305412668165
1999-04-12,985.4667654862951
1999-04-13,981.5701735580622
1999-04-14,979.7089036886755
1999-04-15,961.9054505235058
1999-04-16,1025.7279802858616
1999-04-19,999.4667986830809
1999-04-20,999.6038393270387
1999-04-21,1012.383514769493
1999-04-22,994.6992015828329
1999-04-23,979.7266966051986
1999-04-26,934.8148011259004
1999-04-27,931.1676016026906
1999-04-28,955.0102586803324
1999-04-29,978.4304558001454
1999-04-30,980.0091790781021
1999-05-03,1007.8039013904588
1999-05-04,1044.0586270555648
1999-05-05,1059.3545145530654
1999-05-06,1074.8378654031376
1999-05-07,1101.5605109959151
1999-05-10,1141.7442015840074
1999-05-11,1193.4462931680187
1999-05-12,1166.6096512698605
1999-05-13,1216.7029217944614
1999-05-14,1242.1668835729047
1999-05-17,1259.0680856419938
1999-05-18,1291.8898408984032
1999-05-19,1345.4521171377364
1999-05-20,1320.6094011679584
1999-05-21,1276.4706538237572
1999-05-24,1274.8699879775431
1999-05-25,1286.2639622709912
1999-05-26,1258.37557445468
1999-05-27,1220.444661165277
1999-05-28,1174.0553633431734
1999-05-31,1249.8204353704177
1999-06-01,1221.883262933954
1999-06-02,1246.3813636387167
1999-06-03,1271.3612382282881
1999-06-04,1307.9060731506406
1999-06-07,1324.4832091699493
1999-06-08,1335.639644789421
1999-06-09,1331.3703725627865
1999-06-10,1333.7896490859177
1999-06-11,1296.401134588048
1999-06-14,1284.5254234286701
1999-06-15,1261.7089669558766
1999-06-16,1314.3240700665153
1999-06-17,1334.9032874913541
1999-06-18,1325.7147505586354
1999-06-21,1373.867055012204
1999-06-22,1379.0140227399277
1999-06-23,1356.7477023798665
1999-06-24,1338.511646873117
1999-06-25,1320.0409313466512
1999-06-28,1351.4575376917016
1999-06-29,1356.0070581833672
1999-06-30,1356.6820327297828
1999-07-01,1351.9571490420701
1999-07-02,1374.8586896978343
1999-07-05,1435.2831270918941
1999-07-06,1453.8934000866875
1999-07-07,1463.9665537423248
1999-07-08,1468.2206331496022
1999-07-09,1504.7134228068464
1999-07-12,1632.7415732755148
1999-07-13,1645.5100314561125
1999-07-14,1678.329344260043
1999-07-15,1652.4185334974056
1999-07-16,1653.5071821205433
1999-07-19,1690.911568381921
1999-07-20,1593.4786015487675
1999-07-21,1597.591994688567
1999-07-22,1595.1937323153024
1999-07-23,1562.0438436995819
1999-07-26,1519.6433026706363
1999-07-27,1499.0746173310354
1999-07-28,1511.670754013549
1999-07-29,1480.3771761977303
1999-07-30,1445.453254423318
1999-08-02,1419.692232108191
1999-08-03,1434.0782814225925
1999-08-04,1460.913476163958
1999-08-05,1433.0804982610405
1999-08-06,1428.3505425285398
1999-08-09,1484.5696260248526
1999-08-10,1478.0973303351443
1999-08-11,1470.2522002698674
1999-08-12,1474.237675252222
1999-08-13,1497.0702701425216
1999-08-16,1554.449165458416
1999-08-17,1605.8367262354097
1999-08-18,1649.5504491652227
1999-08-19,1609.5347546033845
1999-08-20,1620.750322388918
1999-08-23,1683.6046558501907
1999-08-24,1720.8751353012947
1999-08-25,1669.3994150499586
1999-08-26,1710.4118385707065
1999-08-27,1708.9425797151725
1999-08-30,1711.5594788254846
1999-08-31,1688.4371357921952
1999-09-01,1645.5449375885837
1999-09-02,1580.9205900742581
1999-09-03,1604.919415500447
1999-09-06,1649.4829969564373
1999-09-07,1652.4490715255192
1999-09-08,1655.1111644611485
1999-09-09,1658.4910647725667
1999-09-10,1670.5577428813863
1999-09-13,1683.9858880037002
1999-09-14,1691.652810884101
1999-09-15,1660.9629938894036
1999-09-16,1617.2837170612524
1999-09-17,1619.4845248962952
1999-09-20,1613.1759045659564
1999-09-21,1584.9882103878545
1999-09-22,1607.9537076349015
1999-09-23,1632.615139258085
1999-09-24,1631.2235551447166
1999-09-27,1614.9542401394408
1999-09-28,1611.6208947841808
1999-09-29,1623.0556404206307
1999-09-30,1605.5057594061016
1999-10-01,1567.7145557502115
1999-10-04,1554.1915837262911
1999-10-05,1568.8155379851773
1999-10-06,1571.7143751324597
1999-10-07,1643.3074260209569
1999-10-08,1705.2459840023455
1999-10-11,1740.6911303192799
1999-10-12,1754.8721652522077
1999-10-13,1742.0802427548956
1999-10-14,1752.6431594070261
1999-10-15,1676.2678580989664
1999-10-18,1741.74955700536
1999-10-19,1749.7755415482206
1999-10-20,1808.7260250876984
1999-10-21,1761.337784118055
1999-10-22,1787.942067833638
1999-10-25,1807.9650053047212
1999-10-26,1839.8842469050303
1999-10-27,1793.1895248409235
1999-10-28,1716.1334077134925
1999-10-29,1647.554223845635
1999-11-01,1547.7039644717713
1999-11-02,1637.7023193023108
1999-11-03,1617.3260143692123
1999-11-04,1632.0771048535737
1999-11-05,1651.3411838049694
1999-11-08,1685.2550817104436
1999-11-09,1675.2066198320035
1999-11-10,1670.5986292808132
1999-11-11,1663.1635392751423
1999-11-12,1674.1652797992995
1999-11-15,1666.1559190725782
1999-11-16,1668.0529210064587
1999-11-17,1636.9436787667748
1999-11-18,1648.0444189705165
1999-11-19,1641.9635888812654
1999-11-22,1661.3663793009068
1999-11-23,1667.2558561665312
1999-11-24,1725.8627763310997
1999-11-25,1746.875870636024
1999-11-26,1764.9771660517251
1999-11-29,1761.2020838833082
1999-11-30,1755.9269523692183
1999-12-01,1750.069142912757
1999-12-02,1785.9962545069866
1999-12-03,1799.8739103679736
1999-12-06,1805.1295192708442
1999-12-07,1805.537370528482
1999-12-08,1764.179519475106
1999-12-09,1784.575658043067
1999-12-10,1769.8236122767462
1999-12-13,1779.8067560901509
1999-12-14,1781.6222752641104
1999-12-15,1782.5660922948148
1999-12-16,1787.152609492506
1999-12-17,1796.7536756135128
1999-12-20,1836.3599687555545
1999-12-21,1834.1398813317473
1999-12-22,1860.769234079567
1999-12-23,1815.5186119678258
1999-12-24,1765.0226349903635
1999-12-27,1749.2137897309624
1999-12-28,1771.9943524709315
1999-12-29,1781.9218758635304
1999-12-30,1790.0388408711538
1999-12-31,1790.0388408711538
2000-01-03,1890.4545971517957
2000-01-04,1890.2757934673325
2000-01-05,1865.6865922409465
2000-01-06,1898.9495447256015
2000-01-07,1895.9205758397852
2000-01-10,1932.0686976093648
2000-01-11,1851.9760094279484
2000-01-12,1891.3078169175706
2000-01-13,1875.7009075532299
2000-01-14,1912.629492972898
2000-01-17,1927.946637001345
2000-01-18,1934.4128994861203
2000-01-19,1934.6967152373936
2000-01-20,1902.847724471593
2000-01-21,1912.4591773855498
2000-01-24,1920.2803271890255
2000-01-25,1890.5264524327142
2000-01-26,1900.4943319213564
2000-01-27,1935.4030727830823
2000-01-28,1960.1240788240536
2000-01-31,1918.5624453538596
2000-02-01,1959.2787342032166
2000-02-02,1997.5003279278765
2000-02-03,1984.4225655883702
2000-02-04,1989.4218804739112
2000-02-07,2033.3126130550595
2000-02-08,2035.849014675301
2000-02-09,2031.4229194701152
2000-02-10,2066.948737426979
2000-02-11,2033.3440738957318
2000-02-14,2022.3271108552901
2000-02-15,1996.5938264911424
2000-02-16,1989.3870439196976
2000-02-17,2025.9647886533808
2000-02-18,1972.43037447587
2000-02-21,2002.5217173324618
2000-02-22,1945.1588770927754
2000-02-23,1918.429439410457
2000-02-24,1951.886415728063
2000-02-25,1938.8650354077836
2000-02-28,2056.6850713480526
2000-02-29,1958.4776418470026
2000-03-01,2021.8037597904888
2000-03-02,1997.1766709936455
2000-03-03,1917.3432270577912
2000-03-06,1966.4490144604808
2000-03-07,1930.422902931289
2000-03-08,1901.3429977102087
2000-03-09,1817.9130714755127
2000-03-10,1781.2106514985182
2000-03-13,1718.3926808686929
2000-03-14,1762.9812149645381
2000-03-15,1760.5848556342926
2000-03-16,1700.8533535621511
2000-03-17,1709.8724498241618
2000-03-20,1707.344490651558
2000-03-21,1723.9396276725906
2000-03-22,1765.3681888775598
2000-03-23,1732.95490801256
2000-03-24,1705.033709710406
2000-03-27,1754.0957789011068
2000-03-28,1771.3562869967586
2000-03-29,1780.08053685294
2000-03-30,1757.1483593789649
