Date,NETHERLANDS IMI
1994-05-31,219.30817299331622
1994-06-30,217.2848635220767
1994-07-29,230.02936706126744
1994-08-31,237.3185258425741
1994-09-30,232.5485065833789
1994-10-31,245.81084210925525
1994-11-30,233.62723980496935
1994-12-30,240.05934464762927
1995-01-31,243.03139870006984
1995-02-28,249.8325815074597
1995-03-31,261.90855102020515
1995-04-28,271.08438643964104
1995-05-31,277.11793937854753
1995-06-30,280.80908448007006
1995-07-31,294.7536998445518
1995-08-31,278.15858565934235
1995-09-29,292.7837235345827
1995-10-31,289.6963610720833
1995-11-30,296.5579852973433
1995-12-29,306.3059119746493
1996-01-31,308.7101177484541
1996-02-29,317.2904455411122
1996-03-29,328.1698951123514
1996-04-30,329.93885427589817
1996-05-31,347.40557681615115
1996-06-28,346.7225991897973
1996-07-31,340.43201133568795
1996-08-30,349.2564522691454
1996-09-30,357.2368616729362
1996-10-31,362.2153124366202
1996-11-29,383.1282638659526
1996-12-31,392.4293052527875
1997-01-01,392.4293052527875
1997-01-02,385.1444590637517
1997-01-03,387.32492920716754
1997-01-06,388.88349162452334
1997-01-07,388.3145189528035
1997-01-08,389.04475872609294
1997-01-09,387.0674686619636
1997-01-10,385.04391133119907
1997-01-13,387.2115166645737
1997-01-14,388.5208601633417
1997-01-15,391.30675153950955
1997-01-16,394.72089849755014
1997-01-17,390.5042212238754
1997-01-20,388.9027934324539
1997-01-21,389.48157665542544
1997-01-22,390.6883057322606
1997-01-23,392.8535940775772
1997-01-24,391.183342959872
1997-01-27,390.07471916431314
1997-01-28,388.10243471120606
1997-01-29,384.2933893935493
1997-01-30,387.1687493677184
1997-01-31,389.42740815220776
1997-02-03,387.62115603985393
1997-02-04,390.70467859359246
1997-02-05,394.9471000191661
1997-02-06,393.5674801752556
1997-02-07,392.39340439556
1997-02-10,395.8966189890139
1997-02-11,394.13338766585565
1997-02-12,396.0565701391416
1997-02-13,401.0813645657757
1997-02-14,402.8053211002317
1997-02-17,405.93226289877646
1997-02-18,407.2794923657911
1997-02-19,406.9016987954928
1997-02-20,404.1825475317066
1997-02-21,402.7953497817853
1997-02-24,408.23511338405325
1997-02-25,415.15696939690855
1997-02-26,411.81610410964805
1997-02-27,409.3589553361327
1997-02-28,404.3753525951073
1997-03-03,402.27202247275403
1997-03-04,407.31238788783526
1997-03-05,408.50026857911234
1997-03-06,411.5792596990382
1997-03-07,411.17897853531736
1997-03-10,417.9630375147701
1997-03-11,419.30529846399054
1997-03-12,412.64868290949534
1997-03-13,411.3839582259632
1997-03-14,414.81428188931466
1997-03-17,412.30435875273645
1997-03-18,409.55559372487767
1997-03-19,406.35281959333236
1997-03-20,393.50339405836024
1997-03-21,403.06028812734314
1997-03-24,396.4204907374038
1997-03-25,402.25162091383595
1997-03-26,405.1467146408437
1997-03-27,413.19846270398904
1997-03-28,413.5601963362807
1997-03-31,415.544491560605
1997-04-01,399.1144959221096
1997-04-02,398.56221225529606
1997-04-03,395.6011676334636
1997-04-04,396.5584210604277
1997-04-07,397.62064404432556
1997-04-08,397.27009467415587
1997-04-09,400.72060402549056
1997-04-10,399.0325392527579
1997-04-11,394.14480849574846
1997-04-14,390.0427389484249
1997-04-15,396.5488561750985
1997-04-16,395.0247030198013
1997-04-17,400.46580592865917
1997-04-18,404.21255755366053
1997-04-21,408.9648722722612
1997-04-22,408.8263627500948
1997-04-23,413.1505079985859
1997-04-24,413.87948261798533
1997-04-25,407.7076686704909
1997-04-28,405.2284987581771
1997-04-29,413.0041672411911
1997-04-30,411.3398964509941
1997-05-01,418.415309401946
1997-05-02,415.2186341221624
1997-05-05,419.0113725480477
1997-05-06,423.2510140820532
1997-05-07,423.1149828199893
1997-05-08,426.1847249768004
1997-05-09,431.7144630905406
1997-05-12,434.44730771491663
1997-05-13,435.65078613574804
1997-05-14,438.50901789768085
1997-05-15,438.9663498821849
1997-05-16,439.9334651980466
1997-05-19,436.76872371722544
1997-05-20,436.1450988030157
1997-05-21,445.0568492699069
1997-05-22,444.92899459308296
1997-05-23,447.4065340624127
1997-05-26,453.00830616752955
1997-05-27,447.3037075219532
1997-05-28,448.6830607553968
1997-05-29,448.3357438247586
1997-05-30,438.78111281964374
1997-06-02,441.5989974262376
1997-06-03,443.2444946494806
1997-06-04,444.826970671052
1997-06-05,445.59172055353673
1997-06-06,447.94357432727804
1997-06-09,455.5239882535771
1997-06-10,453.84178614295183
1997-06-11,452.972121368684
1997-06-12,457.0727104274707
1997-06-13,458.5958867156653
1997-06-16,464.06763887242397
1997-06-17,460.6099522101724
1997-06-18,462.1199626816473
1997-06-19,466.3306539736149
1997-06-20,467.6650522641048
1997-06-23,470.8191720086023
1997-06-24,470.39632090812637
1997-06-25,474.9831905678163
1997-06-26,474.58464368728954
1997-06-27,472.7578858744521
1997-06-30,466.155713496349
1997-07-01,474.84870416216427
1997-07-02,476.2633214079725
1997-07-03,487.1355026693705
1997-07-04,490.3353926339343
1997-07-07,497.81321974936685
1997-07-08,490.52380491424105
1997-07-09,496.3236901732044
1997-07-10,493.0410288110846
1997-07-11,495.23962488181644
1997-07-14,495.737872778881
1997-07-15,491.5696988955965
1997-07-16,501.73474412315045
1997-07-17,496.9188300707168
1997-07-18,490.2284628090777
1997-07-21,483.48076167626016
1997-07-22,493.1924364639424
1997-07-23,501.61527930006827
1997-07-24,497.874023826375
1997-07-25,498.11936689330764
1997-07-28,498.59681121156285
1997-07-29,493.3937973988258
1997-07-30,494.3094188495541
1997-07-31,498.45353909298495
1997-08-01,490.72995719287593
1997-08-04,490.87239874451495
