Date,BRAZIL IMI
1998-12-31,144.85400034939994
1999-01-01,144.85400034939994
1999-01-04,144.51813374467932
1999-01-05,145.7769883720409
1999-01-06,149.114812851874
1999-01-07,144.75828892580282
1999-01-08,143.67506286614068
1999-01-11,136.79085503362268
1999-01-12,129.50098655085537
1999-01-13,112.4596308420198
1999-01-14,104.02765455060403
1999-01-15,118.38522065864701
1999-01-18,109.87750588564248
1999-01-19,113.74853546968947
1999-01-20,117.81731767388233
1999-01-21,105.17464053625574
1999-01-22,103.32737130136462
1999-01-25,98.880136173557
1999-01-26,101.64833764589247
1999-01-27,99.43717312099692
1999-01-28,101.3186986422187
1999-01-29,98.8862437933896
1999-02-01,114.33109579529811
1999-02-02,123.47256667288781
1999-02-03,120.48329904467248
1999-02-04,120.08088628812023
1999-02-05,114.96646016472538
1999-02-08,114.15792516359762
1999-02-09,113.39758459902507
1999-02-10,115.17410193105324
1999-02-11,116.59019447803881
1999-02-12,117.04161565387918
1999-02-15,117.47388789609303
1999-02-16,118.0675618376073
1999-02-17,116.32182434987958
1999-02-18,114.96747201787026
1999-02-19,116.58647218452913
1999-02-22,115.03777456165447
1999-02-23,112.36922229342262
1999-02-24,110.23563307763187
1999-02-25,106.7045467904847
1999-02-26,110.23105013251605
1999-03-01,107.71600493166622
1999-03-02,106.49347861548296
1999-03-03,107.95039112070167
1999-03-04,115.87209026994839
1999-03-05,121.49315603446547
1999-03-08,123.06664134568722
1999-03-09,127.59935784077331
1999-03-10,130.2940668661542
1999-03-11,127.56393836696779
1999-03-12,125.10454408194708
1999-03-15,133.54690959001363
1999-03-16,136.17980701274956
1999-03-17,134.43589121480244
1999-03-18,139.7787760503244
1999-03-19,140.89419521078784
1999-03-22,138.50764123943978
1999-03-23,136.40038966371014
1999-03-24,136.1234575294873
1999-03-25,146.15216858187225
1999-03-26,148.68308103389649
1999-03-29,151.174352599113
1999-03-30,154.29617569727748
1999-03-31,156.047249317153
1999-04-01,155.82353083549776
1999-04-02,156.177459919853
1999-04-05,159.98162383915178
