Date,CHINA IMI WITH PARTIAL A SHARES
2008-11-27,1065.8528176470468
2008-11-28,1098.6647964114816
2008-12-30,1081.433433934589
2008-12-31,1114.6126196185019
2009-01-29,1079.129524695001
2009-01-30,1116.9022759875415
2009-02-26,1105.907568115597
2009-02-27,1096.30091725299
2009-03-30,1190.1262776484853
2009-03-31,1197.5880994337103
2009-04-29,1302.1745881888583
2009-04-30,1338.6263604862759
2009-05-28,1471.9564531726157
2009-05-29,1479.7085620267549
2009-06-29,1573.2617765337243
2009-06-30,1558.899226010097
2009-07-30,1706.7592896567296
2009-07-31,1719.7789663953483
2009-08-28,1594.889697945257
2009-08-31,1568.4744921043643
2009-09-29,1630.8676140405307
2009-09-30,1611.9875263651177
2009-10-29,1663.570970937577
2009-10-30,1705.6613620832252
2009-11-27,1677.1755242174113
2009-11-30,1732.683059644276
2009-12-30,1802.1760147293203
2009-12-31,1831.173806095184
2010-01-28,1742.1619007348336
2010-01-29,1733.0702063175308
2010-02-25,1806.7635434416302
2010-02-26,1810.7748072575657
2010-03-30,1953.0829604687497
2010-03-31,1929.0308478734444
2010-04-29,1921.2641207983988
2010-04-30,1951.3080694489474
2010-05-28,1965.991079096742
2010-05-31,1980.8270560727651
2010-06-29,2010.883327873058
2010-06-30,1999.7653705830749
2010-07-29,1965.0106215258256
2010-07-30,1973.485175513622
2010-08-30,1990.2437051421466
2010-08-31,1974.6212835917022
2010-09-29,2020.3021065538503
2010-09-30,2011.4875176577514
2010-10-28,2061.2881257331205
2010-10-29,2060.7675040381973
2010-11-29,2161.9759753579733
2010-11-30,2160.3962177961525
2010-12-30,2087.097647554521
2010-12-31,2083.8910218386586
2011-01-28,2040.5749905765956
2011-01-31,2022.8340480229679
2011-02-25,1949.2709195141852
2011-02-28,1971.682222840844
2011-03-30,2011.0928410349713
2011-03-31,2010.872723028796
2011-04-28,1964.7524257591053
2011-04-29,1956.327408840531
2011-05-30,1990.8983524547243
2011-05-31,2013.5800570804927
2011-06-29,1908.162382732628
2011-06-30,1922.1864674596227
2011-07-28,1950.011405643112
2011-07-29,1922.7306699120627
2011-08-30,1696.3591433917893
2011-08-31,1733.5556890882197
2011-09-29,1560.0902864094335
2011-09-30,1543.6540992034688
2011-10-28,1695.339623568355
2011-10-31,1704.3860626128635
2011-11-29,1663.7355438397772
2011-11-30,1619.7622112561514
2011-12-29,1710.3091325555188
2011-12-30,1706.5856797516692
2012-01-30,1834.9871801948798
2012-01-31,1862.5915205563101
2012-02-28,1938.6023971812535
2012-02-29,1954.5160314123736
2012-03-29,1817.3104772661009
2012-03-30,1826.03691034123
2012-04-27,1867.2540875518978
2012-04-30,1898.123450826354
2012-05-30,1829.6420143943105
2012-05-31,1828.5436257359859
2012-06-28,1806.642169395614
2012-06-29,1807.3763068662518
2012-07-30,1861.2504111744327
2012-07-31,1873.8834426886344
2012-08-30,1803.3126493424602
2012-08-31,1780.0101412643337
2012-09-27,1838.9929540506796
2012-09-28,1853.4471904347529
2012-10-30,1915.9573183594227
2012-10-31,1942.0515278219386
2012-11-29,1957.0374062639617
2012-11-30,1968.7803575340947
2012-12-28,2040.3598340414019
2012-12-31,2053.6170637924906
2013-01-30,2098.3397694743194
2013-01-31,2086.828140920751
2013-02-27,2041.7201030255296
2013-02-28,2095.907172907468
2013-03-28,2039.1118743999252
2013-03-29,2038.8370062573742
2013-04-29,2000.8431320563252
2013-04-30,2008.8127347435852
2013-05-30,2044.3339025907678
2013-05-31,2048.2042161568743
2013-06-27,1843.2233045637863
2013-06-28,1885.6517360972084
2013-07-30,1923.484196626
2013-07-31,1913.9730495018973
2013-08-29,1969.070850110047
2013-08-30,1980.0311735868265
2013-09-27,2049.975286140335
2013-09-30,2025.4862990588679
2013-10-30,2042.9086318241532
2013-10-31,2067.092709171402
2013-11-28,2147.701859629398
2013-11-29,2161.6415329563374
2013-12-30,2056.0729296165136
2013-12-31,2072.053632452595
2014-01-30,1982.1334586550076
2014-01-31,1993.6469435235786
2014-02-27,2010.6960968529133
2014-02-28,1992.3063609516416
2014-03-28,1949.1214996464475
2014-03-31,1958.7298162138013
2014-04-29,1925.1052814706961
2014-04-30,1900.0384326336878
2014-05-29,2014.2094815382334
2014-05-30,2014.0236285348958
2014-06-27,2070.233243669056
2014-06-30,2069.415729604291
2014-07-30,2282.156325234899
2014-07-31,2284.059132482066
2014-08-28,2320.9597159019495
2014-08-29,2329.754380998844
2014-09-29,2316.246958294729
2014-09-30,2301.010878803493
2014-10-30,2360.5870588881508
2014-10-31,2409.3414290967003
2014-11-27,2451.2481322887734
2014-11-28,2461.881899200656
2014-12-30,2524.5509602915604
2014-12-31,2563.3681454390025
2015-01-29,2799.1227250316056
2015-01-30,2797.646166689907
2015-02-26,2911.12431781523
2015-02-27,2898.721059276915
2015-03-30,3098.221488477405
2015-03-31,3140.374413867085
2015-04-29,3600.790776676252
2015-04-30,3553.955226020158
2015-05-28,3599.363570138087
2015-05-29,3574.451789265958
2015-06-29,3215.724877523105
2015-06-30,3282.3282102714934
2015-07-30,2948.2601261200484
2015-07-31,2922.59331773703
2015-08-28,2548.4505841267573
2015-08-31,2529.8805297561044
2015-09-29,2440.8546712454045
2015-09-30,2496.4472610736634
2015-10-29,2789.3972270918985
2015-10-30,2760.1256522943045
2015-11-27,2802.9966848817353
2015-11-30,2807.5562315689103
2015-12-30,2688.9431146166
2015-12-31,2703.606009564275
2016-01-28,2251.399298557318
2016-01-29,2335.082554408892
2016-02-26,2297.317798700455
2016-02-29,2280.773067394129
2016-03-30,2426.8115993424235
2016-03-31,2425.702408339709
2016-04-28,2458.8147401981964
2016-04-29,2411.4187769812365
2016-05-30,2431.736039021113
