Date,COLOMBIA IMI
1998-12-31,179.5008650203652
1999-01-01,179.5008650203652
1999-01-04,180.07321768190502
1999-01-05,181.43021209121358
1999-01-06,182.91195057682847
1999-01-07,182.0484700409091
1999-01-08,183.09084697563534
1999-01-11,183.38451618571418
1999-01-12,176.87378606764813
1999-01-13,165.64397603466907
1999-01-14,164.05604809996512
1999-01-15,165.85338381878861
1999-01-18,166.37689407455835
1999-01-19,161.877573303879
1999-01-20,165.94017785946164
1999-01-21,163.96840814675215
1999-01-22,162.64401102179497
1999-01-25,159.67423972952346
1999-01-26,157.632785397438
1999-01-27,161.84651038861014
1999-01-28,157.1120372522801
1999-01-29,151.91252294943953
1999-02-01,152.09783789910304
1999-02-02,150.20074341762958
1999-02-03,149.41230457814518
1999-02-04,150.48462631079832
1999-02-05,152.57344815447067
1999-02-08,152.55581795935913
1999-02-09,152.91800931770138
1999-02-10,157.48573400870305
1999-02-11,159.93766580843388
1999-02-12,163.77574663504248
1999-02-15,164.43160835851666
1999-02-16,164.2638671853179
1999-02-17,163.24534696905428
1999-02-18,165.77840126502758
1999-02-19,167.89447182910453
1999-02-22,169.29761849463648
1999-02-23,170.02087249799666
1999-02-24,166.49142783646982
1999-02-25,161.63357446155473
1999-02-26,164.7586445384321
1999-03-01,164.16974718268273
1999-03-02,163.4993788239212
1999-03-03,167.11550958087656
1999-03-04,170.65942401983014
1999-03-05,170.44100456182682
1999-03-08,171.637637947219
1999-03-09,170.7644351496174
1999-03-10,168.76187126442085
1999-03-11,168.67722450617003
1999-03-12,167.10499057478415
1999-03-15,167.53649774266592
1999-03-16,169.1968827145433
1999-03-17,169.0896153526466
1999-03-18,169.53800302459933
1999-03-19,173.21682181226385
1999-03-22,173.55040457699928
1999-03-23,173.78392615388688
1999-03-24,173.66087097371457
1999-03-25,176.93381520784033
1999-03-26,177.85548804409348
1999-03-29,178.32800227006572
1999-03-30,175.29854568895792
1999-03-31,175.72373149459276
1999-04-01,175.47180365496217
1999-04-02,175.8621928357473
1999-04-05,177.430804572132
1999-04-06,175.60833090142538
1999-04-07,173.7278667243088
1999-04-08,174.6255248236075
1999-04-09,178.05389993712706
1999-04-12,181.65845867496927
1999-04-13,185.47412655875195
1999-04-14,186.53423373293106
1999-04-15,186.42786009579498
1999-04-16,190.49017929110545
1999-04-19,197.9553925860706
1999-04-20,197.48191636592009
1999-04-21,198.83332111539417
1999-04-22,201.96844091656615
1999-04-23,204.3802452651358
1999-04-26,210.15441211430397
1999-04-27,211.48996952493212
1999-04-28,212.26150576531924
1999-04-29,219.2311938568598
1999-04-30,217.57167749816747
1999-05-03,220.93812676813067
1999-05-04,227.20705619847897
1999-05-05,223.01059315244092
1999-05-06,213.3730885884637
1999-05-07,220.16040492876024
1999-05-10,221.24429401427025
1999-05-11,223.8670720498464
1999-05-12,229.09773382134557
1999-05-13,231.75011972700656
1999-05-14,228.40986285924123
1999-05-17,229.6385526331913
1999-05-18,228.3882672746865
1999-05-19,224.9150220067074
1999-05-20,223.6678804903676
1999-05-21,219.7656357184201
1999-05-24,216.7420747824787
1999-05-25,208.0372551594936
1999-05-26,199.51524939674565
1999-05-27,210.8233366925681
1999-05-28,215.296648831877
1999-05-31,213.8210294233544
1999-06-01,209.0333560539693
1999-06-02,208.85466555352448
1999-06-03,209.52000128940674
