Date,KUWAIT DOMESTIC IMI
2002-05-31,407.9019312950159
2002-06-03,418.2285548904205
2002-06-04,412.63789867829615
2002-06-05,416.87552250410874
2002-06-06,413.9270511014333
2002-06-07,413.90750471407955
2002-06-10,417.2228931696173
2002-06-11,416.68400053917
2002-06-12,412.75936881720764
2002-06-13,413.2686554216308
2002-06-14,412.3390598048484
2002-06-17,414.73977700369034
2002-06-18,413.25893394569675
2002-06-19,409.75962079026795
2002-06-20,406.19997963835016
2002-06-21,404.83050340505173
2002-06-24,404.76317035085805
2002-06-25,405.4400795262411
2002-06-26,397.14640875855736
2002-06-27,399.5719075420697
2002-06-28,398.01424062830193
2002-07-01,397.1289579486857
2002-07-02,399.32165294638884
2002-07-03,403.12257368975907
2002-07-04,403.6320371623001
2002-07-05,405.8306410713083
2002-07-08,404.5412456535841
2002-07-09,404.3118937164794
2002-07-10,407.07991264894775
2002-07-11,406.5884246422332
2002-07-12,406.7323206416515
2002-07-15,400.08179193024137
2002-07-16,396.80561345702534
2002-07-17,396.1696053356462
2002-07-18,395.88755892831387
2002-07-19,393.7903410413368
2002-07-22,397.62022218153174
2002-07-23,398.82774096070114
2002-07-24,392.38593668654863
2002-07-25,389.3926342824454
2002-07-26,393.6541185390307
2002-07-29,388.1340953766122
2002-07-30,385.12028786537405
2002-07-31,389.45389283439636
2002-08-01,388.82949798140777
2002-08-02,387.98163296713244
2002-08-05,389.1785700375398
2002-08-06,390.8609775537726
2002-08-07,391.47430591900473
2002-08-08,392.2421403169052
2002-08-09,390.94357213493004
2002-08-12,383.1364620342728
2002-08-13,385.0202086510719
2002-08-14,382.44563092131875
2002-08-15,384.8046629410517
2002-08-16,383.2108129281629
2002-08-19,385.0867072217691
2002-08-20,382.7118028821592
2002-08-21,382.22096646382346
2002-08-22,385.13997236024284
2002-08-23,384.9135883673888
2002-08-26,389.46967397324755
2002-08-27,393.17169307967976
2002-08-28,392.8379179090864
2002-08-29,391.74010349493074
2002-08-30,392.9480362033572
