Date,QATAR DOMESTIC IMI
2002-05-31,412.18721103923644
2002-06-03,409.1411935495026
2002-06-04,407.39035502225636
2002-06-05,410.6623435766942
2002-06-06,409.8508965460519
2002-06-07,409.67412863810546
2002-06-10,410.76876682394516
2002-06-11,411.7316244506806
2002-06-12,413.7916377514911
2002-06-13,414.114086520385
2002-06-14,412.97874975130924
2002-06-17,416.17474188126516
2002-06-18,413.63005823438635
2002-06-19,410.5742772312996
2002-06-20,406.46756799267115
2002-06-21,404.49615519708215
2002-06-24,400.1808143935562
2002-06-25,405.40744326192873
2002-06-26,398.2085602058349
2002-06-27,403.7957107748435
2002-06-28,402.2105301237259
2002-07-01,411.7875825762213
2002-07-02,416.78911231817955
2002-07-03,420.19741441636074
2002-07-04,422.16590768941023
2002-07-05,424.73490253811906
2002-07-08,428.54529796797
2002-07-09,438.5434039752583
2002-07-10,452.81990860667787
2002-07-11,457.81827392126905
2002-07-12,457.98030071319226
2002-07-15,449.72105929335083
2002-07-16,441.73468449948433
2002-07-17,441.60178583453745
2002-07-18,433.56584777291704
2002-07-19,430.7548864964726
2002-07-22,433.2498965134075
2002-07-23,439.8604410369269
2002-07-24,436.34754681413983
2002-07-25,436.7116319478212
2002-07-26,442.3049654533022
2002-07-29,463.0951252681087
2002-07-30,457.5848185212447
2002-07-31,459.11818650403904
2002-08-01,458.7354132112956
2002-08-02,457.44409121109226
2002-08-05,454.6294180588967
2002-08-06,463.5533622024113
2002-08-07,460.2876189456659
2002-08-08,461.2071106387216
2002-08-09,459.4648296252213
2002-08-12,454.69362571704016
2002-08-13,461.0280592005221
2002-08-14,455.3605658503748
2002-08-15,459.4604488237755
2002-08-16,457.4120241669083
2002-08-19,474.83320242626235
2002-08-20,478.8240773103018
2002-08-21,477.5297680513412
2002-08-22,483.7483131644445
2002-08-23,483.6106912664024
2002-08-26,481.4939163134007
2002-08-27,480.29356534170086
2002-08-28,479.46413686956134
2002-08-29,478.1308058627532
2002-08-30,479.75088782344966
2002-09-02,478.121048381038
2002-09-03,472.24437869492186
2002-09-04,469.1057301829472
2002-09-05,470.8276743097664
2002-09-06,474.1021243519227
2002-09-09,473.2461748124512
2002-09-10,477.07924460880565
2002-09-11,471.0494795106144
2002-09-12,464.8701531990214
2002-09-13,463.8649732267445
2002-09-16,454.5537650469403
2002-09-17,456.35934432299445
2002-09-18,467.7115746605629
2002-09-19,459.10114842283656
2002-09-20,458.7743694265522
2002-09-23,459.66982564697616
2002-09-24,460.50180325942256
2002-09-25,459.86843251342157
2002-09-26,461.07891773793256
2002-09-27,461.4916131901934
2002-09-30,454.0357159224605
2002-10-01,454.56126614959135
2002-10-02,455.7313841511407
2002-10-03,454.8716311415702
2002-10-04,457.32392241945684
2002-10-07,456.5248645753246
2002-10-08,458.02979254977254
2002-10-09,454.32406375792135
2002-10-10,455.29058495037975
2002-10-11,454.99038320538295
2002-10-14,453.3293489531706
2002-10-15,456.6961723430933
2002-10-16,454.6587373971281
2002-10-17,459.3835445652507
2002-10-18,459.725489566648
2002-10-21,459.42696563326547
2002-10-22,458.00765922931737
2002-10-23,458.34504238849524
2002-10-24,460.7671394128109
2002-10-25,459.2519755253734
2002-10-28,459.9873577211526
2002-10-29,458.85941240602403
2002-10-30,459.98211063772914
2002-10-31,458.5124187503663
2002-11-01,455.69503758248004
2002-11-04,458.31711475698256
2002-11-05,455.40065771156634
2002-11-06,456.1909545100381
2002-11-07,451.9018615633224
2002-11-08,449.6499942846387
2002-11-11,450.357818854236
2002-11-12,449.04815046658604
2002-11-13,449.91287955410667
2002-11-14,454.6163065255222
2002-11-15,453.60002566145613
2002-11-18,459.0419686578272
2002-11-19,457.3247937322332
2002-11-20,461.7260275646716
2002-11-21,463.79972195476
2002-11-22,464.4281893849316
2002-11-25,465.86979981584756
2002-11-26,465.60320396727747
2002-11-27,466.66760520669857
2002-11-28,467.6585634253037
2002-11-29,467.7140525551394
2002-12-02,469.8767960528169
2002-12-03,473.2584642266235
2002-12-04,474.8939700024983
2002-12-05,474.63292189545575
2002-12-06,471.171713466116
2002-12-09,474.23956949976485
2002-12-10,474.23874852641984
