Date,TURKEY IMI
1998-12-31,270.63900047052437
1999-01-01,270.63900047052437
1999-01-04,283.25433137587453
1999-01-05,286.5828967867816
1999-01-06,292.8874514188047
1999-01-07,280.6266567656772
1999-01-08,279.3762279591309
1999-01-11,272.75235105800164
1999-01-12,271.5049507800851
1999-01-13,248.181374221413
1999-01-14,260.20495083569466
1999-01-15,256.99395823702343
1999-01-18,251.0402559525036
1999-01-19,250.83477777807127
1999-01-20,251.69169405880555
1999-01-21,251.63040586728917
1999-01-22,253.2119591199715
1999-01-25,243.70218051678393
1999-01-26,247.85155277860517
1999-01-27,259.8475968073292
1999-01-28,257.17045966668553
1999-01-29,261.12210463276324
1999-02-01,267.7377288531667
1999-02-02,263.26617765341666
1999-02-03,266.9239638596782
1999-02-04,278.69842191114424
1999-02-05,273.06129436494155
1999-02-08,277.72520371497575
1999-02-09,286.278923590642
1999-02-10,288.3048670167291
1999-02-11,296.4350606344951
1999-02-12,299.4572880524188
1999-02-15,301.14463733787244
1999-02-16,325.1362709814343
1999-02-17,345.85180375741487
1999-02-18,349.4497136263747
1999-02-19,356.5252507271793
1999-02-22,350.4494787410912
1999-02-23,353.497746492215
1999-02-24,358.8956527685701
1999-02-25,373.33724614843004
1999-02-26,387.069468468995
1999-03-01,388.6552769761306
1999-03-02,382.1264914520574
1999-03-03,392.83712255173884
1999-03-04,379.2238700068414
1999-03-05,384.69036430953
1999-03-08,383.23013194217634
1999-03-09,391.38948340105105
1999-03-10,381.12024282016677
1999-03-11,401.6367770291122
1999-03-12,400.23945895557483
1999-03-15,392.0629781223403
1999-03-16,380.8166783701292
1999-03-17,391.91222912734776
1999-03-18,404.30376137457074
1999-03-19,414.852167118676
1999-03-22,415.0410619721907
1999-03-23,413.88822388159065
1999-03-24,405.28603193219345
1999-03-25,425.4333323329448
1999-03-26,436.5325070757082
1999-03-29,437.20155530444197
1999-03-30,436.29609875026
1999-03-31,434.6072843468303
1999-04-01,434.2774160337631
1999-04-02,432.8181609750976
1999-04-05,444.5960840694942
1999-04-06,459.42424110302574
1999-04-07,460.30481657100626
1999-04-08,441.58626379667817
1999-04-09,428.6531463235723
1999-04-12,402.00469414115236
1999-04-13,369.470908340296
1999-04-14,404.83770206036917
1999-04-15,404.3378072801168
1999-04-16,424.61923890333287
1999-04-19,428.1349597361086
1999-04-20,465.78927456092265
1999-04-21,465.5073592465248
1999-04-22,481.6955882494689
1999-04-23,480.67738215636535
1999-04-26,493.306472889585
1999-04-27,493.8314479681023
1999-04-28,511.84212530376243
1999-04-29,508.14103019178185
1999-04-30,494.4188870747027
1999-05-03,499.65750084085346
1999-05-04,504.516822905637
1999-05-05,513.047925817784
