Date,SAUDI ARABIA IMI
2014-08-29,934.3345406968056
2014-09-01,940.6401105999203
2014-09-02,937.5322441138263
2014-09-03,938.7412732156093
2014-09-04,950.3033516757712
2014-09-05,950.890026585167
2014-09-08,956.4235318658008
2014-09-09,958.9309718929111
2014-09-10,956.1728789441406
2014-09-11,947.1182424097294
2014-09-12,947.3378555436935
2014-09-15,937.6815973457981
2014-09-16,943.0929354545374
2014-09-17,950.13177938151
2014-09-18,952.9459893992473
2014-09-19,958.9944375232329
2014-09-22,945.055360293955
2014-09-23,942.0799071053277
2014-09-24,934.185678906666
2014-09-25,939.6243922321958
2014-09-26,943.3981532161404
2014-09-29,941.3529558401319
2014-09-30,951.978409576973
2014-10-01,954.9028087178267
2014-10-02,949.3795658503421
2014-10-03,960.1418082517101
2014-10-06,955.7366644651692
2014-10-07,951.2720555348423
2014-10-08,947.0867631191688
2014-10-09,945.1245545694564
2014-10-10,951.5995485477757
2014-10-13,908.6928294593058
2014-10-14,887.5956232180675
2014-10-15,855.6256259246888
2014-10-16,822.5408829190766
2014-10-17,823.3674280899918
2014-10-20,851.3002608367125
2014-10-21,878.3404462095818
2014-10-22,890.8561470873069
2014-10-23,887.3793645177326
2014-10-24,886.0610969235125
2014-10-27,887.085343935678
2014-10-28,883.3936100193195
2014-10-29,875.3002453336376
2014-10-30,879.7287437151197
2014-10-31,886.2000465860866
2014-11-03,897.8414929846
2014-11-04,856.673680609777
2014-11-05,845.1507183130005
2014-11-06,852.3588525646264
2014-11-07,853.8468299084499
2014-11-10,860.0552336021331
2014-11-11,855.3603736714127
2014-11-12,852.9610559578248
2014-11-13,843.8037199657605
2014-11-14,843.4544045683368
2014-11-17,814.2124302678902
2014-11-18,819.8837449813681
2014-11-19,821.0264673328901
2014-11-20,822.5943803577253
2014-11-21,830.9993506613963
2014-11-24,830.3402589048732
2014-11-25,809.5018185558092
2014-11-26,793.1238213630629
2014-11-27,796.9946775044269
2014-11-28,797.8154415778222
2014-12-01,764.0188628651554
2014-12-02,770.4283994254017
2014-12-03,780.2932116658731
2014-12-04,788.529386658345
2014-12-05,797.5173312695761
2014-12-08,779.1374349567872
2014-12-09,755.2283374422802
2014-12-10,733.9520990929626
2014-12-11,734.5950694650465
2014-12-12,729.9185221202773
2014-12-15,692.24519949749
2014-12-16,641.3587394099767
2014-12-17,681.2328648393321
2014-12-18,748.5428337693806
2014-12-19,749.4395857398201
2014-12-22,772.4760775246823
2014-12-23,774.6326761431268
2014-12-24,784.7617734931723
2014-12-25,785.3439558073923
2014-12-26,786.6328765559862
2014-12-29,790.7186145761317
