Date,HUNGARY IMI
1998-12-31,266.14932727052354
1999-01-01,266.14932727052354
1999-01-04,267.81680846423933
1999-01-05,268.3644472154399
1999-01-06,268.751169694169
1999-01-07,292.8930692508494
1999-01-08,296.5110394850228
1999-01-11,292.48376969870645
1999-01-12,290.8283742435838
1999-01-13,257.79905406111664
1999-01-14,261.36391841563517
1999-01-15,249.54350322566302
1999-01-18,273.46772742396087
1999-01-19,275.50473123204745
1999-01-20,286.44996748773985
1999-01-21,280.4254953261081
1999-01-22,271.17882541205284
1999-01-25,281.96707574457446
1999-01-26,278.17882432467997
1999-01-27,280.401880909897
1999-01-28,283.0278162805147
1999-01-29,286.8777299107891
1999-02-01,289.0442458800842
1999-02-02,285.93822973685275
1999-02-03,285.1431011623168
1999-02-04,290.81260363650057
1999-02-05,286.0832889973178
1999-02-08,284.13465990151786
1999-02-09,278.76526236644617
1999-02-10,278.560406554404
1999-02-11,283.0698574161784
1999-02-12,284.2992145631584
1999-02-15,281.7403144755985
1999-02-16,283.65446120583624
1999-02-17,273.01076999903984
1999-02-18,267.87052274580986
1999-02-19,259.5509377329323
1999-02-22,250.7583759799622
1999-02-23,243.09390157702194
1999-02-24,252.8997759441964
1999-02-25,250.68334976381243
1999-02-26,254.28584571657993
1999-03-01,255.80666317428646
1999-03-02,251.19636811857177
1999-03-03,243.25611294042835
1999-03-04,235.22598207354673
1999-03-05,239.5594822456652
1999-03-08,259.4440905748387
1999-03-09,266.2901063395492
1999-03-10,263.64168815544565
1999-03-11,264.01074650090965
1999-03-12,262.92807981746654
1999-03-15,262.785565421969
1999-03-16,261.2377182946241
1999-03-17,257.0850036956806
1999-03-18,247.58116409258767
1999-03-19,250.99944349718973
1999-03-22,247.9255376477387
1999-03-23,241.80007735666723
1999-03-24,238.58430501729364
1999-03-25,245.93164721248198
1999-03-26,242.13654197988362
1999-03-29,238.34073495012407
1999-03-30,237.7418743780576
1999-03-31,245.87631352045156
1999-04-01,246.19280469973413
1999-04-02,248.8141774451911
1999-04-05,249.52800618048715
1999-04-06,250.51671029222942
1999-04-07,251.2832705702687
1999-04-08,258.21329032849764
1999-04-09,261.9519151611185
1999-04-12,254.15934889271563
1999-04-13,251.67176030975872
1999-04-14,253.3570908070282
1999-04-15,252.91671419738992
1999-04-16,258.0139511876516
1999-04-19,260.06006104628773
1999-04-20,262.6585393521665
1999-04-21,267.2302202154586
1999-04-22,268.4481324471149
1999-04-23,268.19777090755906
1999-04-26,268.7991095729742
1999-04-27,270.5334764503973
1999-04-28,266.57470687312303
1999-04-29,263.3193718237072
1999-04-30,265.85318246866393
1999-05-03,269.89266071392893
1999-05-04,277.6533203830442
1999-05-05,277.9880346910627
1999-05-06,289.1052669822473
1999-05-07,284.07638546399807
1999-05-10,283.0476728654117
1999-05-11,284.84571025527543
1999-05-12,284.38486845898194
1999-05-13,282.3805448791998
1999-05-14,282.9602245307875
1999-05-17,281.4167526735258
1999-05-18,287.8497460258555
1999-05-19,289.026989354464
1999-05-20,285.20448229850524
1999-05-21,287.726380808665
1999-05-24,287.45649693882467
1999-05-25,279.83258031501475
1999-05-26,285.2844467135285
1999-05-27,281.34488335467444
1999-05-28,277.0738964963534
1999-05-31,286.13377904176684
1999-06-01,284.0291977117691
1999-06-02,277.75374792548854
1999-06-03,281.86150317306857
1999-06-04,282.59950421454715
1999-06-07,276.78529082867226
1999-06-08,277.5389873506583
1999-06-09,277.8777926598497
1999-06-10,278.5384092455441
1999-06-11,278.86411510794295
1999-06-14,278.36265750980493
1999-06-15,280.2119485923918
1999-06-16,284.71166811026274
1999-06-17,283.4116675403069
1999-06-18,284.30343108172434
1999-06-21,285.8172730891836
1999-06-22,281.7919758522411
1999-06-23,278.4893141127413
1999-06-24,280.9866138136505
1999-06-25,278.9845877483029
1999-06-28,279.4809356932001
1999-06-29,277.67331127624936
1999-06-30,279.07461921293
1999-07-01,281.5967783941391
1999-07-02,285.31456995697573
1999-07-05,288.3954546146232
1999-07-06,296.1358883199406
1999-07-07,296.24300379376547
1999-07-08,300.69625900942145
1999-07-09,310.91491793621594
1999-07-12,316.01981839799856
1999-07-13,305.0704791971313
1999-07-14,307.43032633653064
1999-07-15,309.27286404376446
1999-07-16,308.5256252352687
1999-07-19,308.3324146662438
1999-07-20,302.78724631683554
1999-07-21,302.59200102282244
1999-07-22,301.2806095845976
1999-07-23,303.74598570571
1999-07-26,299.09166500122154
1999-07-27,302.2849351818558
1999-07-28,306.3217160769985
1999-07-29,300.1323460830047
1999-07-30,304.5250948670309
1999-08-02,302.5351168026134
1999-08-03,302.80367126094984
1999-08-04,300.4533721869134
1999-08-05,296.62074695551536
1999-08-06,297.81708839690083
1999-08-09,296.76357959377754
1999-08-10,291.8915244646799
1999-08-11,290.039341775975
1999-08-12,294.25273153037256
1999-08-13,297.8934592810718
1999-08-16,295.6320612349508
1999-08-17,295.55555480009787
1999-08-18,293.63281278175833
1999-08-19,295.1404206496506
1999-08-20,294.92400405780984
1999-08-23,301.6854015749983
1999-08-24,301.60875177065526
1999-08-25,306.6781793021917
1999-08-26,308.1434658237562
1999-08-27,308.24779367917546
1999-08-30,307.2085463348635
1999-08-31,304.62397455726676
1999-09-01,304.32481869000776
1999-09-02,294.5654326806813
1999-09-03,299.75009347241604
1999-09-06,303.93924106868707
1999-09-07,301.95000618992464
1999-09-08,298.9585907872708
1999-09-09,300.81192655248975
1999-09-10,304.24101942551437
1999-09-13,300.8536474042592
1999-09-14,294.99240595660507
1999-09-15,291.76217458777506
1999-09-16,282.88856481591046
